split_type,cell_line,model,full_combination,ablated_environment,reduced_combination,r2_full,r2_reduced,delta_r2_ablation,delta_rmse_ablation,n_paired,status,warning
all,hct116,cnn(3|3),all,rrbs,sequence_ctcf_dnase_h3k4me3,0.045791921139245,0.0412892124301426,-0.004502708709102396,0.00039531057210190346,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),all,h3k4me3,sequence_ctcf_dnase_rrbs,0.045791921139245,0.046835997591478,0.001044076452233006,-9.179671875800266e-05,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),all,dnase,sequence_ctcf_h3k4me3_rrbs,0.045791921139245,0.0424132485970503,-0.003378672542194698,0.00029671409802739523,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),all,ctcf,sequence_dnase_h3k4me3_rrbs,0.045791921139245,0.046539709600671,0.0007477884614260008,-6.574154099800444e-05,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_ctcf,ctcf,sequence,0.0625826656447715,0.0791453814297618,0.0165627157849903,-0.001475345639539688,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_dnase,dnase,sequence,0.0744864128239665,0.0791453814297618,0.004658968605795302,-0.00041633557729939263,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_h3k4me3,h3k4me3,sequence,0.0776871892595865,0.0791453814297618,0.0014581921701753014,-0.00013042022752859928,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_rrbs,rrbs,sequence,0.0781535927034768,0.0791453814297618,0.0009917887262849978,-8.871647868249899e-05,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_ctcf_dnase,dnase,sequence_ctcf,0.0664458160199222,0.0625826656447715,-0.003863150375150698,0.0003429421041686864,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_ctcf_h3k4me3,h3k4me3,sequence_ctcf,0.0648207107475539,0.0625826656447715,-0.0022380451027824017,0.0001985909006185782,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_ctcf_rrbs,rrbs,sequence_ctcf,0.0642556913432816,0.0625826656447715,-0.0016730256985101055,0.00014843201343198165,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_ctcf_dnase,ctcf,sequence_dnase,0.0664458160199222,0.0744864128239665,0.0080405968040443,-0.0007160679580716089,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_dnase_h3k4me3,h3k4me3,sequence_dnase,0.0658374343701831,0.0744864128239665,0.008648978453783387,-0.0007701226201237976,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_dnase_rrbs,rrbs,sequence_dnase,0.0784633455228079,0.0744864128239665,-0.003976932698841404,0.0003553216662922909,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_ctcf_h3k4me3,ctcf,sequence_h3k4me3,0.0648207107475539,0.0776871892595865,0.012866478512032598,-0.0011463345113925105,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_dnase_h3k4me3,dnase,sequence_h3k4me3,0.0658374343701831,0.0776871892595865,0.011849754889403388,-0.001056037969894591,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_h3k4me3_rrbs,rrbs,sequence_h3k4me3,0.0674224261913875,0.0776871892595865,0.010264763068198998,-0.0009151747267812094,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_ctcf_rrbs,ctcf,sequence_rrbs,0.0642556913432816,0.0781535927034768,0.013897901360195197,-0.0012381971474252074,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_dnase_rrbs,dnase,sequence_rrbs,0.0784633455228079,0.0781535927034768,-0.00030975281933109944,2.770256767539725e-05,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_h3k4me3_rrbs,h3k4me3,sequence_rrbs,0.0674224261913875,0.0781535927034768,0.010731166512089302,-0.0009568784756273097,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_ctcf_dnase_h3k4me3,h3k4me3,sequence_ctcf_dnase,0.0751789586251135,0.0664458160199222,-0.008733142605191313,0.0007778889431681868,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_ctcf_dnase_rrbs,rrbs,sequence_ctcf_dnase,0.0853538697650643,0.0664458160199222,-0.01890805374514211,0.0016888479133418122,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_ctcf_dnase_h3k4me3,dnase,sequence_ctcf_h3k4me3,0.0751789586251135,0.0648207107475539,-0.01035824787755961,0.000922240146718295,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_ctcf_h3k4me3_rrbs,rrbs,sequence_ctcf_h3k4me3,0.069768206186082,0.0648207107475539,-0.004947495438528099,0.00043985654569261845,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_ctcf_dnase_rrbs,dnase,sequence_ctcf_rrbs,0.0853538697650643,0.0642556913432816,-0.0210981784217827,0.001883358004078517,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_ctcf_h3k4me3_rrbs,h3k4me3,sequence_ctcf_rrbs,0.069768206186082,0.0642556913432816,-0.005512514842800395,0.000490015432879215,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_ctcf_dnase_h3k4me3,ctcf,sequence_dnase_h3k4me3,0.0751789586251135,0.0658374343701831,-0.0093415242549304,0.0008319436052203755,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_dnase_h3k4me3_rrbs,rrbs,sequence_dnase_h3k4me3,0.0790611988194436,0.0658374343701831,-0.013223764449260489,0.0011789261251074767,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_ctcf_dnase_rrbs,ctcf,sequence_dnase_rrbs,0.0853538697650643,0.0784633455228079,-0.0068905242422564045,0.0006174582889779123,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_dnase_h3k4me3_rrbs,h3k4me3,sequence_dnase_rrbs,0.0790611988194436,0.0784633455228079,-0.0005978532966356975,5.348183869138823e-05,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_ctcf_h3k4me3_rrbs,ctcf,sequence_h3k4me3_rrbs,0.069768206186082,0.0674224261913875,-0.0023457799946944996,0.0002086967610813173,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),sequence_dnase_h3k4me3_rrbs,dnase,sequence_h3k4me3_rrbs,0.0790611988194436,0.0674224261913875,-0.011638772628056099,0.0010380628819940951,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),all,rrbs,sequence_ctcf_dnase_h3k4me3,0.059455733049142,0.0751789586251135,0.015723225575971507,-0.0013979000028195854,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),all,h3k4me3,sequence_ctcf_dnase_rrbs,0.059455733049142,0.0853538697650643,0.025898136715922303,-0.0023088589729932107,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),all,dnase,sequence_ctcf_h3k4me3_rrbs,0.059455733049142,0.069768206186082,0.010312473136939997,-0.0009155164017939088,1,ok,CI_UNAVAILABLE
all,hct116,cnn(5|3),all,ctcf,sequence_dnase_h3k4me3_rrbs,0.059455733049142,0.0790611988194436,0.019605465770301596,-0.0017448825227066866,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_ctcf,ctcf,sequence,0.0802750238554926,0.1115645080195554,0.03128948416406281,-0.0028255872857288755,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_dnase,dnase,sequence,0.0854245467132743,0.1115645080195554,0.0261399613062811,-0.0023639033798065756,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_h3k4me3,h3k4me3,sequence,0.0781674286455782,0.1115645080195554,0.033397079373977206,-0.003014172299507595,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_rrbs,rrbs,sequence,0.1026771836647955,0.1115645080195554,0.008887324354759904,-0.0008075577453334759,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_ctcf_dnase,dnase,sequence_ctcf,0.0765575845908126,0.0802750238554926,0.003717439264679989,-0.00033248669016161525,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_ctcf_h3k4me3,h3k4me3,sequence_ctcf,0.0859330670990615,0.0802750238554926,-0.005658043243568903,0.0005073460744148828,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_ctcf_rrbs,rrbs,sequence_ctcf,0.0713944742729127,0.0802750238554926,0.008880549582579889,-0.0007931655311401165,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_ctcf_dnase,ctcf,sequence_dnase,0.0765575845908126,0.0854245467132743,0.0088669621224617,-0.0007941705960839152,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_dnase_h3k4me3,h3k4me3,sequence_dnase,0.0777311561890791,0.0854245467132743,0.007693390524195209,-0.0006892790992319986,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_dnase_rrbs,rrbs,sequence_dnase,0.0849218615475644,0.0854245467132743,0.0005026851657099068,-4.5125724586814187e-05,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_ctcf_h3k4me3,ctcf,sequence_h3k4me3,0.0859330670990615,0.0781674286455782,-0.007765638453483298,0.0006959310881936021,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_dnase_h3k4me3,dnase,sequence_h3k4me3,0.0777311561890791,0.0781674286455782,0.00043627245649910384,-3.9010179530979405e-05,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_h3k4me3_rrbs,rrbs,sequence_h3k4me3,0.0760884195126622,0.0781674286455782,0.0020790091329160043,-0.00018581606840509246,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_ctcf_rrbs,ctcf,sequence_rrbs,0.0713944742729127,0.1026771836647955,0.031282709391882796,-0.002811195071535516,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_dnase_rrbs,dnase,sequence_rrbs,0.0849218615475644,0.1026771836647955,0.017755322117231104,-0.0016014713590599139,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_h3k4me3_rrbs,h3k4me3,sequence_rrbs,0.0760884195126622,0.1026771836647955,0.026588764152133307,-0.0023924306225792114,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_ctcf_dnase_h3k4me3,h3k4me3,sequence_ctcf_dnase,0.0708900626904793,0.0765575845908126,0.005667521900333303,-0.0005056162478487836,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_ctcf_dnase_rrbs,rrbs,sequence_ctcf_dnase,0.0806475239066081,0.0765575845908126,-0.004089939315795502,0.0003658399955764058,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_ctcf_dnase_h3k4me3,dnase,sequence_ctcf_h3k4me3,0.0708900626904793,0.0859330670990615,0.015043004408582195,-0.0013454490124252816,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_ctcf_h3k4me3_rrbs,rrbs,sequence_ctcf_h3k4me3,0.080591074606806,0.0859330670990615,0.00534199249225549,-0.000479047620730505,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_ctcf_dnase_rrbs,dnase,sequence_ctcf_rrbs,0.0806475239066081,0.0713944742729127,-0.009253049633695401,0.000826518836554907,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_ctcf_h3k4me3_rrbs,h3k4me3,sequence_ctcf_rrbs,0.080591074606806,0.0713944742729127,-0.009196600333893301,0.0008214639848244942,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_ctcf_dnase_h3k4me3,ctcf,sequence_dnase_h3k4me3,0.0708900626904793,0.0777311561890791,0.006841093498599793,-0.0006105077447007001,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_dnase_h3k4me3_rrbs,rrbs,sequence_dnase_h3k4me3,0.0789758756392408,0.0777311561890791,-0.0012447194501617048,0.00011132350430187454,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_ctcf_dnase_rrbs,ctcf,sequence_dnase_rrbs,0.0806475239066081,0.0849218615475644,0.004274337640956291,-0.0003832048759206952,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_dnase_h3k4me3_rrbs,h3k4me3,sequence_dnase_rrbs,0.0789758756392408,0.0849218615475644,0.005945985908323598,-0.0005328298703433099,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_ctcf_h3k4me3_rrbs,ctcf,sequence_h3k4me3_rrbs,0.080591074606806,0.0760884195126622,-0.004502655094143812,0.0004026995358681895,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),sequence_dnase_h3k4me3_rrbs,dnase,sequence_h3k4me3_rrbs,0.0789758756392408,0.0760884195126622,-0.0028874561265786053,0.0002581293931759876,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),all,rrbs,sequence_ctcf_dnase_h3k4me3,0.0917955530336981,0.0708900626904793,-0.0209054903432188,0.0018727862013543928,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),all,h3k4me3,sequence_ctcf_dnase_rrbs,0.0917955530336981,0.0806475239066081,-0.011148029127089995,0.0010013299579292034,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),all,dnase,sequence_ctcf_h3k4me3_rrbs,0.0917955530336981,0.080591074606806,-0.011204478426892095,0.0010063848096596162,1,ok,CI_UNAVAILABLE
all,hct116,cnn(7|3),all,ctcf,sequence_dnase_h3k4me3_rrbs,0.0917955530336981,0.0789758756392408,-0.012819677394457302,0.001150954952351818,1,ok,CI_UNAVAILABLE
all,hct116,linear,sequence_ctcf,ctcf,sequence,0.0934162282054695,0.0968507033652117,0.003434475159742198,-0.000310002977676499,1,ok,CI_UNAVAILABLE
all,hct116,linear,sequence_dnase,dnase,sequence,,,,,0,unavailable,INVALID_EXPERIMENTS_EXCLUDED;child_all_invalid;CI_UNAVAILABLE
all,hct116,linear,sequence_h3k4me3,h3k4me3,sequence,0.0950047554874418,0.0968507033652117,0.001845947877769899,-0.00016669227341650772,1,ok,CI_UNAVAILABLE
all,hct116,linear,sequence_rrbs,rrbs,sequence,0.0953248201652691,0.0968507033652117,0.0015258831999426098,-0.00013780207284860846,1,ok,CI_UNAVAILABLE
all,hct116,linear,sequence_ctcf_dnase,dnase,sequence_ctcf,,,,,0,unavailable,INVALID_EXPERIMENTS_EXCLUDED;child_all_invalid;CI_UNAVAILABLE
all,hct116,linear,sequence_ctcf_h3k4me3,h3k4me3,sequence_ctcf,0.0911982343313297,0.0934162282054695,0.0022179938741398036,-0.00019988883602539698,1,ok,CI_UNAVAILABLE
all,hct116,linear,sequence_ctcf_rrbs,rrbs,sequence_ctcf,0.0921233475141729,0.0934162282054695,0.0012928806912965995,-0.00011654597468790939,1,ok,CI_UNAVAILABLE
all,hct116,linear,sequence_ctcf_dnase,ctcf,sequence_dnase,,,,,0,unavailable,INVALID_EXPERIMENTS_EXCLUDED;parent_all_invalid;CI_UNAVAILABLE
all,hct116,linear,sequence_dnase_h3k4me3,h3k4me3,sequence_dnase,,,,,0,unavailable,INVALID_EXPERIMENTS_EXCLUDED;parent_all_invalid;CI_UNAVAILABLE
all,hct116,linear,sequence_dnase_rrbs,rrbs,sequence_dnase,,,,,0,unavailable,INVALID_EXPERIMENTS_EXCLUDED;parent_all_invalid;CI_UNAVAILABLE
all,hct116,linear,sequence_ctcf_h3k4me3,ctcf,sequence_h3k4me3,0.0911982343313297,0.0950047554874418,0.0038065211561121026,-0.00034319954028538824,1,ok,CI_UNAVAILABLE
all,hct116,linear,sequence_dnase_h3k4me3,dnase,sequence_h3k4me3,,,,,0,unavailable,INVALID_EXPERIMENTS_EXCLUDED;child_all_invalid;CI_UNAVAILABLE
all,hct116,linear,sequence_h3k4me3_rrbs,rrbs,sequence_h3k4me3,0.0932085832325899,0.0950047554874418,0.0017961722548519021,-0.00016203433806430412,1,ok,CI_UNAVAILABLE
all,hct116,linear,sequence_ctcf_rrbs,ctcf,sequence_rrbs,0.0921233475141729,0.0953248201652691,0.0032014726510961877,-0.0002887468795157999,1,ok,CI_UNAVAILABLE
all,hct116,linear,sequence_dnase_rrbs,dnase,sequence_rrbs,,,,,0,unavailable,INVALID_EXPERIMENTS_EXCLUDED;child_all_invalid;CI_UNAVAILABLE
all,hct116,linear,sequence_h3k4me3_rrbs,h3k4me3,sequence_rrbs,0.0932085832325899,0.0953248201652691,0.0021162369326791913,-0.00019092453863220338,1,ok,CI_UNAVAILABLE
all,hct116,linear,sequence_ctcf_dnase_h3k4me3,h3k4me3,sequence_ctcf_dnase,,,,,0,unavailable,INVALID_EXPERIMENTS_EXCLUDED;parent_all_invalid;CI_UNAVAILABLE
all,hct116,linear,sequence_ctcf_dnase_rrbs,rrbs,sequence_ctcf_dnase,,,,,0,unavailable,INVALID_EXPERIMENTS_EXCLUDED;parent_all_invalid;CI_UNAVAILABLE
all,hct116,linear,sequence_ctcf_dnase_h3k4me3,dnase,sequence_ctcf_h3k4me3,,,,,0,unavailable,INVALID_EXPERIMENTS_EXCLUDED;child_all_invalid;CI_UNAVAILABLE
all,hct116,linear,sequence_ctcf_h3k4me3_rrbs,rrbs,sequence_ctcf_h3k4me3,0.089383352678669,0.0911982343313297,0.0018148816526607076,-0.00016337839403390841,1,ok,CI_UNAVAILABLE
all,hct116,linear,sequence_ctcf_dnase_rrbs,dnase,sequence_ctcf_rrbs,,,,,0,unavailable,INVALID_EXPERIMENTS_EXCLUDED;child_all_invalid;CI_UNAVAILABLE
all,hct116,linear,sequence_ctcf_h3k4me3_rrbs,h3k4me3,sequence_ctcf_rrbs,0.089383352678669,0.0921233475141729,0.0027399948355039117,-0.000246721255371396,1,ok,CI_UNAVAILABLE
all,hct116,linear,sequence_ctcf_dnase_h3k4me3,ctcf,sequence_dnase_h3k4me3,,,,,0,unavailable,INVALID_EXPERIMENTS_EXCLUDED;parent_all_invalid;CI_UNAVAILABLE
all,hct116,linear,sequence_dnase_h3k4me3_rrbs,rrbs,sequence_dnase_h3k4me3,,,,,0,unavailable,INVALID_EXPERIMENTS_EXCLUDED;parent_all_invalid;CI_UNAVAILABLE
all,hct116,linear,sequence_ctcf_dnase_rrbs,ctcf,sequence_dnase_rrbs,,,,,0,unavailable,INVALID_EXPERIMENTS_EXCLUDED;parent_all_invalid;CI_UNAVAILABLE
all,hct116,linear,sequence_dnase_h3k4me3_rrbs,h3k4me3,sequence_dnase_rrbs,,,,,0,unavailable,INVALID_EXPERIMENTS_EXCLUDED;parent_all_invalid;CI_UNAVAILABLE
all,hct116,linear,sequence_ctcf_h3k4me3_rrbs,ctcf,sequence_h3k4me3_rrbs,0.089383352678669,0.0932085832325899,0.003825230553920908,-0.00034454359625499253,1,ok,CI_UNAVAILABLE
all,hct116,linear,sequence_dnase_h3k4me3_rrbs,dnase,sequence_h3k4me3_rrbs,,,,,0,unavailable,INVALID_EXPERIMENTS_EXCLUDED;child_all_invalid;CI_UNAVAILABLE
all,hct116,linear,all,rrbs,sequence_ctcf_dnase_h3k4me3,,,,,0,unavailable,INVALID_EXPERIMENTS_EXCLUDED;parent_all_invalid;CI_UNAVAILABLE
all,hct116,linear,all,h3k4me3,sequence_ctcf_dnase_rrbs,,,,,0,unavailable,INVALID_EXPERIMENTS_EXCLUDED;parent_all_invalid;CI_UNAVAILABLE
all,hct116,linear,all,dnase,sequence_ctcf_h3k4me3_rrbs,,,,,0,unavailable,INVALID_EXPERIMENTS_EXCLUDED;child_all_invalid;CI_UNAVAILABLE
all,hct116,linear,all,ctcf,sequence_dnase_h3k4me3_rrbs,,,,,0,unavailable,INVALID_EXPERIMENTS_EXCLUDED;parent_all_invalid;CI_UNAVAILABLE
all,hct116,mlp,sequence_ctcf,ctcf,sequence,0.0828739334098065,0.0927671929123749,0.009893259502568391,-0.0008894026352814777,1,ok,CI_UNAVAILABLE
all,hct116,mlp,sequence_dnase,dnase,sequence,0.0810920817127767,0.0927671929123749,0.011675111199598201,-0.001049080162910887,1,ok,CI_UNAVAILABLE
all,hct116,mlp,sequence_h3k4me3,h3k4me3,sequence,0.0759511952339924,0.0927671929123749,0.016815997678382502,-0.0015089060517887998,1,ok,CI_UNAVAILABLE
all,hct116,mlp,sequence_rrbs,rrbs,sequence,0.0893868957446344,0.0927671929123749,0.0033802971677404925,-0.0003044311489023843,1,ok,CI_UNAVAILABLE
all,hct116,mlp,sequence_ctcf_dnase,dnase,sequence_ctcf,0.071475392776378,0.0828739334098065,0.011398540633428503,-0.0010188004329926004,1,ok,CI_UNAVAILABLE
all,hct116,mlp,sequence_ctcf_h3k4me3,h3k4me3,sequence_ctcf,0.0834869685215001,0.0828739334098065,-0.0006130351116935967,5.497192895428937e-05,1,ok,CI_UNAVAILABLE
all,hct116,mlp,sequence_ctcf_rrbs,rrbs,sequence_ctcf,0.0847494497504959,0.0828739334098065,-0.001875516340689401,0.0001682387721112788,1,ok,CI_UNAVAILABLE
all,hct116,mlp,sequence_ctcf_dnase,ctcf,sequence_dnase,0.071475392776378,0.0810920817127767,0.009616688936398693,-0.000859122905363191,1,ok,CI_UNAVAILABLE
all,hct116,mlp,sequence_dnase_h3k4me3,h3k4me3,sequence_dnase,0.0818545660704419,0.0810920817127767,-0.0007624843576652107,6.830973720098332e-05,1,ok,CI_UNAVAILABLE
all,hct116,mlp,sequence_dnase_rrbs,rrbs,sequence_dnase,0.0880762185062257,0.0810920817127767,-0.006984136793449003,0.0006267608582976036,1,ok,CI_UNAVAILABLE
all,hct116,mlp,sequence_ctcf_h3k4me3,ctcf,sequence_h3k4me3,0.0834869685215001,0.0759511952339924,-0.007535773287507708,0.0006744753454616115,1,ok,CI_UNAVAILABLE
