model,split_type,cell_line,environment,random_seed,n_train,n_valid,n_test,R2,MAE,RMSE,Pearson,Spearman,MSE,source_table,run_name
cnn(7|3),single,hl60,sequence,42,1453,311,312,0.0986134049513389,0.0818972698687456,0.1060209837715387,0.3244456956491867,0.3181920552147482,0.0112404489998848,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_cnn_sequence_kernel_7
transformer,single,hct116,sequence,42,2968,635,636,0.1117370763057227,0.1374139298594105,0.1699089910824723,0.3378157940979909,0.3268580450636216,0.0288690652506636,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_transformer_sequence
transformer,single,hek293t,sequence,42,1633,345,355,0.0365317119118739,0.0954486036069796,0.117877519398689,0.2103582304714999,0.0918041097470367,0.0138951095795883,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_transformer_sequence
transformer,single,hela,sequence,42,5669,1215,1217,0.0865409599937047,0.1400797075010431,0.1782927793915931,0.2999970130990734,0.3107328003833856,0.0317883151831793,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_transformer_sequence
transformer,single,hl60,sequence,42,1453,311,312,0.1428012731320992,0.0790216473874468,0.1033896442123336,0.3823771648893028,0.4142406036070706,0.0106894185303529,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_transformer_sequence
linear,single,hct116,sequence_ctcf,42,2968,635,636,0.1182679280182827,0.1347499987470724,0.1692832205065504,0.3447057741693899,0.3221330855143828,0.0286568087450693,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_linear_sequence_ctcf
linear,single,hek293t,sequence_ctcf,42,1633,345,355,-0.0061753065053427,0.100259106186494,0.1204617319577238,0.1317939783696934,0.1061407912138047,0.0145110288662544,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_linear_sequence_ctcf
linear,single,hela,sequence_ctcf,42,5669,1215,1217,0.0734934726701228,0.1415237038898358,0.1795615963770225,0.280335703039305,0.2893654856298311,0.0322423668934647,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_linear_sequence_ctcf
linear,single,hl60,sequence_ctcf,42,1453,311,312,0.1313181663382421,0.0799460910702458,0.1040798486111889,0.3768620240248581,0.3961120369958252,0.010832614886928,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_linear_sequence_ctcf
xgboost,single,hct116,sequence_ctcf,42,2968,635,636,0.1417252711400015,0.1335656280269108,0.1670162607511847,0.3775457053982474,0.3607247327114934,0.0278944313553077,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_xgboost_sequence_ctcf
xgboost,single,hek293t,sequence_ctcf,42,1633,345,355,0.0458632506012794,0.0966609005881866,0.1173052872630229,0.231213733479747,0.1552291850512712,0.0137605304198603,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_xgboost_sequence_ctcf
xgboost,single,hela,sequence_ctcf,42,5669,1215,1217,0.0987772813987289,0.1394548124725608,0.1770945848808018,0.3146698683196481,0.3215174304060305,0.0313624919941035,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_xgboost_sequence_ctcf
xgboost,single,hl60,sequence_ctcf,42,1453,311,312,0.1394624164155748,0.0785923578764479,0.1035908039328416,0.3755205208973587,0.4121875935925225,0.0107310546594524,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_xgboost_sequence_ctcf
mlp,single,hct116,sequence_ctcf,42,2968,635,636,0.1254704148088992,0.1353686360580811,0.1685904021766379,0.35714591385154,0.3385674046693606,0.0284227237060805,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_mlp_sequence_ctcf
mlp,single,hek293t,sequence_ctcf,42,1633,345,355,-0.001575706728683,0.0990273900539942,0.1201860789851951,0.131535611608435,0.1319992704273632,0.0144446935818355,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_mlp_sequence_ctcf
mlp,single,hela,sequence_ctcf,42,5669,1215,1217,0.0796082455552054,0.1395571221250112,0.1789680787033069,0.2887812013096092,0.2849201863716648,0.032029573194753,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_mlp_sequence_ctcf
mlp,single,hl60,sequence_ctcf,42,1453,311,312,0.1540311629530861,0.0788454987550488,0.1027101739549673,0.3943837142757223,0.4216999523493056,0.0105493798338596,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_mlp_sequence_ctcf
cnn(3|3),single,hct116,sequence_ctcf,42,2968,635,636,0.0939106661358808,0.1368396819009791,0.1716054603490528,0.3069700105945674,0.2993242482336378,0.0294484340216103,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_cnn_sequence_ctcf_kernel_3
cnn(3|3),single,hek293t,sequence_ctcf,42,1633,345,355,0.0506842982630209,0.0948878907086983,0.1170085527683958,0.243330107777464,0.1678891478752538,0.0136910014209544,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_cnn_sequence_ctcf_kernel_3
cnn(3|3),single,hela,sequence_ctcf,42,5669,1215,1217,0.0803180918303588,0.1416014750336628,0.178899051396435,0.2857671358320577,0.2774878371686082,0.0320048705905443,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_cnn_sequence_ctcf_kernel_3
cnn(3|3),single,hl60,sequence_ctcf,42,1453,311,312,0.0131112783925472,0.0858757968287532,0.1109354565524374,0.2141717556829195,0.2180311649765026,0.0123066755204977,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_cnn_sequence_ctcf_kernel_3
cnn(5|3),single,hct116,sequence_ctcf,42,2968,635,636,0.096684593432311,0.1321145854699981,0.1713425801132491,0.3391700078862254,0.3321345289401684,0.0293582797598652,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_cnn_sequence_ctcf_kernel_5
cnn(5|3),single,hek293t,sequence_ctcf,42,1633,345,355,0.0322033773980848,0.0957394078688722,0.1181420022043502,0.2451124895100446,0.1631203714383041,0.0139575326848526,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_cnn_sequence_ctcf_kernel_5
cnn(5|3),single,hela,sequence_ctcf,42,5669,1215,1217,0.0800025015118214,0.1383989711605892,0.1789297435115364,0.3045864977916356,0.3290669256195218,0.0320158531131042,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_cnn_sequence_ctcf_kernel_5
cnn(5|3),single,hl60,sequence_ctcf,42,1453,311,312,-0.0743810067208501,0.0901632858022378,0.1157485190725346,0.2373207622621511,0.2366580031435234,0.0133977196674849,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_cnn_sequence_ctcf_kernel_5
cnn(7|3),single,hct116,sequence_ctcf,42,2968,635,636,0.1416692203885571,0.1337094857700098,0.1670217142696033,0.3818492615704886,0.37794296473034,0.027896253037557,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_cnn_sequence_ctcf_kernel_7
cnn(7|3),single,hek293t,sequence_ctcf,42,1633,345,355,0.0753995160054019,0.0963422378708779,0.1154753624028564,0.2765435409841583,0.2111638024682086,0.013334559322071,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_cnn_sequence_ctcf_kernel_7
cnn(7|3),single,hela,sequence_ctcf,42,5669,1215,1217,0.1054343170195002,0.1368062211201408,0.1764393028422444,0.3354082785639536,0.3327584039858433,0.0311308275874572,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_cnn_sequence_ctcf_kernel_7
cnn(7|3),single,hl60,sequence_ctcf,42,1453,311,312,0.0789941324909769,0.0841528311527023,0.1071685810763303,0.2999842681384147,0.2796100071199462,0.0114851047699139,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_cnn_sequence_ctcf_kernel_7
transformer,single,hct116,sequence_ctcf,42,2968,635,636,0.1181495288849845,0.1355104208177061,0.169294585814918,0.3454219242804247,0.3431551657955419,0.0286606567862446,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_transformer_sequence_ctcf
transformer,single,hek293t,sequence_ctcf,42,1633,345,355,0.0223584858819947,0.0988134867393634,0.1187413803314777,0.1570397928001199,0.1026846663680425,0.0140995154030246,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_transformer_sequence_ctcf
transformer,single,hela,sequence_ctcf,42,5669,1215,1217,0.0741512979095918,0.1382230183349215,0.1794978401483274,0.2986597797524735,0.3072878645613252,0.0322194746179144,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_transformer_sequence_ctcf
transformer,single,hl60,sequence_ctcf,42,1453,311,312,0.0885192226523627,0.082093556680215,0.1066129693062926,0.3591207883221317,0.3921656094745069,0.0113663252243045,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_transformer_sequence_ctcf
linear,single,hct116,sequence_dnase,42,2968,635,636,0.1324605581040019,0.1339290961432827,0.1679152761217973,0.364191986757967,0.3461074933986816,0.0281955399550594,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_linear_sequence_dnase
linear,single,hek293t,sequence_dnase,42,1633,345,355,-0.0032674008395727,0.0999661240044613,0.1202875352707114,0.1299720473512589,0.107050597217059,0.0144690911415026,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_linear_sequence_dnase
linear,single,hela,sequence_dnase,42,5669,1215,1217,0.0807225503449131,0.1408243453773758,0.1788597088797328,0.2892852399281765,0.2899912776869229,0.0319907954605427,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_linear_sequence_dnase
linear,single,hl60,sequence_dnase,42,1453,311,312,0.1517807706326207,0.0789349341872506,0.1028466947497853,0.3961219201179897,0.4171865702484237,0.0105774426209555,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_linear_sequence_dnase
xgboost,single,hct116,sequence_dnase,42,2968,635,636,0.1461694845357602,0.1332840018557185,0.166583287928576,0.3843633656934251,0.3739533871836158,0.0277499918170948,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_xgboost_sequence_dnase
xgboost,single,hek293t,sequence_dnase,42,1633,345,355,0.0372497226251367,0.0970956501931371,0.1178335879598503,0.1990521957673409,0.1223259955850126,0.0138847544514917,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_xgboost_sequence_dnase
xgboost,single,hela,sequence_dnase,42,5669,1215,1217,0.0992608377204441,0.1389034500585162,0.1770470679383228,0.3175613747328589,0.3257797015991076,0.031345664265557,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_xgboost_sequence_dnase
xgboost,single,hl60,sequence_dnase,42,1453,311,312,0.139404239350024,0.0782143397029871,0.1035943055272236,0.375171960806254,0.4165954803751049,0.0107317801376677,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_xgboost_sequence_dnase
mlp,single,hct116,sequence_dnase,42,2968,635,636,0.1264342351081037,0.1341986377773302,0.1684974747047384,0.3566463589150756,0.3340895872968272,0.0283913989818739,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_mlp_sequence_dnase
mlp,single,hek293t,sequence_dnase,42,1633,345,355,-0.0063429899947413,0.099317639405039,0.1204717692752329,0.1093386832230131,0.1064832721332757,0.0145134471923049,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_mlp_sequence_dnase
mlp,single,hela,sequence_dnase,42,5669,1215,1217,0.0614381909248921,0.1404624885787673,0.1807260078520911,0.2761503698110706,0.2790571310047854,0.032661889914154,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_mlp_sequence_dnase
mlp,single,hl60,sequence_dnase,42,1453,311,312,0.1544255518590312,0.0783720273966304,0.1026862295295821,0.393312945082537,0.42712209561906,0.010544461735002,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_mlp_sequence_dnase
cnn(3|3),single,hct116,sequence_dnase,42,2968,635,636,0.0625502362549341,0.1381762935443189,0.1745498964756566,0.2653946606155176,0.2730360530267073,0.0304676663596624,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_cnn_sequence_dnase_kernel_3
cnn(3|3),single,hek293t,sequence_dnase,42,1633,345,355,0.0546397555668173,0.0958682453653342,0.1167645320256737,0.2405734185776545,0.15363753651216,0.0136339559391745,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_cnn_sequence_dnase_kernel_3
cnn(3|3),single,hela,sequence_dnase,42,5669,1215,1217,0.078055564049665,0.1440109210600856,0.1791189727811195,0.2855976569126067,0.276978562862619,0.0320836064101634,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_cnn_sequence_dnase_kernel_3
cnn(3|3),single,hl60,sequence_dnase,42,1453,311,312,0.0781912520951015,0.0846634969557038,0.1072152826295115,0.281592192879506,0.2808597512839215,0.011495116829326,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_cnn_sequence_dnase_kernel_3
cnn(5|3),single,hct116,sequence_dnase,42,2968,635,636,0.0954775046349295,0.1328400030260636,0.1714570233403638,0.3308825351634034,0.3273956826132804,0.029397510852738,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_cnn_sequence_dnase_kernel_5
cnn(5|3),single,hek293t,sequence_dnase,42,1633,345,355,0.0542935105224092,0.0975751060100508,0.1167859129963808,0.2582469576405113,0.1899842015337119,0.0136389494743982,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_cnn_sequence_dnase_kernel_5
cnn(5|3),single,hela,sequence_dnase,42,5669,1215,1217,0.0812967940510498,0.1373830297035148,0.1788038361359077,0.3231033523053626,0.3352626744468128,0.0319708118169165,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_cnn_sequence_dnase_kernel_5
cnn(5|3),single,hl60,sequence_dnase,42,1453,311,312,0.0529872264415978,0.0844024358711277,0.1086711343991075,0.2622000115794501,0.2556214780565787,0.0118094154515888,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_cnn_sequence_dnase_kernel_5
cnn(7|3),single,hct116,sequence_dnase,42,2968,635,636,0.1517463138346477,0.1318685973821641,0.1660383738739,0.3918597666501021,0.3832745837434212,0.027568741598689,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_cnn_sequence_dnase_kernel_7
cnn(7|3),single,hek293t,sequence_dnase,42,1633,345,355,0.0824194445543414,0.0952932552657496,0.1150361601047262,0.2877016405228077,0.2085394867778371,0.0132333181316402,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_cnn_sequence_dnase_kernel_7
cnn(7|3),single,hela,sequence_dnase,42,5669,1215,1217,0.1084901439417206,0.1367827288089436,0.1761376876460774,0.3331242105445409,0.3344456122235935,0.0310244850093071,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_cnn_sequence_dnase_kernel_7
cnn(7|3),single,hl60,sequence_dnase,42,1453,311,312,0.0588817914495685,0.0840797759891033,0.1083324013934143,0.2779054167116903,0.2656707961300998,0.0117359091916638,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_cnn_sequence_dnase_kernel_7
transformer,single,hct116,sequence_dnase,42,2968,635,636,0.1202067842338439,0.1338564115825384,0.169096998147602,0.3499664893933477,0.351384504734001,0.0285937947825301,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_transformer_sequence_dnase
transformer,single,hek293t,sequence_dnase,42,1633,345,355,0.0431414979032251,0.0957156026972011,0.1174724795529654,0.2270411995927604,0.0749603697216626,0.0137997834523218,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_transformer_sequence_dnase
transformer,single,hela,sequence_dnase,42,5669,1215,1217,0.0770503414663823,0.139738602944767,0.1792165954667272,0.2991714802763748,0.3148309852149573,0.0321185880906845,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_transformer_sequence_dnase
transformer,single,hl60,sequence_dnase,42,1453,311,312,0.1508090782705182,0.0784178828784766,0.1029055868026931,0.3977349629544329,0.4317212173606573,0.0105895597952066,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_transformer_sequence_dnase
linear,single,hct116,sequence_h3k4me3,42,2968,635,636,0.1291485088879427,0.1343229764518943,0.1682355001013621,0.3594595338541508,0.3368019342827816,0.0283031834943554,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_linear_sequence_h3k4me3
linear,single,hek293t,sequence_h3k4me3,42,1633,345,355,-0.0326914478479014,0.1017712242222802,0.1220386980801184,0.0926173728916879,0.0837723733373388,0.0148934438290903,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_linear_sequence_h3k4me3
linear,single,hela,sequence_h3k4me3,42,5669,1215,1217,0.0769483723004584,0.1411620007433816,0.1792264952818832,0.2850714786498061,0.2858589104140577,0.0321221366110269,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_linear_sequence_h3k4me3
linear,single,hl60,sequence_h3k4me3,42,1453,311,312,-9.367863594823454e+16,1934992.482401274,34178780.36692846,-0.0290363957107795,0.4139043619745878,1168189027370734.2,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_linear_sequence_h3k4me3
xgboost,single,hct116,sequence_h3k4me3,42,2968,635,636,0.1352406850554437,0.1343762857075078,0.1676460086041283,0.3711997854457439,0.3548011339879557,0.0281051842008954,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_xgboost_sequence_h3k4me3
xgboost,single,hek293t,sequence_h3k4me3,42,1633,345,355,0.0190666566113274,0.098036680517482,0.1189411201478426,0.143270864057394,0.0842374758932571,0.0141469900620235,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_xgboost_sequence_h3k4me3
xgboost,single,hela,sequence_h3k4me3,42,5669,1215,1217,0.095653499669192,0.13959619384512,0.1774012384261412,0.3117640564637977,0.3161998455967506,0.0314711993951286,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_xgboost_sequence_h3k4me3
xgboost,single,hl60,sequence_h3k4me3,42,1453,311,312,0.1583049333000665,0.0776040931172573,0.1024504034533099,0.3996848450000964,0.4404536219664169,0.0104960851677459,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_xgboost_sequence_h3k4me3
mlp,single,hct116,sequence_h3k4me3,42,2968,635,636,0.1262568503972241,0.1351871327218839,0.1685145812351761,0.3560187115203853,0.3349085446505804,0.0283971640888667,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_mlp_sequence_h3k4me3
mlp,single,hek293t,sequence_h3k4me3,42,1633,345,355,-0.0205978435849789,0.0991379425244432,0.1213220105581385,0.0593996129337957,0.0759691648270886,0.014719030245869,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_mlp_sequence_h3k4me3
mlp,single,hela,sequence_h3k4me3,42,5669,1215,1217,0.0604535944924006,0.140215364678851,0.1808207781367206,0.2744795557978485,0.2751392516595446,0.0326961538059691,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_mlp_sequence_h3k4me3
mlp,single,hl60,sequence_h3k4me3,42,1453,311,312,0.1623509237719551,0.0785597166440521,0.1022038695776317,0.4029601967390809,0.423481519353847,0.0104456309566415,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_mlp_sequence_h3k4me3
cnn(3|3),single,hct116,sequence_h3k4me3,42,2968,635,636,0.0701615079221368,0.1371800407998662,0.173839856111223,0.2717537864465817,0.2875038953475402,0.0302202955727707,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_cnn_sequence_h3k4me3_kernel_3
cnn(3|3),single,hek293t,sequence_h3k4me3,42,1633,345,355,0.0475501061251215,0.0967698402492932,0.1172015470979144,0.2249880129326125,0.1486531069869991,0.0137362026421446,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_cnn_sequence_h3k4me3_kernel_3
cnn(3|3),single,hela,sequence_h3k4me3,42,5669,1215,1217,0.0637529270326924,0.1433898047371161,0.1805030117425943,0.2636007852115644,0.2519043365069108,0.0325813372481471,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_cnn_sequence_h3k4me3_kernel_3
cnn(3|3),single,hl60,sequence_h3k4me3,42,1453,311,312,0.1029392745999385,0.0846506143764903,0.1057662736714239,0.3341932818506774,0.3326018464446497,0.0111865046463385,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_cnn_sequence_h3k4me3_kernel_3
cnn(5|3),single,hct116,sequence_h3k4me3,42,2968,635,636,0.1013200107063211,0.1348484002519399,0.1709023872964518,0.3217310894698515,0.3175459910476071,0.0292076259836264,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_cnn_sequence_h3k4me3_kernel_5
cnn(5|3),single,hek293t,sequence_h3k4me3,42,1633,345,355,0.029418324408747,0.0976733707731038,0.1183118702081048,0.1717398441419871,0.1148291002920973,0.0139976986321394,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_cnn_sequence_h3k4me3_kernel_5
cnn(5|3),single,hela,sequence_h3k4me3,42,5669,1215,1217,0.076765109984681,0.1367544634611338,0.1792442861786591,0.2995982056873364,0.3310105794015812,0.032128514127697,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_cnn_sequence_h3k4me3_kernel_5
