feature,model,split_type,cell_line,held_out_cell_line,environment,baseline_environment,expanded_environment,delta_r2,delta_r2_ci_low,delta_r2_ci_high,delta_rmse,raw_importance,normalized_importance,importance_method,effect_direction,evidence_tier,evidence_strength,coverage,snr,fdr,robustness_metric,robustness_value,statistical_metric,statistical_value,eligible,filter_mode,filter_pass,filter_reason,n_importance_contexts,n_paired,importance_value,importance_metric,cell_line_consistency,direction_concordance,permutation_fdr,ci_excludes_zero
ctcf,cnn,single,hct116,,ctcf,,,0.005678916666666666,,,-0.000542125,0.07817421113698582,0.37736210039621143,CNN_IG,+,Inconclusive,Moderate attribution evidence,7,1.8190568949001422,0.0069930069930069,ISM_SNR,1.8190568949001422,,,False,strict,False,filter_mode=strict excludes: Moderate attribution evidence,24.0,24.0,0.07817421113698582,CNN_IG,Context-conflicting,0.5714285714285714,0.0069930069930069,False
dnase,cnn,single,hct116,,dnase,,,0.003786458333333333,,,-0.00037174999999999996,0.06833804854977531,0.329881033177712,CNN_IG,+,Inconclusive,Weak attribution evidence,7,1.7134419431289036,0.0069930069930069,ISM_SNR,1.7134419431289036,,,False,strict,False,filter_mode=strict excludes: Weak attribution evidence,24.0,24.0,0.06833804854977531,CNN_IG,Uncertain,0.5714285714285714,0.0069930069930069,False
h3k4me3,cnn,single,hct116,,h3k4me3,,,-0.0055600833333333335,,,0.00051925,0.059546056955998274,0.2874403821466479,CNN_IG,-,Inconclusive,Weak attribution evidence,7,1.7378229640316272,0.0069930069930069,ISM_SNR,1.7378229640316272,,,False,strict,False,filter_mode=strict excludes: Weak attribution evidence,24.0,24.0,0.059546056955998274,CNN_IG,Context-conflicting,0.7142857142857143,0.0069930069930069,False
rrbs,cnn,single,hct116,,rrbs,,,-0.00022220833333333316,,,2.287500000000001e-05,0.0011013611704253023,0.005316484279428658,CNN_IG,-,Inconclusive,below min effect,7,1.5274437686455424,0.0069930069930069,ISM_SNR,1.5274437686455424,,,False,strict,False,filter_mode=strict excludes: below min effect,24.0,24.0,0.0011013611704253023,CNN_IG,Uncertain,0.5714285714285714,0.0069930069930069,False
ctcf,cnn,single,hek293t,,ctcf,,,0.013948375,,,-0.0008496666666666666,0.02594253110388801,0.07285632991305724,CNN_IG,+,Inconclusive,Moderate attribution evidence,7,1.881204849244028,0.0069930069930069,ISM_SNR,1.881204849244028,,,False,strict,False,filter_mode=strict excludes: Moderate attribution evidence,24.0,24.0,0.02594253110388801,CNN_IG,Context-conflicting,0.5714285714285714,0.0069930069930069,False
dnase,cnn,single,hek293t,,dnase,,,0.005583125,,,-0.000340125,0.2932690668094426,0.8236092229859935,CNN_IG,+,Inconclusive,Moderate attribution evidence,7,2.225899076656155,0.0069930069930069,ISM_SNR,2.225899076656155,,,False,strict,False,filter_mode=strict excludes: Moderate attribution evidence,24.0,24.0,0.2932690668094426,CNN_IG,Uncertain,0.5714285714285714,0.0069930069930069,False
h3k4me3,cnn,single,hek293t,,h3k4me3,,,-0.016617666666666666,,,0.0010205416666666668,0.03624841113984566,0.10179909547965958,CNN_IG,-,Inconclusive,Weak attribution evidence,7,1.7515963105403858,0.0069930069930069,ISM_SNR,1.7515963105403858,,,False,strict,False,filter_mode=strict excludes: Weak attribution evidence,24.0,24.0,0.03624841113984566,CNN_IG,Context-conflicting,0.7142857142857143,0.0069930069930069,False
rrbs,cnn,single,hek293t,,rrbs,,,-0.002864666666666667,,,0.00018062499999999999,0.0006179204122031973,0.0017353516212896204,CNN_IG,-,Inconclusive,below min effect,7,1.6497001604757449,0.0069930069930069,ISM_SNR,1.6497001604757449,,,False,strict,False,filter_mode=strict excludes: below min effect,24.0,24.0,0.0006179204122031973,CNN_IG,Uncertain,0.5714285714285714,0.0069930069930069,False
ctcf,cnn,single,hela,,ctcf,,,0.002353916666666667,,,-0.00022695833333333335,0.1372069136232301,0.3332393282121854,CNN_IG,+,Inconclusive,Moderate attribution evidence,7,1.8143990823756093,0.0069930069930069,ISM_SNR,1.8143990823756093,,,False,strict,False,filter_mode=strict excludes: Moderate attribution evidence,24.0,24.0,0.1372069136232301,CNN_IG,Context-conflicting,0.5714285714285714,0.0069930069930069,False
dnase,cnn,single,hela,,dnase,,,0.003333916666666667,,,-0.0003281666666666667,0.1904532039200895,0.462560493886393,CNN_IG,+,Inconclusive,Weak attribution evidence,7,1.7281886660966321,0.0069930069930069,ISM_SNR,1.7281886660966321,,,False,strict,False,filter_mode=strict excludes: Weak attribution evidence,24.0,24.0,0.1904532039200895,CNN_IG,Uncertain,0.5714285714285714,0.0069930069930069,False
h3k4me3,cnn,single,hela,,h3k4me3,,,-0.00028591666666666696,,,2.637500000000003e-05,0.08172290801727777,0.1984833434997774,CNN_IG,-,Inconclusive,Weak attribution evidence,7,1.7681715280033539,0.0069930069930069,ISM_SNR,1.7681715280033539,,,False,strict,False,filter_mode=strict excludes: Weak attribution evidence,24.0,24.0,0.08172290801727777,CNN_IG,Context-conflicting,0.7142857142857143,0.0069930069930069,False
rrbs,cnn,single,hela,,rrbs,,,0.005997416666666667,,,-0.0005884999999999999,0.0023538314284599162,0.0057168344016442375,CNN_IG,+,Inconclusive,below min effect,7,1.391916681566964,0.0069930069930069,ISM_SNR,1.391916681566964,,,False,strict,False,filter_mode=strict excludes: below min effect,24.0,24.0,0.0023538314284599162,CNN_IG,Uncertain,0.5714285714285714,0.0069930069930069,False
ctcf,cnn,single,hl60,,ctcf,,,-0.017229916666666668,,,0.000978875,0.013418945094295323,0.14637243977790093,CNN_IG,-,Inconclusive,Weak attribution evidence,7,1.6918330830724342,0.0069930069930069,ISM_SNR,1.6918330830724342,,,False,strict,False,filter_mode=strict excludes: Weak attribution evidence,24.0,24.0,0.013418945094295323,CNN_IG,Context-conflicting,0.5714285714285714,0.0069930069930069,False
dnase,cnn,single,hl60,,dnase,,,0.013173791666666665,,,-0.0007400833333333334,0.034928286598489684,0.380994071497926,CNN_IG,+,Inconclusive,Moderate attribution evidence,7,2.084910276359406,0.0069930069930069,ISM_SNR,2.084910276359406,,,False,strict,False,filter_mode=strict excludes: Moderate attribution evidence,24.0,24.0,0.034928286598489684,CNN_IG,Uncertain,0.5714285714285714,0.0069930069930069,False
h3k4me3,cnn,single,hl60,,h3k4me3,,,0.013497374999999999,,,-0.00076275,0.04159092919144199,0.4536694751787399,CNN_IG,+,Inconclusive,Moderate attribution evidence,7,1.922121840218703,0.0069930069930069,ISM_SNR,1.922121840218703,,,False,strict,False,filter_mode=strict excludes: Moderate attribution evidence,24.0,24.0,0.04159092919144199,CNN_IG,Context-conflicting,0.7142857142857143,0.0069930069930069,False
rrbs,cnn,single,hl60,,rrbs,,,-0.0018319583333333328,,,0.0001131666666666667,0.0017385585491351526,0.01896401354543313,CNN_IG,-,Inconclusive,below min effect,7,1.7482719322045643,0.0069930069930069,ISM_SNR,1.7482719322045643,,,False,strict,False,filter_mode=strict excludes: below min effect,24.0,24.0,0.0017385585491351526,CNN_IG,Uncertain,0.5714285714285714,0.0069930069930069,False
ctcf,linear,all,hct116,hct116,ctcf,,,-0.00356675,,,0.00032175,13395116274.407597,0.14396958155874956,Linear_Coefficient,-,Inconclusive,not statistically supported,7,,0.2264889350178576,,,FDR,0.2264889350178576,False,strict,False,filter_mode=strict excludes: not statistically supported,16.0,4.0,13395116274.407597,Linear_Coefficient,Context-conflicting,0.5714285714285714,0.0069930069930069,False
dnase,linear,all,hct116,hct116,dnase,,,,,,,77563846891.73784,0.8336496938384562,Linear_Coefficient,,Inconclusive,not statistically supported,7,,0.2264889350178576,,,FDR,0.2264889350178576,False,strict,False,"evidence unavailable (missing metric), not drawn",16.0,,77563846891.73784,Linear_Coefficient,Uncertain,0.5714285714285714,0.0069930069930069,False
h3k4me3,linear,all,hct116,hct116,h3k4me3,,,-0.0022299999999999998,,,0.00020124999999999999,1428182406.0282047,0.015349984216134935,Linear_Coefficient,-,Inconclusive,not statistically supported,7,,0.2264889350178576,,,FDR,0.2264889350178576,False,strict,False,filter_mode=strict excludes: not statistically supported,16.0,4.0,1428182406.0282047,Linear_Coefficient,Context-conflicting,0.7142857142857143,0.0069930069930069,False
rrbs,linear,all,hct116,hct116,rrbs,,,-0.0016075,,,0.000145,654149188.7023752,0.007030740386659428,Linear_Coefficient,-,Inconclusive,not statistically supported,7,,0.237344471731227,,,FDR,0.237344471731227,False,strict,False,filter_mode=strict excludes: not statistically supported,16.0,4.0,654149188.7023752,Linear_Coefficient,Uncertain,0.5714285714285714,0.0069930069930069,False
ctcf,linear,all,hek293t,hek293t,ctcf,,,0.013563625,,,-0.000674875,11759843448.392897,0.5278777735113787,Linear_Coefficient,+,Inconclusive,not statistically supported,7,,0.0922917477928706,,,FDR,0.0922917477928706,False,strict,False,filter_mode=strict excludes: not statistically supported,16.0,8.0,11759843448.392897,Linear_Coefficient,Context-conflicting,0.5714285714285714,0.0069930069930069,False
dnase,linear,all,hek293t,hek293t,dnase,,,0.000637625,,,-3.1624999999999996e-05,5380991969.599664,0.24154284643840757,Linear_Coefficient,+,Inconclusive,Moderate statistical evidence,7,,0.0019917555189539,,,FDR,0.0019917555189539,False,strict,False,filter_mode=strict excludes: Moderate statistical evidence,16.0,8.0,5380991969.599664,Linear_Coefficient,Uncertain,0.5714285714285714,0.0069930069930069,False
h3k4me3,linear,all,hek293t,hek293t,h3k4me3,,,-0.00888675,,,0.000442,2705334989.806133,0.12143751889966294,Linear_Coefficient,-,Inconclusive,not statistically supported,7,,0.1230450324019935,,,FDR,0.1230450324019935,False,strict,False,filter_mode=strict excludes: not statistically supported,16.0,8.0,2705334989.806133,Linear_Coefficient,Context-conflicting,0.7142857142857143,0.0069930069930069,False
rrbs,linear,all,hek293t,hek293t,rrbs,,,-0.002337625,,,0.000116375,2431417394.710685,0.1091418611505509,Linear_Coefficient,-,Inconclusive,Weak statistical evidence,7,,0.0310142255128529,,,FDR,0.0310142255128529,False,strict,False,filter_mode=strict excludes: Weak statistical evidence,16.0,8.0,2431417394.710685,Linear_Coefficient,Uncertain,0.5714285714285714,0.0069930069930069,False
ctcf,linear,all,hela,hela,ctcf,,,0.00427175,,,-0.000390125,61408580931.23697,0.09160563056169174,Linear_Coefficient,+,Inconclusive,Strong statistical evidence,7,,1.3429146167180628e-10,,,FDR,1.3429146167180628e-10,True,strict,True,FDR=1.34291e-10 < 0.001,16.0,8.0,61408580931.23697,Linear_Coefficient,Context-conflicting,0.5714285714285714,0.0069930069930069,False
dnase,linear,all,hela,hela,dnase,,,-0.000876625,,,8e-05,591752640754.6045,0.8827410269188884,Linear_Coefficient,-,Inconclusive,Strong statistical evidence,7,,2.649880315175324e-12,,,FDR,2.649880315175324e-12,True,strict,True,FDR=2.64988e-12 < 0.001,16.0,8.0,591752640754.6045,Linear_Coefficient,Uncertain,0.5714285714285714,0.0069930069930069,False
h3k4me3,linear,all,hela,hela,h3k4me3,,,0.001825375,,,-0.000166875,9719051439.091524,0.014498296850996175,Linear_Coefficient,+,Inconclusive,Strong statistical evidence,7,,2.649880315175324e-12,,,FDR,2.649880315175324e-12,True,strict,True,FDR=2.64988e-12 < 0.001,16.0,8.0,9719051439.091524,Linear_Coefficient,Context-conflicting,0.7142857142857143,0.0069930069930069,False
rrbs,linear,all,hela,hela,rrbs,,,-0.00778475,,,0.000711125,7477875765.067933,0.011155045668423699,Linear_Coefficient,-,Inconclusive,Strong statistical evidence,7,,2.649880315175324e-12,,,FDR,2.649880315175324e-12,True,strict,True,FDR=2.64988e-12 < 0.001,16.0,8.0,7477875765.067933,Linear_Coefficient,Uncertain,0.5714285714285714,0.0069930069930069,False
ctcf,linear,all,hl60,hl60,ctcf,,,0.00895375,,,-0.0005155,10441274483.833874,0.44956073348602676,Linear_Coefficient,+,Inconclusive,not statistically supported,7,,0.5221316143061063,,,FDR,0.5221316143061063,False,strict,False,filter_mode=strict excludes: not statistically supported,16.0,8.0,10441274483.833874,Linear_Coefficient,Context-conflicting,0.5714285714285714,0.0069930069930069,False
dnase,linear,all,hl60,hl60,dnase,,,-0.0023648750000000002,,,0.000136375,7014714739.3968315,0.3020263769831048,Linear_Coefficient,-,Inconclusive,not statistically supported,7,,0.2550551816496734,,,FDR,0.2550551816496734,False,strict,False,filter_mode=strict excludes: not statistically supported,16.0,8.0,7014714739.3968315,Linear_Coefficient,Uncertain,0.5714285714285714,0.0069930069930069,False
h3k4me3,linear,all,hl60,hl60,h3k4me3,,,0.00292175,,,-0.00016825,4551496227.32381,0.19596975307781128,Linear_Coefficient,+,Inconclusive,not statistically supported,7,,0.0646714913181921,,,FDR,0.0646714913181921,False,strict,False,filter_mode=strict excludes: not statistically supported,16.0,8.0,4551496227.32381,Linear_Coefficient,Context-conflicting,0.7142857142857143,0.0069930069930069,False
rrbs,linear,all,hl60,hl60,rrbs,,,-0.01075725,,,0.00061925,1218018260.2992902,0.0524431364530571,Linear_Coefficient,-,Inconclusive,Weak statistical evidence,7,,0.0103741629604243,,,FDR,0.0103741629604243,False,strict,False,filter_mode=strict excludes: Weak statistical evidence,16.0,8.0,1218018260.2992902,Linear_Coefficient,Uncertain,0.5714285714285714,0.0069930069930069,False
ctcf,linear,mixed,none,,ctcf,,,-0.0016045,,,0.00013937499999999999,10579713272.689627,0.45552749409621063,Linear_Coefficient,-,Inconclusive,Moderate statistical evidence,7,,0.0094874075802718,,,FDR,0.0094874075802718,False,strict,False,filter_mode=strict excludes: Moderate statistical evidence,64.0,28.0,10579713272.689627,Linear_Coefficient,Context-conflicting,0.5714285714285714,0.0069930069930069,False
dnase,linear,mixed,none,,dnase,,,0.00056925,,,-4.9749999999999996e-05,10552538168.298155,0.4543574238980697,Linear_Coefficient,+,Inconclusive,Moderate statistical evidence,7,,0.0029924198941488,,,FDR,0.0029924198941488,False,strict,False,filter_mode=strict excludes: Moderate statistical evidence,64.0,26.0,10552538168.298155,Linear_Coefficient,Uncertain,0.5714285714285714,0.0069930069930069,False
h3k4me3,linear,mixed,none,,h3k4me3,,,-0.001668,,,0.00014275,1782346601.8531961,0.07674195511979841,Linear_Coefficient,-,Inconclusive,Weak statistical evidence,7,,0.0402930761734566,,,FDR,0.0402930761734566,False,strict,False,filter_mode=strict excludes: Weak statistical evidence,64.0,29.0,1782346601.8531961,Linear_Coefficient,Context-conflicting,0.7142857142857143,0.0069930069930069,False
rrbs,linear,mixed,none,,rrbs,,,-0.000828,,,7.275e-05,310593432.55022395,0.013373126885921287,Linear_Coefficient,-,Inconclusive,Moderate statistical evidence,7,,0.0063217788985294,,,FDR,0.0063217788985294,False,strict,False,filter_mode=strict excludes: Moderate statistical evidence,64.0,28.0,310593432.55022395,Linear_Coefficient,Uncertain,0.5714285714285714,0.0069930069930069,False
ctcf,linear,single,hct116,,ctcf,,,-0.014134875,,,0.001360375,1303859094.9995527,0.47482580234462757,Linear_Coefficient,-,Inconclusive,not statistically supported,7,,0.4385105375177793,,,FDR,0.4385105375177793,False,strict,False,filter_mode=strict excludes: not statistically supported,16.0,8.0,1303859094.9995527,Linear_Coefficient,Context-conflicting,0.5714285714285714,0.0069930069930069,False
dnase,linear,single,hct116,,dnase,,,0.000569875,,,-5.4875e-05,633486925.8999703,0.23069665964587086,Linear_Coefficient,+,Inconclusive,Weak statistical evidence,7,,0.0170489929328023,,,FDR,0.0170489929328023,False,strict,False,filter_mode=strict excludes: Weak statistical evidence,16.0,8.0,633486925.8999703,Linear_Coefficient,Uncertain,0.5714285714285714,0.0069930069930069,False
h3k4me3,linear,single,hct116,,h3k4me3,,,-0.003217125,,,0.00030937499999999997,266064307.55044338,0.09689252373390114,Linear_Coefficient,-,Inconclusive,not statistically supported,7,,0.452784868456764,,,FDR,0.452784868456764,False,strict,False,filter_mode=strict excludes: not statistically supported,16.0,8.0,266064307.55044338,Linear_Coefficient,Context-conflicting,0.7142857142857143,0.0069930069930069,False
rrbs,linear,single,hct116,,rrbs,,,-0.00182875,,,0.000176,542563223.4532105,0.19758501427560046,Linear_Coefficient,-,Inconclusive,not statistically supported,7,,0.2650550185566622,,,FDR,0.2650550185566622,False,strict,False,filter_mode=strict excludes: not statistically supported,16.0,8.0,542563223.4532105,Linear_Coefficient,Uncertain,0.5714285714285714,0.0069930069930069,False
ctcf,linear,single,hek293t,,ctcf,,,-0.003151875,,,0.000186375,46728350713.76244,0.13497648935294268,Linear_Coefficient,-,Inconclusive,not statistically supported,7,,0.1792279103441339,,,FDR,0.1792279103441339,False,strict,False,filter_mode=strict excludes: not statistically supported,16.0,8.0,46728350713.76244,Linear_Coefficient,Context-conflicting,0.5714285714285714,0.0069930069930069,False
dnase,linear,single,hek293t,,dnase,,,0.000386375,,,-2.2625e-05,285221801344.71606,0.8238732342225314,Linear_Coefficient,+,Inconclusive,not statistically supported,7,,0.0942620763408439,,,FDR,0.0942620763408439,False,strict,False,filter_mode=strict excludes: not statistically supported,16.0,8.0,285221801344.71606,Linear_Coefficient,Uncertain,0.5714285714285714,0.0069930069930069,False
h3k4me3,linear,single,hek293t,,h3k4me3,,,-0.029480375,,,0.00174675,7402609238.960944,0.0213826979096082,Linear_Coefficient,-,Inconclusive,not statistically supported,7,,0.1710305105078272,,,FDR,0.1710305105078272,False,strict,False,filter_mode=strict excludes: not statistically supported,16.0,8.0,7402609238.960944,Linear_Coefficient,Context-conflicting,0.7142857142857143,0.0069930069930069,False
rrbs,linear,single,hek293t,,rrbs,,,-0.015221624999999999,,,0.000902375,6843461005.950136,0.019767578514917644,Linear_Coefficient,-,Inconclusive,not statistically supported,7,,0.0793286006529938,,,FDR,0.0793286006529938,False,strict,False,filter_mode=strict excludes: not statistically supported,16.0,8.0,6843461005.950136,Linear_Coefficient,Uncertain,0.5714285714285714,0.0069930069930069,False
ctcf,linear,single,hela,,ctcf,,,-0.008970375,,,0.00087075,10893949338.370756,0.17913037757367983,Linear_Coefficient,-,Inconclusive,not statistically supported,7,,0.1839677670549983,,,FDR,0.1839677670549983,False,strict,False,filter_mode=strict excludes: not statistically supported,16.0,8.0,10893949338.370756,Linear_Coefficient,Context-conflicting,0.5714285714285714,0.0069930069930069,False
dnase,linear,single,hela,,dnase,,,1.725e-05,,,-1.5e-06,48119258129.09144,0.7912301232087994,Linear_Coefficient,+,Inconclusive,not statistically supported,7,,0.4079528589432735,,,FDR,0.4079528589432735,False,strict,False,filter_mode=strict excludes: not statistically supported,16.0,8.0,48119258129.09144,Linear_Coefficient,Uncertain,0.5714285714285714,0.0069930069930069,False
h3k4me3,linear,single,hela,,h3k4me3,,,-0.005453125,,,0.0005288749999999999,682741541.0496936,0.011226392397723245,Linear_Coefficient,-,Inconclusive,not statistically supported,7,,0.1894799157455603,,,FDR,0.1894799157455603,False,strict,False,filter_mode=strict excludes: not statistically supported,16.0,8.0,682741541.0496936,Linear_Coefficient,Context-conflicting,0.7142857142857143,0.0069930069930069,False
