model_scope,split_type,cell_line,model,factor,effect,F_statistic,p_value,df_num,df_den,effect_size,ci_low,ci_high,n_obs,family_key,status,reason
per_group_additive_main,mixed,none,cnn(3|3),dnase,-0.0013456709566190468,0.5261439344823515,0.47109988814271214,1.0,59.0,0.008302129507156938,,,64,environment_anova_group|mixed|none|cnn(3|3),ok,
per_group_additive_main,mixed,none,cnn(3|3),h3k4me3,-0.00017849223134985164,0.009256897335412934,0.9236776544536498,1.0,59.0,0.00014606641923690561,,,64,environment_anova_group|mixed|none|cnn(3|3),ok,
per_group_additive_main,mixed,none,cnn(3|3),rrbs,-0.0033903132022471967,3.339692269999541,0.07268560670482065,1.0,59.0,0.05269766678364541,,,64,environment_anova_group|mixed|none|cnn(3|3),ok,
per_group_additive_main,mixed,none,cnn(5|3),ctcf,7.51543114631709e-05,0.0009192058130379834,0.9759154441220362,1.0,59.0,1.5353039293502094e-05,,,64,environment_anova_group|mixed|none|cnn(5|3),ok,
per_group_additive_main,mixed,none,cnn(5|3),dnase,0.0013175863875611428,0.28252908321651676,0.5970439987871908,1.0,59.0,0.004718943303724585,,,64,environment_anova_group|mixed|none|cnn(5|3),ok,
per_group_additive_main,mixed,none,cnn(5|3),h3k4me3,0.00040357848010573753,0.026507023456850923,0.8712245716420426,1.0,59.0,0.0004427336804385477,,,64,environment_anova_group|mixed|none|cnn(5|3),ok,
per_group_additive_main,mixed,none,cnn(5|3),rrbs,-0.0018571500637153688,0.5613050591991581,0.45671166828522,1.0,59.0,0.009375200316721769,,,64,environment_anova_group|mixed|none|cnn(5|3),ok,
per_group_additive_main,mixed,none,cnn(7|3),ctcf,0.0006774643253600944,0.04038538949246953,0.8414201315758641,1.0,59.0,0.0006725994138791795,,,64,environment_anova_group|mixed|none|cnn(7|3),ok,
per_group_additive_main,mixed,none,cnn(7|3),dnase,0.0007271376404504151,0.046524816371713684,0.8299685787850273,1.0,59.0,0.000774848642435058,,,64,environment_anova_group|mixed|none|cnn(7|3),ok,
per_group_additive_main,mixed,none,cnn(7|3),h3k4me3,0.0026125110027510573,0.6005755820971095,0.4414534384601151,1.0,59.0,0.010002300078942778,,,64,environment_anova_group|mixed|none|cnn(7|3),ok,
per_group_additive_main,mixed,none,cnn(7|3),rrbs,0.002012143610619709,0.3562618857826282,0.552873293183432,1.0,59.0,0.005933371909402235,,,64,environment_anova_group|mixed|none|cnn(7|3),ok,
per_group_additive_main,mixed,none,linear,ctcf,-0.0002492637044922549,0.007713531733304325,0.9303454126535646,1.0,53.0,0.00014051327953379681,,,58,environment_anova_group|mixed|none|linear,ok,
per_group_additive_main,mixed,none,linear,dnase,-0.0028323263297443603,0.986079254394484,0.32521466437033264,1.0,53.0,0.017962878057138018,,,58,environment_anova_group|mixed|none|linear,ok,
per_group_additive_main,mixed,none,linear,h3k4me3,-0.0017139430978356468,0.36603622277175607,0.5477546194082055,1.0,53.0,0.006667885978578844,,,58,environment_anova_group|mixed|none|linear,ok,
per_group_additive_main,mixed,none,linear,rrbs,-0.0021754011608635217,0.5875081454647126,0.44678503042126616,1.0,53.0,0.010702321469117981,,,58,environment_anova_group|mixed|none|linear,ok,
per_group_additive_main,mixed,none,mlp,ctcf,0.0005391022085727759,0.026305950100663902,0.8717095696552383,1.0,59.0,0.00043681819963397515,,,64,environment_anova_group|mixed|none|mlp,ok,
per_group_additive_main,mixed,none,mlp,dnase,0.0028779157218684105,0.7496661706154286,0.3900891945703504,1.0,59.0,0.012448431846088823,,,64,environment_anova_group|mixed|none|mlp,ok,
per_group_additive_main,mixed,none,mlp,h3k4me3,0.002073762043184886,0.3892508882140586,0.5350983246754565,1.0,59.0,0.0064636278691678805,,,64,environment_anova_group|mixed|none|mlp,ok,
per_group_additive_main,mixed,none,mlp,rrbs,-0.0007901626968450358,0.05651253850486386,0.8129190474724769,1.0,59.0,0.0009384076694427137,,,64,environment_anova_group|mixed|none|mlp,ok,
per_group_additive_main,mixed,none,transformer,ctcf,-0.0030559875689177033,1.1291609073802997,0.2922845413229794,1.0,59.0,0.018445420497981205,,,64,environment_anova_group|mixed|none|transformer,ok,
per_group_additive_main,mixed,none,transformer,dnase,0.0015279223340599855,0.28226382715951115,0.5972158265887181,1.0,59.0,0.004610923872139631,,,64,environment_anova_group|mixed|none|transformer,ok,
per_group_additive_main,mixed,none,transformer,h3k4me3,0.0008506340775663659,0.08748593179786397,0.7684364712002901,1.0,59.0,0.0014291274070169426,,,64,environment_anova_group|mixed|none|transformer,ok,
per_group_additive_main,mixed,none,transformer,rrbs,-0.002435900444597423,0.7174171210327879,0.40041516501812985,1.0,59.0,0.01171937531968061,,,64,environment_anova_group|mixed|none|transformer,ok,
per_group_additive_main,mixed,none,xgboost,ctcf,0.0015221997419337426,0.5326936685601233,0.4683645689934251,1.0,59.0,0.008906192243428496,,,64,environment_anova_group|mixed|none|xgboost,ok,
per_group_additive_main,mixed,none,xgboost,dnase,0.0003171253812954798,0.023120448357243487,0.8796630414007329,1.0,59.0,0.000386554543402894,,,64,environment_anova_group|mixed|none|xgboost,ok,
per_group_additive_main,mixed,none,xgboost,h3k4me3,-0.0010404358030920101,0.24886557401325313,0.6197299413952543,1.0,59.0,0.004160824082862274,,,64,environment_anova_group|mixed|none|xgboost,ok,
per_group_additive_main,mixed,none,xgboost,rrbs,0.00017358369469992838,0.006927110300889798,0.9339509875891708,1.0,59.0,0.0001158154858455862,,,64,environment_anova_group|mixed|none|xgboost,ok,
per_group_additive_main,single,hct116,cnn(3|3),(none),,,,,,,,,16,environment_anova_group|single|hct116|cnn(3|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hct116,cnn(5|3),(none),,,,,,,,,16,environment_anova_group|single|hct116|cnn(5|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hct116,cnn(7|3),(none),,,,,,,,,16,environment_anova_group|single|hct116|cnn(7|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hct116,linear,(none),,,,,,,,,16,environment_anova_group|single|hct116|linear,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hct116,mlp,(none),,,,,,,,,16,environment_anova_group|single|hct116|mlp,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hct116,transformer,(none),,,,,,,,,16,environment_anova_group|single|hct116|transformer,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hct116,xgboost,(none),,,,,,,,,16,environment_anova_group|single|hct116|xgboost,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hek293t,cnn(3|3),(none),,,,,,,,,16,environment_anova_group|single|hek293t|cnn(3|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hek293t,cnn(5|3),(none),,,,,,,,,16,environment_anova_group|single|hek293t|cnn(5|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hek293t,cnn(7|3),(none),,,,,,,,,16,environment_anova_group|single|hek293t|cnn(7|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hek293t,linear,(none),,,,,,,,,16,environment_anova_group|single|hek293t|linear,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hek293t,mlp,(none),,,,,,,,,16,environment_anova_group|single|hek293t|mlp,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hek293t,transformer,(none),,,,,,,,,16,environment_anova_group|single|hek293t|transformer,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hek293t,xgboost,(none),,,,,,,,,16,environment_anova_group|single|hek293t|xgboost,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hela,cnn(3|3),(none),,,,,,,,,16,environment_anova_group|single|hela|cnn(3|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hela,cnn(5|3),(none),,,,,,,,,16,environment_anova_group|single|hela|cnn(5|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hela,cnn(7|3),(none),,,,,,,,,16,environment_anova_group|single|hela|cnn(7|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hela,linear,(none),,,,,,,,,16,environment_anova_group|single|hela|linear,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hela,mlp,(none),,,,,,,,,16,environment_anova_group|single|hela|mlp,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hela,transformer,(none),,,,,,,,,16,environment_anova_group|single|hela|transformer,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hela,xgboost,(none),,,,,,,,,16,environment_anova_group|single|hela|xgboost,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hl60,cnn(3|3),(none),,,,,,,,,16,environment_anova_group|single|hl60|cnn(3|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hl60,cnn(5|3),(none),,,,,,,,,16,environment_anova_group|single|hl60|cnn(5|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hl60,cnn(7|3),(none),,,,,,,,,16,environment_anova_group|single|hl60|cnn(7|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hl60,linear,(none),,,,,,,,,10,environment_anova_group|single|hl60|linear,unavailable,insufficient_data: n=10 < 32
per_group_additive_main,single,hl60,mlp,(none),,,,,,,,,16,environment_anova_group|single|hl60|mlp,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hl60,transformer,(none),,,,,,,,,16,environment_anova_group|single|hl60|transformer,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,single,hl60,xgboost,(none),,,,,,,,,16,environment_anova_group|single|hl60|xgboost,unavailable,insufficient_data: n=16 < 32
