split_type,model,factor,factor_type,n_cell_lines,consensus_direction,context_label,majority_ratio,minority_ratio,heterogeneity,ci_overlap_relaxed,context_reason,effect_hct116,effect_hek293t,effect_hela,effect_hl60,ci_low_hct116,ci_low_hek293t,ci_low_hela,ci_low_hl60,ci_high_hct116,ci_high_hek293t,ci_high_hela,ci_high_hl60,effect_none,ci_low_none,ci_high_none
single,cnn(7|3),rrbs,environment,4,+,Uncertain,0.5,0.5,1.9554297842235586,True,no majority direction (ratio 0.50 < 0.75),-0.001293,0.008292,0.000102,-0.007188,-0.0029671428571428566,-0.009414275,0.0005460214285714284,-0.007445666666666666,0.0022284678571428524,0.002075632142857143,0.009929428571428572,0.008107166666666665,,,
single,linear,ctcf,environment,4,-,Context-conflicting,0.75,0.25,9.737578344065171e+17,False,minority direction ratio 0.25 >= 0.25,-0.014135,-0.003152,-0.00897,1.124933738198129e+16,-0.006328296428571429,-0.010136142857142857,-0.0035712857142857143,-0.028578166666666665,0.004092214285714282,0.010959982142857141,0.004213996428571426,-0.0096425,,,
single,linear,dnase,environment,4,+,Context-dependent,1.0,0.0,2.395275002332262e+19,False,magnitude heterogeneity max/median=23952750023322619904.00,0.00057,0.000386,1.7e-05,1.1449414511148212e+16,-0.005129432142857142,-0.0005271928571428573,-0.004019,-0.009877166666666666,0.006740628571428555,0.008361746428571425,0.005918142857142858,0.022762999999999995,,,
single,linear,h3k4me3,environment,4,-,Context-dependent,1.0,0.0,7.130660333316544e+17,False,magnitude heterogeneity max/median=713066033331654400.00,-0.003217,-0.02948,-0.005453,-1.2454767871187342e+16,-0.007065857142857144,-0.03585158571428571,-0.0038729999999999993,0.0004205041666666669,0.006060589285714285,-0.014463171428571432,0.004484285714285714,0.017679666666666666,,,
single,linear,rrbs,environment,4,+,Uncertain,0.5,0.5,1.1380620889552166e+18,True,no majority direction (ratio 0.50 < 0.75),-0.001829,-0.015222,0.005319,1.1688466684614552e+16,-0.0029671428571428566,-0.009414275,0.0005460214285714284,-0.007445666666666666,0.0022284678571428524,0.002075632142857143,0.009929428571428572,0.008107166666666665,,,
single,mlp,ctcf,environment,4,+,Context-conflicting,0.5,0.5,8.52794727849646,False,minority direction ratio 0.50 >= 0.25,-0.00254,0.003345,0.004849,-0.034939,-0.006328296428571429,-0.010136142857142857,-0.0035712857142857143,-0.028578166666666665,0.004092214285714282,0.010959982142857141,0.004213996428571426,-0.0096425,,,
single,mlp,dnase,environment,4,+,Uncertain,0.5,0.5,2.6684470708562986,True,no majority direction (ratio 0.50 < 0.75),-0.002316,0.007162,0.010437,-0.023481,-0.005129432142857142,-0.0005271928571428573,-0.004019,-0.009877166666666666,0.006740628571428555,0.008361746428571425,0.005918142857142858,0.022762999999999995,,,
single,mlp,h3k4me3,environment,4,+,Context-conflicting,0.5,0.5,11.211762124204519,False,minority direction ratio 0.50 >= 0.25,0.001159,-0.025546,0.001825,-0.002732,-0.007065857142857144,-0.03585158571428571,-0.0038729999999999993,0.0004205041666666669,0.006060589285714285,-0.014463171428571432,0.004484285714285714,0.017679666666666666,,,
single,mlp,rrbs,environment,4,+,Context-consistent,1.0,0.0,1.4956922289516335,False,same direction and homogeneous magnitude (max/median=1.50),0.003102,0.000706,0.008767,0.008621,-0.0029671428571428566,-0.009414275,0.0005460214285714284,-0.007445666666666666,0.0022284678571428524,0.002075632142857143,0.009929428571428572,0.008107166666666665,,,
single,transformer,ctcf,environment,4,-,Context-consistent,1.0,0.0,1.9571911896706484,False,same direction and homogeneous magnitude (max/median=1.96),-0.003056,-0.028346,-0.003448,-0.025518,-0.006328296428571429,-0.010136142857142857,-0.0035712857142857143,-0.028578166666666665,0.004092214285714282,0.010959982142857141,0.004213996428571426,-0.0096425,,,
single,transformer,dnase,environment,4,+,Uncertain,0.5,0.5,1.9411400795404334,True,no majority direction (ratio 0.50 < 0.75),-0.010639,0.005217,-0.011991,0.021964,-0.005129432142857142,-0.0005271928571428573,-0.004019,-0.009877166666666666,0.006740628571428555,0.008361746428571425,0.005918142857142858,0.022762999999999995,,,
single,transformer,h3k4me3,environment,4,+,Context-conflicting,0.75,0.25,4.595563945257196,False,minority direction ratio 0.25 >= 0.25,0.013432,-0.04869,0.007758,0.003509,-0.007065857142857144,-0.03585158571428571,-0.0038729999999999993,0.0004205041666666669,0.006060589285714285,-0.014463171428571432,0.004484285714285714,0.017679666666666666,,,
single,transformer,rrbs,environment,4,+,Uncertain,0.5,0.5,2.1857186638063135,True,no majority direction (ratio 0.50 < 0.75),-0.001042,0.003566,-0.002221,0.000216,-0.0029671428571428566,-0.009414275,0.0005460214285714284,-0.007445666666666666,0.0022284678571428524,0.002075632142857143,0.009929428571428572,0.008107166666666665,,,
single,xgboost,ctcf,environment,4,-,Context-conflicting,0.75,0.25,1.1318159079539771,False,minority direction ratio 0.25 >= 0.25,-0.003967,-0.004029,0.004525,-0.002515,-0.006328296428571429,-0.010136142857142857,-0.0035712857142857143,-0.028578166666666665,0.004092214285714282,0.010959982142857141,0.004213996428571426,-0.0096425,,,
single,xgboost,dnase,environment,4,+,Uncertain,0.5,0.5,1.1343843016205493,True,no majority direction (ratio 0.50 < 0.75),0.005145,0.0,0.0,-0.003926,-0.005129432142857142,-0.0005271928571428573,-0.004019,-0.009877166666666666,0.006740628571428555,0.008361746428571425,0.005918142857142858,0.022762999999999995,,,
single,xgboost,h3k4me3,environment,4,+,Context-conflicting,0.75,0.25,4.6265927438965075,False,minority direction ratio 0.25 >= 0.25,0.002897,-0.023783,0.000898,0.007384,-0.007065857142857144,-0.03585158571428571,-0.0038729999999999993,0.0004205041666666669,0.006060589285714285,-0.014463171428571432,0.004484285714285714,0.017679666666666666,,,
single,xgboost,rrbs,environment,4,-,Context-dependent,0.75,0.25,1.2378263937896965,True,minority direction 0.25 but majority 0.75 >= 0.75; CI overlap relaxed,-0.003182,-0.003508,0.002474,-0.002486,-0.0029671428571428566,-0.009414275,0.0005460214285714284,-0.007445666666666666,0.0022284678571428524,0.002075632142857143,0.009929428571428572,0.008107166666666665,,,
