split_type,cell_line,model,factor_a,factor_b,interaction_r2,n_seeds,n_with_b,n_without_b
all,hek293t,cnn(5|3),h3k4me3,rrbs,0.003696,1,4.0,4.0
all,hek293t,cnn(7|3),ctcf,dnase,-0.069783,1,4.0,4.0
all,hek293t,cnn(7|3),ctcf,h3k4me3,0.064235,1,4.0,4.0
all,hek293t,cnn(7|3),ctcf,rrbs,-0.063112,1,4.0,4.0
all,hek293t,cnn(7|3),dnase,h3k4me3,-0.035862,1,4.0,4.0
all,hek293t,cnn(7|3),dnase,rrbs,-0.02739,1,4.0,4.0
all,hek293t,cnn(7|3),h3k4me3,rrbs,0.114516,1,4.0,4.0
all,hek293t,linear,ctcf,dnase,-0.001323,1,4.0,4.0
all,hek293t,linear,ctcf,h3k4me3,-0.001658,1,4.0,4.0
all,hek293t,linear,ctcf,rrbs,4.7e-05,1,4.0,4.0
all,hek293t,linear,dnase,h3k4me3,0.000346,1,4.0,4.0
all,hek293t,linear,dnase,rrbs,-6.7e-05,1,4.0,4.0
all,hek293t,linear,h3k4me3,rrbs,-0.00024,1,4.0,4.0
all,hek293t,mlp,ctcf,dnase,0.068797,1,4.0,4.0
all,hek293t,mlp,ctcf,h3k4me3,0.000131,1,4.0,4.0
all,hek293t,mlp,ctcf,rrbs,0.043642,1,4.0,4.0
all,hek293t,mlp,dnase,h3k4me3,-0.030378,1,4.0,4.0
all,hek293t,mlp,dnase,rrbs,-0.052913,1,4.0,4.0
all,hek293t,mlp,h3k4me3,rrbs,-0.010155,1,4.0,4.0
all,hek293t,transformer,ctcf,dnase,0.023746,1,4.0,4.0
all,hek293t,transformer,ctcf,h3k4me3,0.115149,1,4.0,4.0
all,hek293t,transformer,ctcf,rrbs,-0.073152,1,4.0,4.0
all,hek293t,transformer,dnase,h3k4me3,0.033303,1,4.0,4.0
all,hek293t,transformer,dnase,rrbs,0.051562,1,4.0,4.0
all,hek293t,transformer,h3k4me3,rrbs,-0.011131,1,4.0,4.0
all,hek293t,xgboost,ctcf,dnase,-0.039561,1,4.0,4.0
all,hek293t,xgboost,ctcf,h3k4me3,0.005393,1,4.0,4.0
all,hek293t,xgboost,ctcf,rrbs,-0.010344,1,4.0,4.0
all,hek293t,xgboost,dnase,h3k4me3,0.031094,1,4.0,4.0
all,hek293t,xgboost,dnase,rrbs,0.030829,1,4.0,4.0
all,hek293t,xgboost,h3k4me3,rrbs,0.080751,1,4.0,4.0
all,hela,cnn(3|3),ctcf,dnase,-0.007443,1,4.0,4.0
all,hela,cnn(3|3),ctcf,h3k4me3,-0.001997,1,4.0,4.0
all,hela,cnn(3|3),ctcf,rrbs,0.00368,1,4.0,4.0
all,hela,cnn(3|3),dnase,h3k4me3,0.002276,1,4.0,4.0
all,hela,cnn(3|3),dnase,rrbs,0.003476,1,4.0,4.0
all,hela,cnn(3|3),h3k4me3,rrbs,-0.002533,1,4.0,4.0
all,hela,cnn(5|3),ctcf,dnase,-0.000408,1,4.0,4.0
all,hela,cnn(5|3),ctcf,h3k4me3,-0.012415,1,4.0,4.0
all,hela,cnn(5|3),ctcf,rrbs,-0.025514,1,4.0,4.0
all,hela,cnn(5|3),dnase,h3k4me3,0.006802,1,4.0,4.0
all,hela,cnn(5|3),dnase,rrbs,0.008232,1,4.0,4.0
all,hela,cnn(5|3),h3k4me3,rrbs,-0.011596,1,4.0,4.0
all,hela,cnn(7|3),ctcf,dnase,-0.002698,1,4.0,4.0
all,hela,cnn(7|3),ctcf,h3k4me3,0.024404,1,4.0,4.0
all,hela,cnn(7|3),ctcf,rrbs,0.011541,1,4.0,4.0
all,hela,cnn(7|3),dnase,h3k4me3,-0.001659,1,4.0,4.0
all,hela,cnn(7|3),dnase,rrbs,0.012125,1,4.0,4.0
all,hela,cnn(7|3),h3k4me3,rrbs,0.016599,1,4.0,4.0
all,hela,linear,ctcf,dnase,-0.000224,1,4.0,4.0
all,hela,linear,ctcf,h3k4me3,0.000563,1,4.0,4.0
all,hela,linear,ctcf,rrbs,-0.000175,1,4.0,4.0
all,hela,linear,dnase,h3k4me3,0.000517,1,4.0,4.0
all,hela,linear,dnase,rrbs,-0.000182,1,4.0,4.0
all,hela,linear,h3k4me3,rrbs,-0.000365,1,4.0,4.0
all,hela,mlp,ctcf,dnase,0.016316,1,4.0,4.0
all,hela,mlp,ctcf,h3k4me3,-0.001577,1,4.0,4.0
all,hela,mlp,ctcf,rrbs,0.003561,1,4.0,4.0
all,hela,mlp,dnase,h3k4me3,0.004173,1,4.0,4.0
all,hela,mlp,dnase,rrbs,-0.002351,1,4.0,4.0
all,hela,mlp,h3k4me3,rrbs,0.002354,1,4.0,4.0
all,hela,transformer,ctcf,dnase,0.00227,1,4.0,4.0
all,hela,transformer,ctcf,h3k4me3,-0.001617,1,4.0,4.0
all,hela,transformer,ctcf,rrbs,0.001681,1,4.0,4.0
all,hela,transformer,dnase,h3k4me3,-0.000359,1,4.0,4.0
all,hela,transformer,dnase,rrbs,0.001289,1,4.0,4.0
all,hela,transformer,h3k4me3,rrbs,-0.0014,1,4.0,4.0
all,hela,xgboost,ctcf,dnase,-0.001752,1,4.0,4.0
all,hela,xgboost,ctcf,h3k4me3,0.003888,1,4.0,4.0
all,hela,xgboost,ctcf,rrbs,0.002706,1,4.0,4.0
all,hela,xgboost,dnase,h3k4me3,0.002898,1,4.0,4.0
all,hela,xgboost,dnase,rrbs,-0.001688,1,4.0,4.0
all,hela,xgboost,h3k4me3,rrbs,0.003513,1,4.0,4.0
all,hl60,cnn(3|3),ctcf,dnase,0.028072,1,4.0,4.0
all,hl60,cnn(3|3),ctcf,h3k4me3,-0.016133,1,4.0,4.0
all,hl60,cnn(3|3),ctcf,rrbs,-0.045605,1,4.0,4.0
all,hl60,cnn(3|3),dnase,h3k4me3,0.012548,1,4.0,4.0
all,hl60,cnn(3|3),dnase,rrbs,0.008662,1,4.0,4.0
all,hl60,cnn(3|3),h3k4me3,rrbs,-0.028785,1,4.0,4.0
all,hl60,cnn(5|3),ctcf,dnase,-0.008214,1,4.0,4.0
all,hl60,cnn(5|3),ctcf,h3k4me3,-0.007728,1,4.0,4.0
all,hl60,cnn(5|3),ctcf,rrbs,-0.01321,1,4.0,4.0
all,hl60,cnn(5|3),dnase,h3k4me3,0.0089,1,4.0,4.0
all,hl60,cnn(5|3),dnase,rrbs,0.109206,1,4.0,4.0
all,hl60,cnn(5|3),h3k4me3,rrbs,-0.008133,1,4.0,4.0
all,hl60,cnn(7|3),ctcf,dnase,0.047408,1,4.0,4.0
all,hl60,cnn(7|3),ctcf,h3k4me3,0.04799,1,4.0,4.0
all,hl60,cnn(7|3),ctcf,rrbs,0.043519,1,4.0,4.0
all,hl60,cnn(7|3),dnase,h3k4me3,-0.02532,1,4.0,4.0
all,hl60,cnn(7|3),dnase,rrbs,0.0022,1,4.0,4.0
all,hl60,cnn(7|3),h3k4me3,rrbs,-0.082538,1,4.0,4.0
all,hl60,linear,ctcf,dnase,-0.00044,1,4.0,4.0
all,hl60,linear,ctcf,h3k4me3,-0.001306,1,4.0,4.0
all,hl60,linear,ctcf,rrbs,-0.00021,1,4.0,4.0
all,hl60,linear,dnase,h3k4me3,-0.000679,1,4.0,4.0
all,hl60,linear,dnase,rrbs,3.8e-05,1,4.0,4.0
all,hl60,linear,h3k4me3,rrbs,8.1e-05,1,4.0,4.0
all,hl60,mlp,ctcf,dnase,-0.036229,1,4.0,4.0
all,hl60,mlp,ctcf,h3k4me3,0.057799,1,4.0,4.0
all,hl60,mlp,ctcf,rrbs,0.004505,1,4.0,4.0
all,hl60,mlp,dnase,h3k4me3,-0.053491,1,4.0,4.0
all,hl60,mlp,dnase,rrbs,0.046035,1,4.0,4.0
all,hl60,mlp,h3k4me3,rrbs,-0.008135,1,4.0,4.0
all,hl60,transformer,ctcf,dnase,-0.022308,1,4.0,4.0
all,hl60,transformer,ctcf,h3k4me3,-0.049151,1,4.0,4.0
all,hl60,transformer,ctcf,rrbs,-0.021903,1,4.0,4.0
all,hl60,transformer,dnase,h3k4me3,-0.009249,1,4.0,4.0
all,hl60,transformer,dnase,rrbs,0.010803,1,4.0,4.0
all,hl60,transformer,h3k4me3,rrbs,-0.035634,1,4.0,4.0
all,hl60,xgboost,ctcf,dnase,-0.00356,1,4.0,4.0
all,hl60,xgboost,ctcf,h3k4me3,-0.025165,1,4.0,4.0
all,hl60,xgboost,ctcf,rrbs,-0.005513,1,4.0,4.0
all,hl60,xgboost,dnase,h3k4me3,-0.012576,1,4.0,4.0
all,hl60,xgboost,dnase,rrbs,-0.00152,1,4.0,4.0
all,hl60,xgboost,h3k4me3,rrbs,0.005132,1,4.0,4.0
mixed,none,cnn(3|3),ctcf,dnase,0.001196,4,4.0,4.0
mixed,none,cnn(3|3),ctcf,h3k4me3,-0.00068,4,4.0,4.0
mixed,none,cnn(3|3),ctcf,rrbs,0.001851,4,4.0,4.0
mixed,none,cnn(3|3),dnase,h3k4me3,-0.001405,4,4.0,4.0
mixed,none,cnn(3|3),dnase,rrbs,-0.001245,4,4.0,4.0
mixed,none,cnn(3|3),h3k4me3,rrbs,3.7e-05,4,4.0,4.0
mixed,none,cnn(5|3),ctcf,dnase,0.001111,4,4.0,4.0
mixed,none,cnn(5|3),ctcf,h3k4me3,0.00137,4,4.0,4.0
mixed,none,cnn(5|3),ctcf,rrbs,0.009186,4,4.0,4.0
mixed,none,cnn(5|3),dnase,h3k4me3,0.001726,4,4.0,4.0
mixed,none,cnn(5|3),dnase,rrbs,0.000838,4,4.0,4.0
mixed,none,cnn(5|3),h3k4me3,rrbs,0.000868,4,4.0,4.0
mixed,none,cnn(7|3),ctcf,dnase,0.003109,4,4.0,4.0
mixed,none,cnn(7|3),ctcf,h3k4me3,0.005464,4,4.0,4.0
mixed,none,cnn(7|3),ctcf,rrbs,0.004943,4,4.0,4.0
mixed,none,cnn(7|3),dnase,h3k4me3,-0.001302,4,4.0,4.0
mixed,none,cnn(7|3),dnase,rrbs,0.001799,4,4.0,4.0
mixed,none,cnn(7|3),h3k4me3,rrbs,0.00318,4,4.0,4.0
mixed,none,linear,ctcf,dnase,6.122482842006567e+18,4,4.0,4.0
mixed,none,linear,ctcf,h3k4me3,-2.1621135868196644e+18,4,4.0,4.0
mixed,none,linear,ctcf,rrbs,-1.6577804803727775e+18,4,4.0,4.0
mixed,none,linear,dnase,h3k4me3,2.014990500625576e+18,4,4.0,4.0
mixed,none,linear,dnase,rrbs,1.4988963722389642e+18,4,4.0,4.0
mixed,none,linear,h3k4me3,rrbs,-1.5347664027002772e+18,4,4.0,4.0
mixed,none,mlp,ctcf,dnase,0.001963,4,4.0,4.0
mixed,none,mlp,ctcf,h3k4me3,-0.001057,4,4.0,4.0
mixed,none,mlp,ctcf,rrbs,-0.003034,4,4.0,4.0
mixed,none,mlp,dnase,h3k4me3,0.002184,4,4.0,4.0
mixed,none,mlp,dnase,rrbs,0.003926,4,4.0,4.0
mixed,none,mlp,h3k4me3,rrbs,0.000354,4,4.0,4.0
mixed,none,transformer,ctcf,dnase,-0.002342,4,4.0,4.0
mixed,none,transformer,ctcf,h3k4me3,0.004144,4,4.0,4.0
mixed,none,transformer,ctcf,rrbs,-0.000474,4,4.0,4.0
mixed,none,transformer,dnase,h3k4me3,0.001106,4,4.0,4.0
mixed,none,transformer,dnase,rrbs,-0.002065,4,4.0,4.0
mixed,none,transformer,h3k4me3,rrbs,-3.4e-05,4,4.0,4.0
mixed,none,xgboost,ctcf,dnase,0.001631,4,4.0,4.0
mixed,none,xgboost,ctcf,h3k4me3,0.001051,4,4.0,4.0
mixed,none,xgboost,ctcf,rrbs,0.000828,4,4.0,4.0
mixed,none,xgboost,dnase,h3k4me3,0.002315,4,4.0,4.0
mixed,none,xgboost,dnase,rrbs,0.000381,4,4.0,4.0
mixed,none,xgboost,h3k4me3,rrbs,-0.000531,4,4.0,4.0
single,hct116,cnn(3|3),ctcf,dnase,0.009863,1,4.0,4.0
single,hct116,cnn(3|3),ctcf,h3k4me3,-0.006842,1,4.0,4.0
single,hct116,cnn(3|3),ctcf,rrbs,-0.001003,1,4.0,4.0
single,hct116,cnn(3|3),dnase,h3k4me3,0.005251,1,4.0,4.0
single,hct116,cnn(3|3),dnase,rrbs,0.009953,1,4.0,4.0
single,hct116,cnn(3|3),h3k4me3,rrbs,0.007087,1,4.0,4.0
single,hct116,cnn(5|3),ctcf,dnase,-0.010469,1,4.0,4.0
single,hct116,cnn(5|3),ctcf,h3k4me3,0.00158,1,4.0,4.0
single,hct116,cnn(5|3),ctcf,rrbs,0.00734,1,4.0,4.0
single,hct116,cnn(5|3),dnase,h3k4me3,0.019395,1,4.0,4.0
single,hct116,cnn(5|3),dnase,rrbs,0.00136,1,4.0,4.0
single,hct116,cnn(5|3),h3k4me3,rrbs,-0.02646,1,4.0,4.0
single,hct116,cnn(7|3),ctcf,dnase,-0.020528,1,4.0,4.0
single,hct116,cnn(7|3),ctcf,h3k4me3,-0.000274,1,4.0,4.0
single,hct116,cnn(7|3),ctcf,rrbs,-0.005497,1,4.0,4.0
single,hct116,cnn(7|3),dnase,h3k4me3,-0.014201,1,4.0,4.0
single,hct116,cnn(7|3),dnase,rrbs,-0.002273,1,4.0,4.0
single,hct116,cnn(7|3),h3k4me3,rrbs,0.014919,1,4.0,4.0
single,hct116,linear,ctcf,dnase,-0.000101,1,4.0,4.0
single,hct116,linear,ctcf,h3k4me3,-0.0008,1,4.0,4.0
single,hct116,linear,ctcf,rrbs,-1.1e-05,1,4.0,4.0
single,hct116,linear,dnase,h3k4me3,-5.1e-05,1,4.0,4.0
single,hct116,linear,dnase,rrbs,0.000415,1,4.0,4.0
single,hct116,linear,h3k4me3,rrbs,0.000116,1,4.0,4.0
single,hct116,mlp,ctcf,dnase,-0.000608,1,4.0,4.0
single,hct116,mlp,ctcf,h3k4me3,-0.002931,1,4.0,4.0
single,hct116,mlp,ctcf,rrbs,0.00598,1,4.0,4.0
single,hct116,mlp,dnase,h3k4me3,0.001923,1,4.0,4.0
single,hct116,mlp,dnase,rrbs,0.001589,1,4.0,4.0
single,hct116,mlp,h3k4me3,rrbs,-0.000621,1,4.0,4.0
single,hct116,transformer,ctcf,dnase,-0.007546,1,4.0,4.0
single,hct116,transformer,ctcf,h3k4me3,0.017505,1,4.0,4.0
single,hct116,transformer,ctcf,rrbs,-0.007124,1,4.0,4.0
single,hct116,transformer,dnase,h3k4me3,-0.007578,1,4.0,4.0
single,hct116,transformer,dnase,rrbs,-0.004213,1,4.0,4.0
single,hct116,transformer,h3k4me3,rrbs,0.001503,1,4.0,4.0
single,hct116,xgboost,ctcf,dnase,-0.000427,1,4.0,4.0
single,hct116,xgboost,ctcf,h3k4me3,-0.001443,1,4.0,4.0
single,hct116,xgboost,ctcf,rrbs,-0.002642,1,4.0,4.0
single,hct116,xgboost,dnase,h3k4me3,0.008539,1,4.0,4.0
single,hct116,xgboost,dnase,rrbs,-0.003615,1,4.0,4.0
single,hct116,xgboost,h3k4me3,rrbs,0.00847,1,4.0,4.0
single,hek293t,cnn(3|3),ctcf,dnase,0.031625,1,4.0,4.0
single,hek293t,cnn(3|3),ctcf,h3k4me3,0.019992,1,4.0,4.0
single,hek293t,cnn(3|3),ctcf,rrbs,0.022741,1,4.0,4.0
single,hek293t,cnn(3|3),dnase,h3k4me3,0.008702,1,4.0,4.0
single,hek293t,cnn(3|3),dnase,rrbs,-0.0041,1,4.0,4.0
single,hek293t,cnn(3|3),h3k4me3,rrbs,0.009463,1,4.0,4.0
single,hek293t,cnn(5|3),ctcf,dnase,0.027166,1,4.0,4.0
single,hek293t,cnn(5|3),ctcf,h3k4me3,0.004111,1,4.0,4.0
single,hek293t,cnn(5|3),ctcf,rrbs,0.001448,1,4.0,4.0
single,hek293t,cnn(5|3),dnase,h3k4me3,0.00353,1,4.0,4.0
single,hek293t,cnn(5|3),dnase,rrbs,-0.018721,1,4.0,4.0
single,hek293t,cnn(5|3),h3k4me3,rrbs,0.03616,1,4.0,4.0
single,hek293t,cnn(7|3),ctcf,dnase,-0.031757,1,4.0,4.0
single,hek293t,cnn(7|3),ctcf,h3k4me3,0.003142,1,4.0,4.0
single,hek293t,cnn(7|3),ctcf,rrbs,0.017106,1,4.0,4.0
single,hek293t,cnn(7|3),dnase,h3k4me3,0.028621,1,4.0,4.0
single,hek293t,cnn(7|3),dnase,rrbs,-0.025339,1,4.0,4.0
single,hek293t,cnn(7|3),h3k4me3,rrbs,0.046218,1,4.0,4.0
single,hek293t,linear,ctcf,dnase,-0.000109,1,4.0,4.0
single,hek293t,linear,ctcf,h3k4me3,-0.002154,1,4.0,4.0
single,hek293t,linear,ctcf,rrbs,0.001141,1,4.0,4.0
single,hek293t,linear,dnase,h3k4me3,0.000514,1,4.0,4.0
single,hek293t,linear,dnase,rrbs,-0.000173,1,4.0,4.0
single,hek293t,linear,h3k4me3,rrbs,0.001109,1,4.0,4.0
single,hek293t,mlp,ctcf,dnase,0.019876,1,4.0,4.0
single,hek293t,mlp,ctcf,h3k4me3,-0.013788,1,4.0,4.0
single,hek293t,mlp,ctcf,rrbs,-0.006169,1,4.0,4.0
single,hek293t,mlp,dnase,h3k4me3,0.003265,1,4.0,4.0
single,hek293t,mlp,dnase,rrbs,-0.001922,1,4.0,4.0
single,hek293t,mlp,h3k4me3,rrbs,-0.003069,1,4.0,4.0
single,hek293t,transformer,ctcf,dnase,-0.015869,1,4.0,4.0
single,hek293t,transformer,ctcf,h3k4me3,-0.053708,1,4.0,4.0
single,hek293t,transformer,ctcf,rrbs,0.038619,1,4.0,4.0
single,hek293t,transformer,dnase,h3k4me3,-0.004744,1,4.0,4.0
single,hek293t,transformer,dnase,rrbs,-0.006007,1,4.0,4.0
single,hek293t,transformer,h3k4me3,rrbs,0.060929,1,4.0,4.0
single,hek293t,xgboost,ctcf,dnase,0.0,1,4.0,4.0
single,hek293t,xgboost,ctcf,h3k4me3,-0.003471,1,4.0,4.0
single,hek293t,xgboost,ctcf,rrbs,-0.014402,1,4.0,4.0
single,hek293t,xgboost,dnase,h3k4me3,0.0,1,4.0,4.0
single,hek293t,xgboost,dnase,rrbs,0.0,1,4.0,4.0
single,hek293t,xgboost,h3k4me3,rrbs,-0.000316,1,4.0,4.0
single,hela,cnn(3|3),ctcf,dnase,-0.016441,1,4.0,4.0
single,hela,cnn(3|3),ctcf,h3k4me3,0.002993,1,4.0,4.0
single,hela,cnn(3|3),ctcf,rrbs,0.002862,1,4.0,4.0
single,hela,cnn(3|3),dnase,h3k4me3,0.006551,1,4.0,4.0
single,hela,cnn(3|3),dnase,rrbs,-0.003377,1,4.0,4.0
single,hela,cnn(3|3),h3k4me3,rrbs,0.009513,1,4.0,4.0
single,hela,cnn(5|3),ctcf,dnase,0.002741,1,4.0,4.0
single,hela,cnn(5|3),ctcf,h3k4me3,0.031296,1,4.0,4.0
single,hela,cnn(5|3),ctcf,rrbs,0.009402,1,4.0,4.0
single,hela,cnn(5|3),dnase,h3k4me3,0.002087,1,4.0,4.0
single,hela,cnn(5|3),dnase,rrbs,0.028652,1,4.0,4.0
single,hela,cnn(5|3),h3k4me3,rrbs,0.001035,1,4.0,4.0
single,hela,cnn(7|3),ctcf,dnase,-0.018028,1,4.0,4.0
single,hela,cnn(7|3),ctcf,h3k4me3,0.000362,1,4.0,4.0
single,hela,cnn(7|3),ctcf,rrbs,-0.001251,1,4.0,4.0
single,hela,cnn(7|3),dnase,h3k4me3,0.006703,1,4.0,4.0
single,hela,cnn(7|3),dnase,rrbs,0.000997,1,4.0,4.0
single,hela,cnn(7|3),h3k4me3,rrbs,-0.003957,1,4.0,4.0
single,hela,linear,ctcf,dnase,-5e-05,1,4.0,4.0
single,hela,linear,ctcf,h3k4me3,-0.003662,1,4.0,4.0
single,hela,linear,ctcf,rrbs,-8e-05,1,4.0,4.0
single,hela,linear,dnase,h3k4me3,-5.9e-05,1,4.0,4.0
single,hela,linear,dnase,rrbs,-4.2e-05,1,4.0,4.0
single,hela,linear,h3k4me3,rrbs,8.6e-05,1,4.0,4.0
single,hela,mlp,ctcf,dnase,0.017383,1,4.0,4.0
single,hela,mlp,ctcf,h3k4me3,-0.005067,1,4.0,4.0
single,hela,mlp,ctcf,rrbs,0.001947,1,4.0,4.0
single,hela,mlp,dnase,h3k4me3,0.017298,1,4.0,4.0
single,hela,mlp,dnase,rrbs,0.003605,1,4.0,4.0
single,hela,mlp,h3k4me3,rrbs,0.012503,1,4.0,4.0
single,hela,transformer,ctcf,dnase,-0.006507,1,4.0,4.0
single,hela,transformer,ctcf,h3k4me3,0.008138,1,4.0,4.0
single,hela,transformer,ctcf,rrbs,-0.007198,1,4.0,4.0
single,hela,transformer,dnase,h3k4me3,-0.016198,1,4.0,4.0
single,hela,transformer,dnase,rrbs,-0.004898,1,4.0,4.0
single,hela,transformer,h3k4me3,rrbs,0.012036,1,4.0,4.0
single,hela,xgboost,ctcf,dnase,0.0,1,4.0,4.0
single,hela,xgboost,ctcf,h3k4me3,0.002801,1,4.0,4.0
single,hela,xgboost,ctcf,rrbs,0.005214,1,4.0,4.0
single,hela,xgboost,dnase,h3k4me3,0.0,1,4.0,4.0
single,hela,xgboost,dnase,rrbs,0.0,1,4.0,4.0
single,hela,xgboost,h3k4me3,rrbs,0.004208,1,4.0,4.0
single,hl60,cnn(3|3),ctcf,dnase,0.028421,1,4.0,4.0
single,hl60,cnn(3|3),ctcf,h3k4me3,-0.003813,1,4.0,4.0
single,hl60,cnn(3|3),ctcf,rrbs,0.02755,1,4.0,4.0
single,hl60,cnn(3|3),dnase,h3k4me3,-0.029385,1,4.0,4.0
single,hl60,cnn(3|3),dnase,rrbs,-0.029586,1,4.0,4.0
single,hl60,cnn(3|3),h3k4me3,rrbs,-0.035392,1,4.0,4.0
single,hl60,cnn(5|3),ctcf,dnase,0.015776,1,4.0,4.0
single,hl60,cnn(5|3),ctcf,h3k4me3,0.036791,1,4.0,4.0
single,hl60,cnn(5|3),ctcf,rrbs,0.021544,1,4.0,4.0
single,hl60,cnn(5|3),dnase,h3k4me3,-0.009997,1,4.0,4.0
single,hl60,cnn(5|3),dnase,rrbs,0.019354,1,4.0,4.0
single,hl60,cnn(5|3),h3k4me3,rrbs,0.022091,1,4.0,4.0
single,hl60,cnn(7|3),ctcf,dnase,0.006455,1,4.0,4.0
single,hl60,cnn(7|3),ctcf,h3k4me3,-0.005686,1,4.0,4.0
single,hl60,cnn(7|3),ctcf,rrbs,0.008423,1,4.0,4.0
single,hl60,cnn(7|3),dnase,h3k4me3,0.028171,1,4.0,4.0
single,hl60,cnn(7|3),dnase,rrbs,0.002126,1,4.0,4.0
single,hl60,cnn(7|3),h3k4me3,rrbs,0.036076,1,4.0,4.0
single,hl60,linear,ctcf,dnase,-2.3371596419600852e+16,1,4.0,4.0
single,hl60,linear,ctcf,h3k4me3,2.249867476396258e+16,1,4.0,4.0
single,hl60,linear,ctcf,rrbs,-2.2904165971929364e+16,1,4.0,4.0
single,hl60,linear,dnase,h3k4me3,2.2898829022296424e+16,1,4.0,4.0
single,hl60,linear,dnase,rrbs,-2.2493337814334332e+16,1,4.0,4.0
single,hl60,linear,h3k4me3,rrbs,2.3376933369229104e+16,1,4.0,4.0
single,hl60,mlp,ctcf,dnase,-0.02722,1,4.0,4.0
single,hl60,mlp,ctcf,h3k4me3,-0.001912,1,4.0,4.0
single,hl60,mlp,ctcf,rrbs,0.012566,1,4.0,4.0
single,hl60,mlp,dnase,h3k4me3,0.027579,1,4.0,4.0
single,hl60,mlp,dnase,rrbs,0.010985,1,4.0,4.0
