model,cell_line,R2_mean,R2_median,MAE_mean,MAE_median,RMSE_mean,RMSE_median,Pearson_mean,Pearson_median,Spearman_mean,Spearman_median,n_experiments,n_valid
linear,hela,0.006152599104865158,0.0060600172336242,0.1432725156986637,0.14327733604258458,0.18152413015557592,0.1815330633662878,0.12431765170906642,0.12387673920870479,0.12682986066673654,0.12616711899589975,16,16
linear,hl60,0.028753254082045536,0.02819270929071695,0.08893819067424098,0.08894087476647615,0.11183691205227254,0.1118699581451065,0.281106992756843,0.2803801342757289,0.28284905003126304,0.28324504294725716,16,16
mlp,hct116,0.08050663501092169,0.0807129354738608,0.1326947256271617,0.1334172423693989,0.16466431382993416,0.1646467317879901,0.29273151012193965,0.2936424150794162,0.29478464558461803,0.29375903800697845,16,16
mlp,hek293t,-0.37660009867918104,-0.3711172550160732,0.1125018859720851,0.1125741193763212,0.14054319975816557,0.140276023635583,-0.16026259377158952,-0.1598215682403965,-0.1336644986126418,-0.13801351604274759,16,16
mlp,hela,-0.0028004543084452875,-0.00123300248602435,0.14402965323475156,0.14383438303551255,0.18233969646590112,0.1821978458262194,0.08600675416762252,0.07539157199803195,0.08396905501062824,0.07597452161017501,16,16
mlp,hl60,-0.0036795722630869323,0.00486862058985185,0.08946344421748949,0.0893691650319033,0.11365451379021534,0.11320436625104491,0.20500002519420074,0.2032486148210334,0.2059194597767138,0.2045269639990352,16,16
transformer,hct116,0.08274293108769011,0.08184327424014246,0.13181607982091548,0.13190447360512775,0.16446284801598599,0.16454547152094834,0.298970441450654,0.2978678268590428,0.3039955287831801,0.30296866465032146,16,16
transformer,hek293t,-0.47690541721483104,-0.4790515588357326,0.11629710242290331,0.1161515231963216,0.14556527183738907,0.14569348165696228,-0.17352714080785903,-0.1709837226518248,-0.13700124912519301,-0.13922400256688938,16,16
transformer,hela,-0.0035690342155100386,-0.00269333168054435,0.14431361332887171,0.1443346415789698,0.18240997874561785,0.18233066770231846,0.08854839639828416,0.08885285590625835,0.08576514104762016,0.08656841109766039,16,16
transformer,hl60,-0.04714684550896641,-0.05034797651209895,0.0923555479476924,0.09208616934562375,0.11610950028508323,0.1163026676228789,0.14045848599474983,0.14360831703098026,0.07407303736431653,0.07609623458267589,16,16
xgboost,hct116,0.09443262341948437,0.093187043218288,0.1318670925221454,0.13193080357203701,0.1634127562162591,0.16352584706908285,0.32174655852811357,0.32293093252235566,0.3233794269913535,0.32516757752093517,16,16
xgboost,hek293t,-0.4231464577764871,-0.43617056656583525,0.11327401936601922,0.1137046831800888,0.14290060934430265,0.14356605593205785,-0.1882638273026106,-0.18891312785707434,-0.1472235805752573,-0.14716391109776594,16,16
xgboost,hela,-0.004128133147387344,-0.00467287701084145,0.143698975508791,0.1437888586646009,0.18246085007382795,0.1825105606664077,0.08939547974120508,0.08729004693873126,0.08733642894460142,0.08619059139688424,16,16
xgboost,hl60,-0.0154757388901884,-0.0136172102170979,0.09084664036987276,0.09088126439080785,0.11435477370490675,0.1142510976732518,0.2009826438886433,0.2059518105230254,0.18934546914757275,0.1914479552203732,16,16
