split_type,cell_line,model,environment,main_r2_delta,main_mae_delta,main_rmse_delta,n_seeds,n_backgrounds_avg
mixed,none,linear,dnase,-3.1406834750701896e+18,2104315.096174,105761461.538072,4,8.0
mixed,none,linear,h3k4me3,1.0074952503127882e+18,-234646.903308,-11793195.561143,4,8.0
mixed,none,linear,rrbs,7.494481861194821e+17,-95459.864335,-4797748.590804,4,8.0
mixed,none,mlp,ctcf,0.000539,0.000405,-4.4e-05,4,8.0
mixed,none,mlp,dnase,0.002878,-3.9e-05,-0.000244,4,8.0
mixed,none,mlp,h3k4me3,0.002074,-0.000231,-0.000176,4,8.0
mixed,none,mlp,rrbs,-0.00079,0.000538,6.9e-05,4,8.0
mixed,none,transformer,ctcf,-0.003056,-0.000212,0.000272,4,8.0
mixed,none,transformer,dnase,0.001528,-4.1e-05,-0.000134,4,8.0
mixed,none,transformer,h3k4me3,0.000851,-2e-05,-7.3e-05,4,8.0
mixed,none,transformer,rrbs,-0.002436,0.000243,0.000208,4,8.0
mixed,none,xgboost,ctcf,0.001522,-0.000133,-0.00013,4,8.0
mixed,none,xgboost,dnase,0.000317,-1e-05,-2.7e-05,4,8.0
mixed,none,xgboost,h3k4me3,-0.00104,4.9e-05,9e-05,4,8.0
mixed,none,xgboost,rrbs,0.000174,-8.9e-05,-1.5e-05,4,8.0
single,hct116,cnn(3|3),ctcf,0.005187,-0.00043,-0.000486,1,8.0
single,hct116,cnn(3|3),dnase,-0.008742,9.1e-05,0.000818,1,8.0
single,hct116,cnn(3|3),h3k4me3,-0.011313,0.001387,0.001058,1,8.0
single,hct116,cnn(3|3),rrbs,0.005814,-0.000621,-0.000541,1,8.0
single,hct116,cnn(5|3),ctcf,0.002254,0.000277,-0.000214,1,8.0
single,hct116,cnn(5|3),dnase,0.003615,0.001541,-0.000338,1,8.0
single,hct116,cnn(5|3),h3k4me3,-0.012714,0.000452,0.001208,1,8.0
single,hct116,cnn(5|3),rrbs,-0.005188,-0.000465,0.000485,1,8.0
single,hct116,cnn(7|3),ctcf,0.009596,-0.000251,-0.000926,1,8.0
single,hct116,cnn(7|3),dnase,0.016487,-0.00036,-0.001596,1,8.0
single,hct116,cnn(7|3),h3k4me3,0.007346,-0.001189,-0.000709,1,8.0
single,hct116,cnn(7|3),rrbs,-0.001293,-0.000867,0.000124,1,8.0
single,hct116,linear,ctcf,-0.014135,0.000877,0.00136,1,8.0
single,hct116,linear,dnase,0.00057,-4e-06,-5.5e-05,1,8.0
single,hct116,linear,h3k4me3,-0.003217,0.000382,0.000309,1,8.0
single,hct116,linear,rrbs,-0.001829,-0.00011,0.000176,1,8.0
single,hct116,mlp,ctcf,-0.00254,0.001493,0.000244,1,8.0
single,hct116,mlp,dnase,-0.002316,-0.00036,0.000223,1,8.0
single,hct116,mlp,h3k4me3,0.001159,9.6e-05,-0.000111,1,8.0
single,hct116,mlp,rrbs,0.003102,0.000223,-0.000298,1,8.0
single,hct116,transformer,ctcf,-0.003056,-0.00032,0.00029,1,8.0
single,hct116,transformer,dnase,-0.010639,-0.000175,0.001022,1,8.0
single,hct116,transformer,h3k4me3,0.013432,-0.000374,-0.001289,1,8.0
single,hct116,transformer,rrbs,-0.001042,-0.000395,9.9e-05,1,8.0
single,hct116,xgboost,ctcf,-0.003967,0.000186,0.000388,1,8.0
single,hct116,xgboost,dnase,0.005145,-0.000444,-0.000502,1,8.0
single,hct116,xgboost,h3k4me3,0.002897,-0.00021,-0.000283,1,8.0
single,hct116,xgboost,rrbs,-0.003182,0.00057,0.000311,1,8.0
single,hek293t,cnn(3|3),ctcf,0.011439,-0.001796,-0.000699,1,8.0
single,hek293t,cnn(3|3),dnase,-0.005743,0.000366,0.000349,1,8.0
single,hek293t,cnn(3|3),h3k4me3,-0.003294,0.000509,0.000203,1,8.0
single,hek293t,cnn(3|3),rrbs,-0.012849,9e-05,0.000787,1,8.0
single,hek293t,cnn(5|3),ctcf,0.014231,-0.001678,-0.000868,1,8.0
single,hek293t,cnn(5|3),dnase,0.007942,-0.000515,-0.000494,1,8.0
single,hek293t,cnn(5|3),h3k4me3,-0.009311,-7.8e-05,0.000576,1,8.0
single,hek293t,cnn(5|3),rrbs,-0.004037,-0.000369,0.000246,1,8.0
single,hek293t,cnn(7|3),ctcf,0.016176,-0.000597,-0.000983,1,8.0
single,hek293t,cnn(7|3),dnase,0.01455,-3.3e-05,-0.000875,1,8.0
single,hek293t,cnn(7|3),h3k4me3,-0.037248,0.000861,0.002283,1,8.0
single,hek293t,cnn(7|3),rrbs,0.008292,0.000207,-0.000491,1,8.0
single,hek293t,linear,ctcf,-0.003152,0.000147,0.000186,1,8.0
single,hek293t,linear,dnase,0.000386,-4.2e-05,-2.3e-05,1,8.0
single,hek293t,linear,h3k4me3,-0.02948,0.00167,0.001747,1,8.0
single,hek293t,linear,rrbs,-0.015222,0.000831,0.000902,1,8.0
single,hek293t,mlp,ctcf,0.003345,0.000421,-0.000204,1,8.0
single,hek293t,mlp,dnase,0.007162,7.5e-05,-0.000427,1,8.0
single,hek293t,mlp,h3k4me3,-0.025546,0.001495,0.001525,1,8.0
single,hek293t,mlp,rrbs,0.000706,-0.000132,-4.2e-05,1,8.0
single,hek293t,transformer,ctcf,-0.028346,0.001079,0.001676,1,8.0
single,hek293t,transformer,dnase,0.005217,-0.000779,-0.000327,1,8.0
single,hek293t,transformer,h3k4me3,-0.04869,0.002707,0.002903,1,8.0
single,hek293t,transformer,rrbs,0.003566,0.000578,-0.000177,1,8.0
single,hek293t,xgboost,ctcf,-0.004029,1.9e-05,0.000244,1,8.0
single,hek293t,xgboost,dnase,0.0,0.0,0.0,1,8.0
single,hek293t,xgboost,h3k4me3,-0.023783,0.001089,0.001449,1,8.0
single,hek293t,xgboost,rrbs,-0.003508,0.000254,0.000213,1,8.0
single,hela,cnn(3|3),ctcf,0.006833,-0.001621,-0.000663,1,8.0
single,hela,cnn(3|3),dnase,-0.002614,-0.000249,0.000254,1,8.0
single,hela,cnn(3|3),h3k4me3,0.003258,-4.6e-05,-0.000315,1,8.0
single,hela,cnn(3|3),rrbs,0.000185,0.000913,-1.9e-05,1,8.0
single,hela,cnn(5|3),ctcf,-0.000737,0.001139,7.5e-05,1,8.0
single,hela,cnn(5|3),dnase,0.006851,0.000594,-0.000671,1,8.0
single,hela,cnn(5|3),h3k4me3,-0.009522,0.00042,0.00093,1,8.0
single,hela,cnn(5|3),rrbs,0.017706,-1.9e-05,-0.001737,1,8.0
single,hela,cnn(7|3),ctcf,0.000965,-0.000572,-9.2e-05,1,8.0
single,hela,cnn(7|3),dnase,0.005765,3.7e-05,-0.000568,1,8.0
single,hela,cnn(7|3),h3k4me3,0.005406,0.000945,-0.000536,1,8.0
single,hela,cnn(7|3),rrbs,0.000102,-0.000413,-9e-06,1,8.0
single,hela,linear,ctcf,-0.00897,0.000741,0.000871,1,8.0
single,hela,linear,dnase,1.7e-05,-9e-06,-2e-06,1,8.0
single,hela,linear,h3k4me3,-0.005453,0.000372,0.000529,1,8.0
single,hela,linear,rrbs,0.005319,-0.000506,-0.000516,1,8.0
single,hela,mlp,ctcf,0.004849,-4.5e-05,-0.000474,1,8.0
single,hela,mlp,dnase,0.010437,0.000112,-0.001014,1,8.0
single,hela,mlp,h3k4me3,0.001825,-0.000178,-0.00018,1,8.0
single,hela,mlp,rrbs,0.008767,-0.000191,-0.000851,1,8.0
single,hela,transformer,ctcf,-0.003448,-0.000572,0.000331,1,8.0
single,hela,transformer,dnase,-0.011991,0.000304,0.001168,1,8.0
single,hela,transformer,h3k4me3,0.007758,0.000418,-0.000756,1,8.0
single,hela,transformer,rrbs,-0.002221,0.000182,0.000214,1,8.0
single,hela,xgboost,ctcf,0.004525,-0.000176,-0.000445,1,8.0
single,hela,xgboost,dnase,0.0,0.0,0.0,1,8.0
single,hela,xgboost,h3k4me3,0.000898,0.00016,-8.9e-05,1,8.0
single,hela,xgboost,rrbs,0.002474,-0.000234,-0.000243,1,8.0
single,hl60,cnn(3|3),ctcf,-0.019231,0.000996,0.001109,1,8.0
single,hl60,cnn(3|3),dnase,0.004092,-0.001236,-0.000233,1,8.0
single,hl60,cnn(3|3),h3k4me3,-0.001441,-0.000107,8.1e-05,1,8.0
single,hl60,cnn(3|3),rrbs,-0.013306,0.000556,0.000774,1,8.0
single,hl60,cnn(5|3),ctcf,-0.028421,0.00081,0.00159,1,8.0
single,hl60,cnn(5|3),dnase,0.040822,-0.002438,-0.002299,1,8.0
single,hl60,cnn(5|3),h3k4me3,0.029267,-0.001212,-0.00164,1,8.0
single,hl60,cnn(5|3),rrbs,0.014998,-0.000133,-0.000848,1,8.0
single,hl60,cnn(7|3),ctcf,-0.004038,0.000696,0.000237,1,8.0
single,hl60,cnn(7|3),dnase,-0.005392,0.000382,0.000311,1,8.0
single,hl60,cnn(7|3),h3k4me3,0.012666,-0.000821,-0.000729,1,8.0
single,hl60,cnn(7|3),rrbs,-0.007188,0.000271,0.000413,1,8.0
single,hl60,linear,ctcf,1.124933738198129e+16,-193760.2002,-3422487.525934,1,8.0
single,hl60,linear,dnase,1.1449414511148212e+16,-205114.969905,-3623052.754832,1,8.0
single,hl60,linear,h3k4me3,-1.2454767871187342e+16,348213.442061,6150675.620303,1,8.0
single,hl60,linear,rrbs,1.1688466684614552e+16,-225571.174068,-3984381.347917,1,8.0
single,hl60,mlp,ctcf,-0.034939,0.001896,0.002084,1,8.0
single,hl60,mlp,dnase,-0.023481,0.00112,0.001398,1,8.0
single,hl60,mlp,h3k4me3,-0.002732,-0.000168,0.00018,1,8.0
single,hl60,mlp,rrbs,0.008621,-0.000277,-0.000506,1,8.0
single,hl60,transformer,ctcf,-0.025518,0.001588,0.001528,1,8.0
single,hl60,transformer,dnase,0.021964,-0.00105,-0.001314,1,8.0
single,hl60,transformer,h3k4me3,0.003509,0.000254,-0.000208,1,8.0
single,hl60,transformer,rrbs,0.000216,0.000661,-9e-06,1,8.0
single,hl60,xgboost,ctcf,-0.002515,0.000747,0.000152,1,8.0
single,hl60,xgboost,dnase,-0.003926,0.000479,0.000237,1,8.0
single,hl60,xgboost,h3k4me3,0.007384,-0.000225,-0.000448,1,8.0
single,hl60,xgboost,rrbs,-0.002486,0.000283,0.00015,1,8.0
