run_name,model,split_type,cell_line,cell_lines,environment,random_seed,sequence_kernel,input_shape_train,input_shape_valid,input_shape_test,R2
single_hct116_cnn_sequence_kernel_7,cnn(7|3),single,hct116,['hct116'],sequence,42,7,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0692093128285739
single_hek293t_cnn_sequence_kernel_7,cnn(7|3),single,hek293t,['hek293t'],sequence,42,7,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0585916843497299
single_hela_cnn_sequence_kernel_7,cnn(7|3),single,hela,['hela'],sequence,42,7,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.1075670211474916
single_hl60_cnn_sequence_kernel_7,cnn(7|3),single,hl60,['hl60'],sequence,42,7,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0967940188418414
single_hct116_transformer_sequence,transformer,single,hct116,['hct116'],sequence,42,3,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0488973913374499
single_hek293t_transformer_sequence,transformer,single,hek293t,['hek293t'],sequence,42,3,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0638496835602794
single_hela_transformer_sequence,transformer,single,hela,['hela'],sequence,42,3,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.1184544068511317
single_hl60_transformer_sequence,transformer,single,hl60,['hl60'],sequence,42,3,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.096255741778131
single_hct116_linear_sequence_ctcf,linear,single,hct116,['hct116'],sequence_ctcf,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.087217027541689
single_hek293t_linear_sequence_ctcf,linear,single,hek293t,['hek293t'],sequence_ctcf,42,3,"[1633, 184]","[349, 184]","[351, 184]",-0.0013742268249758
single_hela_linear_sequence_ctcf,linear,single,hela,['hela'],sequence_ctcf,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",-11270530403143.818
single_hl60_linear_sequence_ctcf,linear,single,hl60,['hl60'],sequence_ctcf,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.1015733591212185
single_hct116_xgboost_sequence_ctcf,xgboost,single,hct116,['hct116'],sequence_ctcf,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.1213202526024489
single_hek293t_xgboost_sequence_ctcf,xgboost,single,hek293t,['hek293t'],sequence_ctcf,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0529725820758358
single_hela_xgboost_sequence_ctcf,xgboost,single,hela,['hela'],sequence_ctcf,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.1154733897208319
single_hl60_xgboost_sequence_ctcf,xgboost,single,hl60,['hl60'],sequence_ctcf,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.1386267723697861
single_hct116_mlp_sequence_ctcf,mlp,single,hct116,['hct116'],sequence_ctcf,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.0916429819524971
single_hek293t_mlp_sequence_ctcf,mlp,single,hek293t,['hek293t'],sequence_ctcf,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0362657882002529
single_hela_mlp_sequence_ctcf,mlp,single,hela,['hela'],sequence_ctcf,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.0962304960152016
single_hl60_mlp_sequence_ctcf,mlp,single,hl60,['hl60'],sequence_ctcf,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.1002924812220343
single_hct116_cnn_sequence_ctcf_kernel_3,cnn(3|3),single,hct116,['hct116'],sequence_ctcf,42,3,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.006917058710636
single_hek293t_cnn_sequence_ctcf_kernel_3,cnn(3|3),single,hek293t,['hek293t'],sequence_ctcf,42,3,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0474034074184946
single_hela_cnn_sequence_ctcf_kernel_3,cnn(3|3),single,hela,['hela'],sequence_ctcf,42,3,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.0674178457956483
single_hl60_cnn_sequence_ctcf_kernel_3,cnn(3|3),single,hl60,['hl60'],sequence_ctcf,42,3,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0287852588746451
single_hct116_cnn_sequence_ctcf_kernel_5,cnn(5|3),single,hct116,['hct116'],sequence_ctcf,42,5,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0722089125622275
single_hek293t_cnn_sequence_ctcf_kernel_5,cnn(5|3),single,hek293t,['hek293t'],sequence_ctcf,42,5,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.033489331145589
single_hela_cnn_sequence_ctcf_kernel_5,cnn(5|3),single,hela,['hela'],sequence_ctcf,42,5,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.1118925171254171
single_hl60_cnn_sequence_ctcf_kernel_5,cnn(5|3),single,hl60,['hl60'],sequence_ctcf,42,5,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0472326153844
single_hct116_cnn_sequence_ctcf_kernel_7,cnn(7|3),single,hct116,['hct116'],sequence_ctcf,42,7,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0792320733472512
single_hek293t_cnn_sequence_ctcf_kernel_7,cnn(7|3),single,hek293t,['hek293t'],sequence_ctcf,42,7,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0287652759941555
single_hela_cnn_sequence_ctcf_kernel_7,cnn(7|3),single,hela,['hela'],sequence_ctcf,42,7,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.1025515490839874
single_hl60_cnn_sequence_ctcf_kernel_7,cnn(7|3),single,hl60,['hl60'],sequence_ctcf,42,7,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.081927605389496
single_hct116_transformer_sequence_ctcf,transformer,single,hct116,['hct116'],sequence_ctcf,42,3,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0502894239350258
single_hek293t_transformer_sequence_ctcf,transformer,single,hek293t,['hek293t'],sequence_ctcf,42,3,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0686815493706058
single_hela_transformer_sequence_ctcf,transformer,single,hela,['hela'],sequence_ctcf,42,3,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.1145110723048196
single_hl60_transformer_sequence_ctcf,transformer,single,hl60,['hl60'],sequence_ctcf,42,3,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0969172012884643
single_hct116_linear_sequence_dnase,linear,single,hct116,['hct116'],sequence_dnase,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.0864603090485826
single_hek293t_linear_sequence_dnase,linear,single,hek293t,['hek293t'],sequence_dnase,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0261840519214068
single_hela_linear_sequence_dnase,linear,single,hela,['hela'],sequence_dnase,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.1046125715845599
single_hl60_linear_sequence_dnase,linear,single,hl60,['hl60'],sequence_dnase,42,3,"[1453, 184]","[311, 184]","[312, 184]",-609531727878423.9
single_hct116_xgboost_sequence_dnase,xgboost,single,hct116,['hct116'],sequence_dnase,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.115441071496411
single_hek293t_xgboost_sequence_dnase,xgboost,single,hek293t,['hek293t'],sequence_dnase,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0532619576252786
single_hela_xgboost_sequence_dnase,xgboost,single,hela,['hela'],sequence_dnase,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.1169439157385205
single_hl60_xgboost_sequence_dnase,xgboost,single,hl60,['hl60'],sequence_dnase,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.1411059755263066
single_hct116_mlp_sequence_dnase,mlp,single,hct116,['hct116'],sequence_dnase,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.0417347813071315
single_hek293t_mlp_sequence_dnase,mlp,single,hek293t,['hek293t'],sequence_dnase,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0245039424992324
single_hela_mlp_sequence_dnase,mlp,single,hela,['hela'],sequence_dnase,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.0973914269868874
single_hl60_mlp_sequence_dnase,mlp,single,hl60,['hl60'],sequence_dnase,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.0923454382038189
single_hct116_cnn_sequence_dnase_kernel_3,cnn(3|3),single,hct116,['hct116'],sequence_dnase,42,3,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0274941072042024
single_hek293t_cnn_sequence_dnase_kernel_3,cnn(3|3),single,hek293t,['hek293t'],sequence_dnase,42,3,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0290342719178224
single_hela_cnn_sequence_dnase_kernel_3,cnn(3|3),single,hela,['hela'],sequence_dnase,42,3,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.0665228821363363
single_hl60_cnn_sequence_dnase_kernel_3,cnn(3|3),single,hl60,['hl60'],sequence_dnase,42,3,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0533597950626832
single_hct116_cnn_sequence_dnase_kernel_5,cnn(5|3),single,hct116,['hct116'],sequence_dnase,42,5,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0508365705252915
single_hek293t_cnn_sequence_dnase_kernel_5,cnn(5|3),single,hek293t,['hek293t'],sequence_dnase,42,5,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0354721685786795
single_hela_cnn_sequence_dnase_kernel_5,cnn(5|3),single,hela,['hela'],sequence_dnase,42,5,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.1171140635709883
single_hl60_cnn_sequence_dnase_kernel_5,cnn(5|3),single,hl60,['hl60'],sequence_dnase,42,5,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0507511798005287
single_hct116_cnn_sequence_dnase_kernel_7,cnn(7|3),single,hct116,['hct116'],sequence_dnase,42,7,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0625365839746121
single_hek293t_cnn_sequence_dnase_kernel_7,cnn(7|3),single,hek293t,['hek293t'],sequence_dnase,42,7,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0579140890595432
single_hela_cnn_sequence_dnase_kernel_7,cnn(7|3),single,hela,['hela'],sequence_dnase,42,7,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.1030193926313312
single_hl60_cnn_sequence_dnase_kernel_7,cnn(7|3),single,hl60,['hl60'],sequence_dnase,42,7,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0800478451848871
single_hct116_transformer_sequence_dnase,transformer,single,hct116,['hct116'],sequence_dnase,42,3,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0472922327554252
single_hek293t_transformer_sequence_dnase,transformer,single,hek293t,['hek293t'],sequence_dnase,42,3,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0686127835241805
single_hela_transformer_sequence_dnase,transformer,single,hela,['hela'],sequence_dnase,42,3,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.1079986951969544
single_hl60_transformer_sequence_dnase,transformer,single,hl60,['hl60'],sequence_dnase,42,3,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.088024303128357
single_hct116_linear_sequence_h3k4me3,linear,single,hct116,['hct116'],sequence_h3k4me3,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.0976153659459814
single_hek293t_linear_sequence_h3k4me3,linear,single,hek293t,['hek293t'],sequence_h3k4me3,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0020019019005412
single_hela_linear_sequence_h3k4me3,linear,single,hela,['hela'],sequence_h3k4me3,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.1001191393949206
single_hl60_linear_sequence_h3k4me3,linear,single,hl60,['hl60'],sequence_h3k4me3,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.123573186589982
single_hct116_xgboost_sequence_h3k4me3,xgboost,single,hct116,['hct116'],sequence_h3k4me3,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.1056234265880259
single_hek293t_xgboost_sequence_h3k4me3,xgboost,single,hek293t,['hek293t'],sequence_h3k4me3,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0474750150062311
single_hela_xgboost_sequence_h3k4me3,xgboost,single,hela,['hela'],sequence_h3k4me3,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.1147564787586256
single_hl60_xgboost_sequence_h3k4me3,xgboost,single,hl60,['hl60'],sequence_h3k4me3,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.1453199778846481
single_hct116_mlp_sequence_h3k4me3,mlp,single,hct116,['hct116'],sequence_h3k4me3,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.0933431642350097
single_hek293t_mlp_sequence_h3k4me3,mlp,single,hek293t,['hek293t'],sequence_h3k4me3,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0240946249047556
single_hela_mlp_sequence_h3k4me3,mlp,single,hela,['hela'],sequence_h3k4me3,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.1069202358561833
single_hl60_mlp_sequence_h3k4me3,mlp,single,hl60,['hl60'],sequence_h3k4me3,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.0988928047256587
single_hct116_cnn_sequence_h3k4me3_kernel_3,cnn(3|3),single,hct116,['hct116'],sequence_h3k4me3,42,3,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",-0.0053573306328755
single_hek293t_cnn_sequence_h3k4me3_kernel_3,cnn(3|3),single,hek293t,['hek293t'],sequence_h3k4me3,42,3,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0051037475407399
single_hela_cnn_sequence_h3k4me3_kernel_3,cnn(3|3),single,hela,['hela'],sequence_h3k4me3,42,3,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.0626721162781174
single_hl60_cnn_sequence_h3k4me3_kernel_3,cnn(3|3),single,hl60,['hl60'],sequence_h3k4me3,42,3,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.04036793153207
single_hct116_cnn_sequence_h3k4me3_kernel_5,cnn(5|3),single,hct116,['hct116'],sequence_h3k4me3,42,5,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0474169038741498
single_hek293t_cnn_sequence_h3k4me3_kernel_5,cnn(5|3),single,hek293t,['hek293t'],sequence_h3k4me3,42,5,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",-0.0030083682364547
single_hela_cnn_sequence_h3k4me3_kernel_5,cnn(5|3),single,hela,['hela'],sequence_h3k4me3,42,5,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.0956898686047349
single_hl60_cnn_sequence_h3k4me3_kernel_5,cnn(5|3),single,hl60,['hl60'],sequence_h3k4me3,42,5,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0812801296429565
single_hct116_cnn_sequence_h3k4me3_kernel_7,cnn(7|3),single,hct116,['hct116'],sequence_h3k4me3,42,7,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0651267937077282
single_hek293t_cnn_sequence_h3k4me3_kernel_7,cnn(7|3),single,hek293t,['hek293t'],sequence_h3k4me3,42,7,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.012824575857427
single_hela_cnn_sequence_h3k4me3_kernel_7,cnn(7|3),single,hela,['hela'],sequence_h3k4me3,42,7,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.0689268450965894
single_hl60_cnn_sequence_h3k4me3_kernel_7,cnn(7|3),single,hl60,['hl60'],sequence_h3k4me3,42,7,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.1120597159742063
single_hct116_transformer_sequence_h3k4me3,transformer,single,hct116,['hct116'],sequence_h3k4me3,42,3,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0323821628492195
single_hek293t_transformer_sequence_h3k4me3,transformer,single,hek293t,['hek293t'],sequence_h3k4me3,42,3,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0283088758619334
single_hela_transformer_sequence_h3k4me3,transformer,single,hela,['hela'],sequence_h3k4me3,42,3,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.1302354751085669
single_hl60_transformer_sequence_h3k4me3,transformer,single,hl60,['hl60'],sequence_h3k4me3,42,3,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.1083049221579368
single_hct116_linear_sequence_rrbs,linear,single,hct116,['hct116'],sequence_rrbs,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.0874015046562232
single_hek293t_linear_sequence_rrbs,linear,single,hek293t,['hek293t'],sequence_rrbs,42,3,"[1633, 184]","[349, 184]","[351, 184]",-0.0327688258192866
single_hela_linear_sequence_rrbs,linear,single,hela,['hela'],sequence_rrbs,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.1019278746213679
single_hl60_linear_sequence_rrbs,linear,single,hl60,['hl60'],sequence_rrbs,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.1070434052309311
single_hct116_xgboost_sequence_rrbs,xgboost,single,hct116,['hct116'],sequence_rrbs,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.1072407601488059
single_hek293t_xgboost_sequence_rrbs,xgboost,single,hek293t,['hek293t'],sequence_rrbs,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0432553156265622
single_hela_xgboost_sequence_rrbs,xgboost,single,hela,['hela'],sequence_rrbs,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.1172181731954327
single_hl60_xgboost_sequence_rrbs,xgboost,single,hl60,['hl60'],sequence_rrbs,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.1292595241527828
single_hct116_mlp_sequence_rrbs,mlp,single,hct116,['hct116'],sequence_rrbs,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.08929486960757
single_hek293t_mlp_sequence_rrbs,mlp,single,hek293t,['hek293t'],sequence_rrbs,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0108516295684339
single_hela_mlp_sequence_rrbs,mlp,single,hela,['hela'],sequence_rrbs,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.1055953881949477
single_hl60_mlp_sequence_rrbs,mlp,single,hl60,['hl60'],sequence_rrbs,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.1080046594618335
single_hct116_cnn_sequence_rrbs_kernel_3,cnn(3|3),single,hct116,['hct116'],sequence_rrbs,42,3,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.009674066921377
single_hek293t_cnn_sequence_rrbs_kernel_3,cnn(3|3),single,hek293t,['hek293t'],sequence_rrbs,42,3,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0339208604648257
single_hela_cnn_sequence_rrbs_kernel_3,cnn(3|3),single,hela,['hela'],sequence_rrbs,42,3,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.0728723418262243
single_hl60_cnn_sequence_rrbs_kernel_3,cnn(3|3),single,hl60,['hl60'],sequence_rrbs,42,3,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0231807166747352
single_hct116_cnn_sequence_rrbs_kernel_5,cnn(5|3),single,hct116,['hct116'],sequence_rrbs,42,5,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0458513066974826
single_hek293t_cnn_sequence_rrbs_kernel_5,cnn(5|3),single,hek293t,['hek293t'],sequence_rrbs,42,5,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0396120819446895
single_hela_cnn_sequence_rrbs_kernel_5,cnn(5|3),single,hela,['hela'],sequence_rrbs,42,5,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.0952850684616188
single_hl60_cnn_sequence_rrbs_kernel_5,cnn(5|3),single,hl60,['hl60'],sequence_rrbs,42,5,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0385453289126661
single_hct116_cnn_sequence_rrbs_kernel_7,cnn(7|3),single,hct116,['hct116'],sequence_rrbs,42,7,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0293178704658673
single_hek293t_cnn_sequence_rrbs_kernel_7,cnn(7|3),single,hek293t,['hek293t'],sequence_rrbs,42,7,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0620129495014464
single_hela_cnn_sequence_rrbs_kernel_7,cnn(7|3),single,hela,['hela'],sequence_rrbs,42,7,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.1097321594366746
single_hl60_cnn_sequence_rrbs_kernel_7,cnn(7|3),single,hl60,['hl60'],sequence_rrbs,42,7,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0512086599595632
single_hct116_transformer_sequence_rrbs,transformer,single,hct116,['hct116'],sequence_rrbs,42,3,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0445969085603571
single_hek293t_transformer_sequence_rrbs,transformer,single,hek293t,['hek293t'],sequence_rrbs,42,3,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0689137461104228
single_hela_transformer_sequence_rrbs,transformer,single,hela,['hela'],sequence_rrbs,42,3,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.1145699033445557
single_hl60_transformer_sequence_rrbs,transformer,single,hl60,['hl60'],sequence_rrbs,42,3,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0912449867549234
single_hct116_linear_sequence_ctcf_dnase,linear,single,hct116,['hct116'],sequence_ctcf_dnase,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.0823201723006477
single_hek293t_linear_sequence_ctcf_dnase,linear,single,hek293t,['hek293t'],sequence_ctcf_dnase,42,3,"[1633, 184]","[349, 184]","[351, 184]",-0.0014351749757515
single_hela_linear_sequence_ctcf_dnase,linear,single,hela,['hela'],sequence_ctcf_dnase,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",-1855806532312.6077
single_hl60_linear_sequence_ctcf_dnase,linear,single,hl60,['hl60'],sequence_ctcf_dnase,42,3,"[1453, 184]","[311, 184]","[312, 184]",-33878808681074.227
single_hct116_xgboost_sequence_ctcf_dnase,xgboost,single,hct116,['hct116'],sequence_ctcf_dnase,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.1226835002524001
single_hek293t_xgboost_sequence_ctcf_dnase,xgboost,single,hek293t,['hek293t'],sequence_ctcf_dnase,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0529725820758358
single_hela_xgboost_sequence_ctcf_dnase,xgboost,single,hela,['hela'],sequence_ctcf_dnase,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.1154733897208319
single_hl60_xgboost_sequence_ctcf_dnase,xgboost,single,hl60,['hl60'],sequence_ctcf_dnase,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.1358727984162681
single_hct116_mlp_sequence_ctcf_dnase,mlp,single,hct116,['hct116'],sequence_ctcf_dnase,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.0668142755459971
single_hek293t_mlp_sequence_ctcf_dnase,mlp,single,hek293t,['hek293t'],sequence_ctcf_dnase,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0217919027933468
single_hela_mlp_sequence_ctcf_dnase,mlp,single,hela,['hela'],sequence_ctcf_dnase,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.1011411727676893
single_hl60_mlp_sequence_ctcf_dnase,mlp,single,hl60,['hl60'],sequence_ctcf_dnase,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.0844319696168104
single_hct116_cnn_sequence_ctcf_dnase_kernel_3,cnn(3|3),single,hct116,['hct116'],sequence_ctcf_dnase,42,3,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.032733485201803
single_hek293t_cnn_sequence_ctcf_dnase_kernel_3,cnn(3|3),single,hek293t,['hek293t'],sequence_ctcf_dnase,42,3,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0221275564666426
single_hela_cnn_sequence_ctcf_dnase_kernel_3,cnn(3|3),single,hela,['hela'],sequence_ctcf_dnase,42,3,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.0654349552844564
single_hl60_cnn_sequence_ctcf_dnase_kernel_3,cnn(3|3),single,hl60,['hl60'],sequence_ctcf_dnase,42,3,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0225210694965449
