split_type,cell_line,model,parent_combination,child_combination,added_environment,parent_r2,child_r2,delta_r2,parent_rmse,child_rmse,delta_rmse,parent_mae,child_mae,delta_mae,delta_pearson,delta_spearman,n_paired,status,warning,ci_low,ci_high,ci_excludes_zero,n_bootstrap,bootstrap_status,abs_delta_r2,rel_delta_r2
all,hct116,cnn(3|3),sequence_h3k4me3,sequence_ctcf_h3k4me3,ctcf,0.0828954037563811,0.0865798286951786,0.0036844249387975,0.1644511762415263,0.1641205063295378,-0.0003306699119884,0.1319747730460018,0.1309596180852214,-0.0010151549607803,0.0015110314188734,0.0002318701498768,1,ok,CI_AVAILABLE,-0.0040804175660014,0.0115455370396375,False,2000,ok,0.0036844249387975,0.044446673420224236
all,hct116,cnn(3|3),sequence_h3k4me3,sequence_dnase_h3k4me3,dnase,0.0828954037563811,0.095673119461391,0.0127777157050098,0.1644511762415263,0.1633015358196418,-0.0011496404218845,0.1319747730460018,0.1304785999578747,-0.0014961730881271,0.0078287295425226,0.007439569165056,1,ok,CI_AVAILABLE,0.0068181841634213,0.0190383922308683,True,2000,ok,0.0127777157050098,0.15414263187090396
all,hct116,cnn(3|3),sequence_h3k4me3,sequence_h3k4me3_rrbs,rrbs,0.0828954037563811,0.0963561569121304,0.0134607531557492,0.1644511762415263,0.1632398534032455,-0.0012113228382807,0.1319747730460018,0.1311637471379348,-0.000811025908067,0.01463339982503,0.0116375866377643,1,ok,CI_AVAILABLE,0.0082791792228817,0.0183225143700838,True,2000,ok,0.0134607531557492,0.16238238244557704
all,hct116,cnn(3|3),sequence_rrbs,sequence_ctcf_rrbs,ctcf,0.0871261424233498,0.1001150986005469,0.0129889561771971,0.1640714190096804,0.1628999802650613,-0.001171438744619,0.131544569607831,0.1313221401961515,-0.0002224294116795,-0.0071170143995578,-0.0100188012201097,1,ok,CI_AVAILABLE,0.002702847123146,0.0227646492421627,True,2000,ok,0.0129889561771971,0.14908219067112125
all,hct116,cnn(3|3),sequence_rrbs,sequence_dnase_rrbs,dnase,0.0871261424233498,0.0896863518796554,0.0025602094563055,0.1640714190096804,0.1638411834039661,-0.0002302356057142,0.131544569607831,0.1322380976206678,0.0006935280128367,-0.015391185713337,-0.015444652814666,1,ok,CI_AVAILABLE,-0.0041206777095794,0.0090605113655328,False,2000,ok,0.0025602094563055,0.02938508907998392
all,hct116,cnn(3|3),sequence_rrbs,sequence_h3k4me3_rrbs,h3k4me3,0.0871261424233498,0.0963561569121304,0.0092300144887805,0.1640714190096804,0.1632398534032455,-0.0008315656064348,0.131544569607831,0.1311637471379348,-0.0003808224698962,-0.0023370352936182,-0.0034936974516738,1,ok,CI_AVAILABLE,0.0027694986201822,0.015152059495449,True,2000,ok,0.0092300144887805,0.10593851893420747
all,hct116,cnn(3|3),sequence_ctcf_dnase,sequence_ctcf_dnase_h3k4me3,h3k4me3,0.0892356398973307,0.0953419607481396,0.0061063208508088,0.1638817386820656,0.1633314330712458,-0.0005503056108197,0.1309901894678223,0.1300312042742181,-0.0009589851936041,0.0160600163307748,0.0101909224421398,1,ok,CI_AVAILABLE,-0.0011218562722206,0.0130767822265625,False,2000,ok,0.0061063208508088,0.06842917087650602
all,hct116,cnn(3|3),sequence_ctcf_dnase,sequence_ctcf_dnase_rrbs,rrbs,0.0892356398973307,0.1026139684320289,0.0133783285346981,0.1638817386820656,0.1626736464130274,-0.0012080922690382,0.1309901894678223,0.1298733486174687,-0.0011168408503536,0.0208060438385125,0.0143874412238189,1,ok,CI_AVAILABLE,0.0077434601262211,0.0190119799226522,True,2000,ok,0.0133783285346981,0.14992136045744078
all,hct116,cnn(3|3),sequence_ctcf_h3k4me3,sequence_ctcf_dnase_h3k4me3,dnase,0.0865798286951786,0.0953419607481396,0.0087621320529609,0.1641205063295378,0.1633314330712458,-0.000789073258292,0.1309596180852214,0.1300312042742181,-0.0009284138110033,0.009200170843768,0.0048609383727183,1,ok,CI_AVAILABLE,0.0033183812629431,0.0143079040572047,True,2000,ok,0.0087621320529609,0.10120292665176917
all,hct116,cnn(3|3),sequence_ctcf_h3k4me3,sequence_ctcf_h3k4me3_rrbs,rrbs,0.0865798286951786,0.1010080986091719,0.0144282699139932,0.1641205063295378,0.1628191333752801,-0.0013013729542577,0.1309596180852214,0.1295274247127868,-0.0014321933724346,0.0176238339417312,0.0109606498749968,1,ok,CI_AVAILABLE,0.0082788858562707,0.0209569092839956,True,2000,ok,0.0144282699139932,0.16664701387653208
all,hct116,cnn(3|3),sequence_ctcf_rrbs,sequence_ctcf_dnase_rrbs,dnase,0.1001150986005469,0.1026139684320289,0.0024988698314819,0.1628999802650613,0.1626736464130274,-0.0002263338520339,0.1313221401961515,0.1298733486174687,-0.0014487915786828,0.0056038090512887,0.0041768444349458,1,ok,CI_AVAILABLE,-0.0040429071523249,0.0092866849154233,False,2000,ok,0.0024988698314819,0.024959969738952537
all,hct116,cnn(3|3),sequence_ctcf_rrbs,sequence_ctcf_h3k4me3_rrbs,h3k4me3,0.1001150986005469,0.1010080986091719,0.0008930000086249,0.1628999802650613,0.1628191333752801,-8.084688978121646e-05,0.1313221401961515,0.1295274247127868,-0.0017947154833646,0.0092814446415141,0.0060800371555452,1,ok,CI_AVAILABLE,-0.0065380437299609,0.0085663180798292,False,2000,ok,0.0008930000086249,0.008919733597705528
all,hct116,cnn(3|3),sequence_dnase_h3k4me3,sequence_ctcf_dnase_h3k4me3,ctcf,0.095673119461391,0.0953419607481396,-0.0003311587132514,0.1633015358196418,0.1633314330712458,2.989725160401635e-05,0.1304785999578747,0.1300312042742181,-0.0004473956836565,0.0028824727201188,-0.0023467606424608,1,ok,CI_AVAILABLE,-0.0089365439489483,0.0086858896538615,False,2000,ok,0.0003311587132514,-0.00346135586584526
all,hct116,cnn(3|3),sequence_dnase_h3k4me3,sequence_dnase_h3k4me3_rrbs,rrbs,0.095673119461391,0.0947743039987059,-0.000898815462685,0.1633015358196418,0.1633826688125308,8.113299288900477e-05,0.1304785999578747,0.1299811486935716,-0.000497451264303,-0.0018485783671084,0.0039679538749171,1,ok,CI_AVAILABLE,-0.0063793929293751,0.0046251015737652,False,2000,ok,0.000898815462685,-0.009394649905271647
all,hct116,cnn(3|3),sequence_dnase_rrbs,sequence_ctcf_dnase_rrbs,ctcf,0.0896863518796554,0.1026139684320289,0.0129276165523734,0.1638411834039661,0.1626736464130274,-0.0011675369909387,0.1322380976206678,0.1298733486174687,-0.0023647490031991,0.0138779803650679,0.009602696029502,1,ok,CI_AVAILABLE,0.0033368095755577,0.0226674042642116,True,2000,ok,0.0129276165523734,0.14414251757859628
all,hct116,cnn(3|3),sequence_dnase_rrbs,sequence_dnase_h3k4me3_rrbs,h3k4me3,0.0896863518796554,0.0947743039987059,0.0050879521190504,0.1638411834039661,0.1633826688125308,-0.0004585145914353,0.1322380976206678,0.1299811486935716,-0.0022569489270961,0.0044009017701028,0.0117208917652009,1,ok,CI_AVAILABLE,-0.0030589788220822,0.0137867927551269,False,2000,ok,0.0050879521190504,0.056730505951202145
all,hct116,cnn(3|3),sequence_h3k4me3_rrbs,sequence_ctcf_h3k4me3_rrbs,ctcf,0.0963561569121304,0.1010080986091719,0.0046519416970415,0.1632398534032455,0.1628191333752801,-0.0004207200279654,0.1311637471379348,0.1295274247127868,-0.0016363224251479,0.0045014655355746,-0.0004450666128906,1,ok,CI_AVAILABLE,-0.0040454850532114,0.0136491861194372,False,2000,ok,0.0046519416970415,0.04827861390615363
all,hct116,cnn(3|3),sequence_h3k4me3_rrbs,sequence_dnase_h3k4me3_rrbs,dnase,0.0963561569121304,0.0947743039987059,-0.0015818529134244,0.1632398534032455,0.1633826688125308,0.0001428154092852,0.1311637471379348,0.1299811486935716,-0.0011825984443631,-0.0086532486496159,-0.0002300635977912,1,ok,CI_AVAILABLE,-0.0075084492564201,0.0047161192633211,False,2000,ok,0.0015818529134244,-0.01641672897837687
all,hct116,cnn(3|3),sequence_ctcf_dnase_h3k4me3,all,rrbs,0.0953419607481396,0.0979645306420368,0.0026225698938972,0.1633314330712458,0.1630945153782696,-0.0002369176929762,0.1300312042742181,0.1298953542614236,-0.0001358500127945,0.0035127082654922,0.0045882820139458,1,ok,CI_AVAILABLE,-0.0049805776216089,0.0099992882460355,False,2000,ok,0.0026225698938972,0.027506985102027853
all,hct116,cnn(3|3),sequence_ctcf_dnase_rrbs,all,h3k4me3,0.1026139684320289,0.0979645306420368,-0.004649437789992,0.1626736464130274,0.1630945153782696,0.0004208689652422,0.1298733486174687,0.1298953542614236,2.2005643954908782e-05,-0.0012333192422455,0.0003917632322668,1,ok,CI_AVAILABLE,-0.011723075993359,0.0023995712399482,False,2000,ok,0.004649437789992,-0.045309989088588555
all,hct116,cnn(3|3),sequence_ctcf_h3k4me3_rrbs,all,dnase,0.1010080986091719,0.0979645306420368,-0.003043567967135,0.1628191333752801,0.1630945153782696,0.0002753820029895,0.1295274247127868,0.1298953542614236,0.0003679295486367,-0.0049109548324709,-0.0015114294883326,1,ok,CI_AVAILABLE,-0.0099050793796777,0.0037161365617066,False,2000,ok,0.003043567967135,-0.030131920202868104
all,hct116,cnn(3|3),sequence_dnase_h3k4me3_rrbs,all,ctcf,0.0947743039987059,0.0979645306420368,0.0031902266433309,0.1633826688125308,0.1630945153782696,-0.0002881534342611,0.1299811486935716,0.1298953542614236,-8.579443214801197e-05,0.0082437593527195,-0.001726432503432,1,ok,CI_AVAILABLE,-0.0072939293459057,0.0137234749272465,False,2000,ok,0.0031902266433309,0.033661303842172884
all,hct116,cnn(5|3),sequence,sequence_ctcf,ctcf,0.1993510160507039,0.1632290956269098,-0.0361219204237941,0.1536556830570958,0.1570835959390342,0.0034279128819384,0.1225809533940471,0.1243654641270378,0.0017845107329906,-0.035580254797597,-0.0301663609518137,1,ok,CI_AVAILABLE,-0.0501019954681396,-0.021905155852437,True,2000,ok,0.0361219204237941,-0.1811975737038966
all,hct116,cnn(5|3),sequence,sequence_dnase,dnase,0.1993510160507039,0.1982322614188588,-0.0011187546318451,0.1536556830570958,0.1537629978742349,0.0001073148171391,0.1225809533940471,0.1234455316288281,0.0008645782347809,0.0067636415578986,0.0024537912150651,1,ok,CI_AVAILABLE,-0.0136776957660913,0.0123217422515153,False,2000,ok,0.0011187546318451,-0.005611983595611825
all,hct116,cnn(5|3),sequence,sequence_h3k4me3,h3k4me3,0.1993510160507039,0.1926939078806225,-0.0066571081700814,0.1536556830570958,0.1542931565635094,0.0006374735064136,0.1225809533940471,0.1223465646809011,-0.000234388713146,-0.0032465314169167,0.0084211201056572,1,ok,CI_AVAILABLE,-0.0202874355018138,0.0069928048178553,False,2000,ok,0.0066571081700814,-0.033393901380408306
all,hct116,cnn(5|3),sequence,sequence_rrbs,rrbs,0.1993510160507039,0.1583098904463159,-0.0410411256043879,0.1536556830570958,0.1575446505034734,0.0038889674463776,0.1225809533940471,0.1246204894333629,0.0020395360393157,-0.0462382332588692,-0.0353444000143514,1,ok,CI_AVAILABLE,-0.0530904754996299,-0.0291166882961988,True,2000,ok,0.0410411256043879,-0.2058736715640782
all,hct116,cnn(5|3),sequence_ctcf,sequence_ctcf_dnase,dnase,0.1632290956269098,0.1559530538184946,-0.0072760418084151,0.1570835959390342,0.1577650685857834,0.0006814726467491,0.1243654641270378,0.125486466271659,0.0011210021446211,0.0014383807752639,-0.0059465278180914,1,ok,CI_AVAILABLE,-0.0176223535090684,0.0030179545283317,False,2000,ok,0.0072760418084151,-0.04457564247642366
all,hct116,cnn(5|3),sequence_ctcf,sequence_ctcf_h3k4me3,h3k4me3,0.1632290956269098,0.1464199256544425,-0.0168091699724672,0.1570835959390342,0.1586535095103884,0.0015699135713541,0.1243654641270378,0.1249022680820167,0.0005368039549788,-0.0148454094737617,-0.0094596994100671,1,ok,CI_AVAILABLE,-0.026620652526617,-0.0067161442711949,True,2000,ok,0.0168091699724672,-0.10297900572142885
all,hct116,cnn(5|3),sequence_ctcf,sequence_ctcf_rrbs,rrbs,0.1632290956269098,0.1521858831912333,-0.0110432124356764,0.1570835959390342,0.1581167470416908,0.0010331511026565,0.1243654641270378,0.1263568872239736,0.0019914230969357,-0.0102244201567964,-0.0136271588101138,1,ok,CI_AVAILABLE,-0.021346341818571,-0.0001022905125864,True,2000,ok,0.0110432124356764,-0.06765468125191172
all,hct116,cnn(5|3),sequence_dnase,sequence_ctcf_dnase,ctcf,0.1982322614188588,0.1559530538184946,-0.0422792076003641,0.1537629978742349,0.1577650685857834,0.0040020707115485,0.1234455316288281,0.125486466271659,0.0020409346428308,-0.0409055155802317,-0.0385666799849703,1,ok,CI_AVAILABLE,-0.0571963861584663,-0.0278671849519014,True,2000,ok,0.0422792076003641,-0.21328116471934608
all,hct116,cnn(5|3),sequence_dnase,sequence_dnase_h3k4me3,h3k4me3,0.1982322614188588,0.1488288399114516,-0.0494034215074072,0.1537629978742349,0.1584294808949212,0.0046664830206863,0.1234455316288281,0.1258273933062263,0.0023818616773982,-0.065938244774459,-0.0473173191620865,1,ok,CI_AVAILABLE,-0.0632234588265419,-0.0356258749961853,True,2000,ok,0.0494034215074072,-0.24921988557159855
all,hct116,cnn(5|3),sequence_dnase,sequence_dnase_rrbs,rrbs,0.1982322614188588,0.155256605253801,-0.0429756561650578,0.1537629978742349,0.1578301435203427,0.0040671456461078,0.1234455316288281,0.1247935894209355,0.0013480577921074,-0.0364783741454267,-0.0232152336762901,1,ok,CI_AVAILABLE,-0.0549313351511955,-0.0312875136733055,True,2000,ok,0.0429756561650578,-0.2167944604851757
all,hct116,cnn(5|3),sequence_h3k4me3,sequence_ctcf_h3k4me3,ctcf,0.1926939078806225,0.1464199256544425,-0.0462739822261799,0.1542931565635094,0.1586535095103884,0.004360352946879,0.1223465646809011,0.1249022680820167,0.0025557034011155,-0.047179132854442,-0.0480471804675382,1,ok,CI_AVAILABLE,-0.0604708567261695,-0.0325749069452285,True,2000,ok,0.0462739822261799,-0.24014242450699325
all,hct116,cnn(5|3),sequence_h3k4me3,sequence_dnase_h3k4me3,dnase,0.1926939078806225,0.1488288399114516,-0.0438650679691708,0.1542931565635094,0.1584294808949212,0.0041363243314118,0.1223465646809011,0.1258273933062263,0.0034808286253251,-0.0559280717996437,-0.0532846480526786,1,ok,CI_AVAILABLE,-0.0537372529506683,-0.0334773734211921,True,2000,ok,0.0438650679691708,-0.227641176888405
all,hct116,cnn(5|3),sequence_h3k4me3,sequence_h3k4me3_rrbs,rrbs,0.1926939078806225,0.1528130918186871,-0.0398808160619353,0.1542931565635094,0.1580582492327475,0.0037650926692381,0.1223465646809011,0.1254678832757352,0.003121318594834,-0.0519477621803033,-0.048460110702386,1,ok,CI_AVAILABLE,-0.0494275577366352,-0.0305183492600917,True,2000,ok,0.0398808160619353,-0.20696459218960994
all,hct116,cnn(5|3),sequence_rrbs,sequence_ctcf_rrbs,ctcf,0.1583098904463159,0.1521858831912333,-0.0061240072550826,0.1575446505034734,0.1581167470416908,0.0005720965382173,0.1246204894333629,0.1263568872239736,0.0017363977906106,0.0004335583044757,-0.0084491197475762,1,ok,CI_AVAILABLE,-0.0191217176616191,0.0071356920525431,False,2000,ok,0.0061240072550826,-0.038683668075427655
all,hct116,cnn(5|3),sequence_rrbs,sequence_dnase_rrbs,dnase,0.1583098904463159,0.155256605253801,-0.0030532851925149,0.1575446505034734,0.1578301435203427,0.0002854930168692,0.1246204894333629,0.1247935894209355,0.0001730999875726,0.0165235006713411,0.0145829575531263,1,ok,CI_AVAILABLE,-0.0139660891145467,0.008054444566369,False,2000,ok,0.0030532851925149,-0.01928676208357489
all,hct116,cnn(5|3),sequence_rrbs,sequence_h3k4me3_rrbs,h3k4me3,0.1583098904463159,0.1528130918186871,-0.0054967986276288,0.1575446505034734,0.1580582492327475,0.000513598729274,0.1246204894333629,0.1254678832757352,0.0008473938423722,-0.0089560603383508,-0.0046945905823774,1,ok,CI_AVAILABLE,-0.0184362474828958,0.0074004768393933,False,2000,ok,0.0054967986276288,-0.03472176382746476
all,hct116,cnn(5|3),sequence_ctcf_dnase,sequence_ctcf_dnase_h3k4me3,h3k4me3,0.1559530538184946,0.1683583612739403,0.0124053074554456,0.1577650685857834,0.1566014077889536,-0.0011636607968298,0.125486466271659,0.125214385934268,-0.0002720803373909,-0.0027104146989751,0.0119583969671674,1,ok,CI_AVAILABLE,-0.0004570051969494,0.0249998085200786,False,2000,ok,0.0124053074554456,0.07954513971802997
all,hct116,cnn(5|3),sequence_ctcf_dnase,sequence_ctcf_dnase_rrbs,rrbs,0.1559530538184946,0.153297963050371,-0.0026550907681236,0.1577650685857834,0.1580130119504305,0.000247943364647,0.125486466271659,0.1284821739024046,0.0029957076307456,-0.009361814024815,0.006983322680664,1,ok,CI_AVAILABLE,-0.0145474867895245,0.0095553919672966,False,2000,ok,0.0026550907681236,-0.017024936050394485
all,hct116,cnn(5|3),sequence_ctcf_h3k4me3,sequence_ctcf_dnase_h3k4me3,dnase,0.1464199256544425,0.1683583612739403,0.0219384356194977,0.1586535095103884,0.1566014077889536,-0.0020521017214348,0.1249022680820167,0.125214385934268,0.0003121178522513,0.0135733755500505,0.0154715685591432,1,ok,CI_AVAILABLE,0.0111968470737338,0.0316006913781166,True,2000,ok,0.0219384356194977,0.14983230951280072
all,hct116,cnn(5|3),sequence_ctcf_h3k4me3,sequence_ctcf_h3k4me3_rrbs,rrbs,0.1464199256544425,0.1681858344082992,0.0217659087538567,0.1586535095103884,0.1566176506919582,-0.0020358588184301,0.1249022680820167,0.1243168844608851,-0.0005853836211315,0.0210242358047377,0.0141448205749415,1,ok,CI_AVAILABLE,0.0127881933003664,0.0303276367485523,True,2000,ok,0.0217659087538567,0.1486540076876231
all,hct116,cnn(5|3),sequence_ctcf_rrbs,sequence_ctcf_dnase_rrbs,dnase,0.1521858831912333,0.153297963050371,0.0011120798591376,0.1581167470416908,0.1580130119504305,-0.0001037350912602,0.1263568872239736,0.1284821739024046,0.002125286678431,0.0023009869072453,0.0146639536726865,1,ok,CI_AVAILABLE,-0.0101420702412724,0.0123225003480911,False,2000,ok,0.0011120798591376,0.0073073785545548
all,hct116,cnn(5|3),sequence_ctcf_rrbs,sequence_ctcf_h3k4me3_rrbs,h3k4me3,0.1521858831912333,0.1681858344082992,0.0159999512170659,0.1581167470416908,0.1566176506919582,-0.0014990963497325,0.1263568872239736,0.1243168844608851,-0.0020400027630884,0.0164032464877724,0.0183122799749883,1,ok,CI_AVAILABLE,0.0057581276632845,0.0269929282367229,True,2000,ok,0.0159999512170659,0.10513426660579764
all,hct116,cnn(5|3),sequence_dnase_h3k4me3,sequence_ctcf_dnase_h3k4me3,ctcf,0.1488288399114516,0.1683583612739403,0.0195295213624887,0.1584294808949212,0.1566014077889536,-0.0018280731059676,0.1258273933062263,0.125214385934268,-0.0006130073719582,0.0223223144952521,0.0207090361442837,1,ok,CI_AVAILABLE,0.0064419195987284,0.0315717160701751,True,2000,ok,0.0195295213624887,0.13122135047285285
all,hct116,cnn(5|3),sequence_dnase_h3k4me3,sequence_dnase_h3k4me3_rrbs,rrbs,0.1488288399114516,0.1896762672899086,0.040847427378457,0.1584294808949212,0.1545812548533397,-0.0038482260415814,0.1258273933062263,0.1241581864473639,-0.0016692068588624,0.0506226505663605,0.0429574666078846,1,ok,CI_AVAILABLE,0.0291757006198167,0.0514869391918182,True,2000,ok,0.040847427378457,0.27445908603977504
all,hct116,cnn(5|3),sequence_dnase_rrbs,sequence_ctcf_dnase_rrbs,ctcf,0.155256605253801,0.153297963050371,-0.00195864220343,0.1578301435203427,0.1580130119504305,0.0001828684300878,0.1247935894209355,0.1284821739024046,0.003688584481469,-0.01378895545962,-0.008368123628016,1,ok,CI_AVAILABLE,-0.0157124623656272,0.0125210043042898,False,2000,ok,0.00195864220343,-0.012615516101412686
all,hct116,cnn(5|3),sequence_dnase_rrbs,sequence_dnase_h3k4me3_rrbs,h3k4me3,0.155256605253801,0.1896762672899086,0.0344196620361076,0.1578301435203427,0.1545812548533397,-0.0032488886670029,0.1247935894209355,0.1241581864473639,-0.0006354029735716,0.0211627799373281,0.0188553811220882,1,ok,CI_AVAILABLE,0.0204176381230354,0.0474412739276886,True,2000,ok,0.0344196620361076,0.22169531518379593
all,hct116,cnn(5|3),sequence_h3k4me3_rrbs,sequence_ctcf_h3k4me3_rrbs,ctcf,0.1528130918186871,0.1681858344082992,0.0153727425896121,0.1580582492327475,0.1566176506919582,-0.0014405985407892,0.1254678832757352,0.1243168844608851,-0.00115099881485,0.025792865130599,0.0145577508097894,1,ok,CI_AVAILABLE,0.003351701889187,0.0270736403763294,True,2000,ok,0.0153727425896121,0.10059833491132995
all,hct116,cnn(5|3),sequence_h3k4me3_rrbs,sequence_dnase_h3k4me3_rrbs,dnase,0.1528130918186871,0.1896762672899086,0.0368631754712215,0.1580582492327475,0.1545812548533397,-0.0034769943794077,0.1254678832757352,0.1241581864473639,-0.0013096968283712,0.0466423409470201,0.038132929257592,1,ok,CI_AVAILABLE,0.0264099668711423,0.046909175813198,True,2000,ok,0.0368631754712215,0.24123047987903873
all,hct116,cnn(5|3),sequence_ctcf_dnase_h3k4me3,all,rrbs,0.1683583612739403,0.1521560993269388,-0.0162022619470015,0.1566014077889536,0.1581195243523559,0.0015181165634023,0.125214385934268,0.1249612385468703,-0.0002531473873977,-0.0156715101254462,-0.0224124249160114,1,ok,CI_AVAILABLE,-0.0255952142179012,-0.0057278545573353,True,2000,ok,0.0162022619470015,-0.09623675251054728
all,hct116,cnn(5|3),sequence_ctcf_dnase_rrbs,all,h3k4me3,0.153297963050371,0.1521560993269388,-0.0011418637234321,0.1580130119504305,0.1581195243523559,0.0001065124019254,0.1284821739024046,0.1249612385468703,-0.0035209353555342,-0.0090201107996064,-0.017437350629508,1,ok,CI_AVAILABLE,-0.0141396075487136,0.0121867461130023,False,2000,ok,0.0011418637234321,-0.007448655550999747
all,hct116,cnn(5|3),sequence_ctcf_h3k4me3_rrbs,all,dnase,0.1681858344082992,0.1521560993269388,-0.0160297350813604,0.1566176506919582,0.1581195243523559,0.0015018736603976,0.1243168844608851,0.1249612385468703,0.0006443540859852,-0.0231223703801334,-0.0210856769318097,1,ok,CI_AVAILABLE,-0.0248443726450204,-0.0069921193644404,True,2000,ok,0.0160297350813604,-0.09530966230155592
all,hct116,cnn(5|3),sequence_dnase_h3k4me3_rrbs,all,ctcf,0.1896762672899086,0.1521560993269388,-0.0375201679629698,0.1545812548533397,0.1581195243523559,0.0035382694990162,0.1241581864473639,0.1249612385468703,0.0008030520995064,-0.0439718461965545,-0.0446608553796123,1,ok,CI_AVAILABLE,-0.0512157082557678,-0.0232418980449438,True,2000,ok,0.0375201679629698,-0.1978116107990596
all,hct116,cnn(7|3),sequence,sequence_ctcf,ctcf,0.1625997827733867,0.1752113713341692,0.0126115885607825,0.1571426540073641,0.1559548486256887,-0.0011878053816753,0.1263610076112318,0.124377716161271,-0.0019832914499608,0.0126978549185396,0.0171189538221318,1,ok,CI_AVAILABLE,-0.0007768914219923,0.0256472863256931,False,2000,ok,0.0126115885607825,0.07756214888896325
all,hct116,cnn(7|3),sequence,sequence_dnase,dnase,0.1625997827733867,0.1808545979339318,0.0182548151605451,0.1571426540073641,0.1554204092013632,-0.0017222448060008,0.1263610076112318,0.1250755689593181,-0.0012854386519137,0.0256236846692357,0.0250564123953717,1,ok,CI_AVAILABLE,0.0073628709651529,0.0291154347360134,True,2000,ok,0.0182548151605451,0.11226838590545112
