cell_line,environment,n_positions,peak_linear,peak_xgboost,peak_mlp,peak_cnn,peak_transformer,mean_pairwise_spearman,mean_top3_overlap
hl60,sequence_h3k4me3,23,18,18,18,20,1,0.4407202352209998,0.4666666666666666
hl60,sequence_h3k4me3_rrbs,23,1,18,20,20,1,0.48517786561264825,0.5666666666666667
hl60,sequence_rrbs,23,1,18,20,20,19,0.2257905138339921,0.5
none,all,23,3,18,18,18,20,0.4408102766798419,0.5
none,sequence,23,1,18,18,18,18,0.4460577176205397,0.4333333333333333
none,sequence_ctcf,23,22,18,18,18,20,0.43063241106719363,0.6
none,sequence_ctcf_dnase,23,3,18,18,20,18,0.441501976284585,0.4333333333333333
none,sequence_ctcf_dnase_h3k4me3,23,3,18,18,18,20,0.4695652173913044,0.3666666666666666
none,sequence_ctcf_dnase_rrbs,23,3,18,18,18,18,0.43952569169960476,0.36666666666666664
none,sequence_ctcf_h3k4me3,23,18,18,18,18,20,0.550098814229249,0.6
none,sequence_ctcf_h3k4me3_rrbs,23,1,18,18,20,20,0.4051383399209486,0.4333333333333333
none,sequence_ctcf_rrbs,23,22,18,18,21,20,0.38774703557312257,0.4333333333333333
none,sequence_dnase,23,3,18,18,1,19,0.3170948616600791,0.4333333333333333
none,sequence_dnase_h3k4me3,23,3,18,18,1,20,0.45978260869565213,0.26666666666666666
none,sequence_dnase_h3k4me3_rrbs,23,1,18,18,18,19,0.28438735177865615,0.4666666666666666
none,sequence_dnase_rrbs,23,3,18,18,1,18,0.3538537549407115,0.3333333333333333
none,sequence_h3k4me3,23,18,18,18,18,18,0.6301608365509097,0.5
none,sequence_h3k4me3_rrbs,23,1,18,18,18,18,0.5397233201581028,0.33333333333333337
none,sequence_rrbs,23,1,18,18,18,19,0.28339920948616604,0.4333333333333333
