cell_line,model,environment,MAE/RMSE,Pearson/Spearman,R2,delta_R2,validation_MAE/RMSE,validation_Pearson/Spearman,validation_R2
hct116,cnn(3|3),sequence_ctcf,0.1368/0.1716,0.3070/0.2993,0.09391066613588084,0.014382879205075083,0.1293/0.1621,0.3156/0.3268,0.09896716532468186
hek293t,cnn(3|3),sequence_ctcf,0.0949/0.1170,0.2433/0.1679,0.0506842982630209,-0.021283739437116367,0.0968/0.1210,0.2797/0.2017,0.07054594599672315
hela,cnn(3|3),sequence_ctcf,0.1416/0.1789,0.2858/0.2775,0.08031809183035887,0.011801074848511228,0.1422/0.1760,0.2621/0.2503,0.06662288274719219
hl60,cnn(3|3),sequence_ctcf,0.0859/0.1109,0.2142/0.2180,0.013111278392547221,-0.06067988793946266,0.0919/0.1150,0.3491/0.3386,0.11944966073703833
hct116,cnn(5|3),sequence_ctcf,0.1321/0.1713,0.3392/0.3321,0.09668459343231106,-0.01691483186738707,0.1246/0.1609,0.3533/0.3362,0.11215796499676778
hek293t,cnn(5|3),sequence_ctcf,0.0957/0.1181,0.2451/0.1631,0.032203377398084876,-0.0030176114523621234,0.0962/0.1217,0.2741/0.2243,0.0597829584874352
hela,cnn(5|3),sequence_ctcf,0.1384/0.1789,0.3046/0.3291,0.08000250151182142,-0.020487256114136487,0.1347/0.1692,0.3749/0.3674,0.13765357337009554
hl60,cnn(5|3),sequence_ctcf,0.0902/0.1157,0.2373/0.2367,-0.07438100672085013,-0.1008807512797153,0.0892/0.1127,0.4173/0.3892,0.154158885366935
hct116,cnn(7|3),sequence_ctcf,0.1337/0.1670,0.3818/0.3779,0.14166922038855712,0.02861068723555904,0.1290/0.1608,0.3573/0.3547,0.11324825898144775
hek293t,cnn(7|3),sequence_ctcf,0.0963/0.1155,0.2765/0.2112,0.07539951600540196,0.0037731940755855176,0.0981/0.1216,0.2502/0.2099,0.06193738366215462
hela,cnn(7|3),sequence_ctcf,0.1368/0.1764,0.3354/0.3328,0.10543431701950023,-0.013319125337788784,0.1331/0.1691,0.3769/0.3664,0.13815685104612474
hl60,cnn(7|3),sequence_ctcf,0.0842/0.1072,0.3000/0.2796,0.07899413249097698,-0.01961927246036199,0.0885/0.1116,0.4166/0.4167,0.17051476008768285
hct116,transformer,sequence_ctcf,0.1355/0.1693,0.3454/0.3432,0.11814952888498453,0.006412452579261818,0.1270/0.1590,0.3679/0.3433,0.13273554528784604
hek293t,transformer,sequence_ctcf,0.0988/0.1187,0.1570/0.1027,0.02235848588199474,-0.014173226029879249,0.0983/0.1227,0.2148/0.1734,0.04521828078225543
hela,transformer,sequence_ctcf,0.1382/0.1795,0.2987/0.3073,0.07415129790959185,-0.012389662084112851,0.1337/0.1701,0.3635/0.3576,0.12874460365598372
hl60,transformer,sequence_ctcf,0.0821/0.1066,0.3591/0.3922,0.08851922265236278,-0.05428205047973644,0.0886/0.1111,0.4238/0.4188,0.1774840835206144
hct116,linear,sequence_dnase,0.1339/0.1679,0.3642/0.3461,0.13246055810400192,0.00043599050198817046,0.1270/0.1589,0.3667/0.3597,0.13370721987546963
hek293t,linear,sequence_dnase,0.1000/0.1203,0.1300/0.1071,-0.003267400839572776,7.456592063581624e-05,0.0991/0.1247,0.1668/0.1454,0.013069663911036034
hela,linear,sequence_dnase,0.1408/0.1789,0.2893/0.2900,0.08072255034491316,0.00011545986371841455,0.1373/0.1719,0.3323/0.3189,0.11024978316015654
hl60,linear,sequence_dnase,0.0789/0.1028,0.3961/0.4172,0.15178077063262074,0.002296837310058364,121045268.7950/2134656565.0501,0.0581/0.4256,-3.0357698404497916e+20
hct116,xgboost,sequence_dnase,0.1333/0.1666,0.3844/0.3740,0.14616948453576029,-0.00441325049305985,0.1271/0.1599,0.3508/0.3505,0.12249103168486086
hek293t,xgboost,sequence_dnase,0.0971/0.1178,0.1991/0.1223,0.037249722625136705,0.0,0.0988/0.1234,0.1928/0.1587,0.033983673283042415
hela,xgboost,sequence_dnase,0.1389/0.1770,0.3176/0.3258,0.09926083772044414,0.0,0.1352/0.1698,0.3633/0.3590,0.13183881647421847
hl60,xgboost,sequence_dnase,0.0782/0.1036,0.3752/0.4166,0.139404239350024,-0.015259513075623232,0.0905/0.1123,0.4089/0.3881,0.1598587803430349
hct116,mlp,sequence_dnase,0.1342/0.1685,0.3566/0.3341,0.1264342351081037,0.004920699131469308,0.1269/0.1587,0.3700/0.3589,0.13553437802896395
hek293t,mlp,sequence_dnase,0.0993/0.1205,0.1093/0.1065,-0.006342989994741366,-0.0026620808597064283,0.0984/0.1240,0.1786/0.1379,0.02398886669600553
hela,mlp,sequence_dnase,0.1405/0.1807,0.2762/0.2791,0.06143819092489211,-0.011653620737036019,0.1333/0.1701,0.3641/0.3438,0.12811313212014153
hl60,mlp,sequence_dnase,0.0784/0.1027,0.3933/0.4271,0.15442555185903128,-0.0015914951391328147,0.0884/0.1121,0.4062/0.4106,0.1626506122653667
hct116,cnn(3|3),sequence_dnase,0.1382/0.1745,0.2654/0.2730,0.06255023625493417,-0.01697755067587159,0.1301/0.1644,0.2894/0.3087,0.07260835907495133
hek293t,cnn(3|3),sequence_dnase,0.0959/0.1168,0.2406/0.1536,0.05463975556681733,-0.01732828213331994,0.0976/0.1215,0.2576/0.1707,0.06301591148468844
hela,cnn(3|3),sequence_dnase,0.1440/0.1791,0.2856/0.2770,0.07805556404966507,0.009538547067817427,0.1447/0.1767,0.2507/0.2372,0.0592301206968846
hl60,cnn(3|3),sequence_dnase,0.0847/0.1072,0.2816/0.2809,0.07819125209510158,0.004400085763091699,0.0909/0.1160,0.3278/0.3474,0.10357145544975432
hct116,cnn(5|3),sequence_dnase,0.1328/0.1715,0.3309/0.3274,0.09547750463492954,-0.018121920664768587,0.1258/0.1620,0.3277/0.3270,0.09930513314526712
hek293t,cnn(5|3),sequence_dnase,0.0976/0.1168,0.2582/0.1900,0.05429351052240927,0.019072521671962273,0.0994/0.1218,0.2643/0.2349,0.05923543058815173
hela,cnn(5|3),sequence_dnase,0.1374/0.1788,0.3231/0.3353,0.08129679405104984,-0.019192963574908073,0.1335/0.1689,0.3905/0.3954,0.14083426632625273
hl60,cnn(5|3),sequence_dnase,0.0844/0.1087,0.2622/0.2556,0.05298722644159781,0.026487481882732644,0.0904/0.1147,0.3702/0.3717,0.12367429164717891
hct116,cnn(7|3),sequence_dnase,0.1319/0.1660,0.3919/0.3833,0.15174631383464776,0.038687780681649686,0.1299/0.1625,0.3264/0.3342,0.09455513589898645
hek293t,cnn(7|3),sequence_dnase,0.0953/0.1150,0.2877/0.2085,0.08241944455434147,0.010793122624525031,0.0976/0.1212,0.2600/0.1936,0.06696368375783679
hela,cnn(7|3),sequence_dnase,0.1368/0.1761,0.3331/0.3344,0.10849014394172063,-0.01026329841556839,0.1342/0.1700,0.3627/0.3656,0.12982822021057028
hl60,cnn(7|3),sequence_dnase,0.0841/0.1083,0.2779/0.2657,0.05888179144956851,-0.03973161350177046,0.0875/0.1124,0.4052/0.3994,0.15863240767072517
hct116,transformer,sequence_dnase,0.1339/0.1691,0.3500/0.3514,0.1202067842338439,0.008469707928121184,0.1252/0.1587,0.3711/0.3381,0.13566545419381204
hek293t,transformer,sequence_dnase,0.0957/0.1175,0.2270/0.0750,0.04314149790322519,0.0066097859913512025,0.0962/0.1216,0.2547/0.1622,0.061142895323099355
hela,transformer,sequence_dnase,0.1397/0.1792,0.2992/0.3148,0.07705034146638234,-0.009490618527322359,0.1343/0.1698,0.3657/0.3672,0.13177346147589386
hl60,transformer,sequence_dnase,0.0784/0.1029,0.3977/0.4317,0.15080907827051826,0.008007805138419033,0.0896/0.1117,0.4124/0.4044,0.1690216793740139
hct116,linear,sequence_h3k4me3,0.1343/0.1682,0.3595/0.3368,0.12914850888794271,-0.002876058714071039,0.1266/0.1585,0.3723/0.3632,0.13850823608683593
hek293t,linear,sequence_h3k4me3,0.1018/0.1220,0.0926/0.0838,-0.032691447847901456,-0.029349481087692864,0.1015/0.1282,0.1058/0.1086,-0.0434154150513264
hela,linear,sequence_h3k4me3,0.1412/0.1792,0.2851/0.2859,0.07694837230045848,-0.0036587181807362645,16883.4316/588498.4480,0.0282/0.3127,-10433190941149.734
hct116,xgboost,sequence_h3k4me3,0.1344/0.1676,0.3712/0.3548,0.13524068505544373,-0.015342049973376404,0.1274/0.1602,0.3477/0.3479,0.11941290287445427
hek293t,xgboost,sequence_h3k4me3,0.0980/0.1189,0.1433/0.0842,0.01906665661132745,-0.018183066013809257,0.0993/0.1236,0.1839/0.1401,0.030694353147214803
hela,xgboost,sequence_h3k4me3,0.1396/0.1774,0.3118/0.3162,0.09565349966919201,-0.003607338051252129,0.1355/0.1701,0.3582/0.3531,0.12818668574268255
hl60,xgboost,sequence_h3k4me3,0.0776/0.1025,0.3997/0.4405,0.15830493330006656,0.0036411808744193364,0.0891/0.1112,0.4308/0.4109,0.17557447310451002
hct116,mlp,sequence_h3k4me3,0.1352/0.1685,0.3560/0.3349,0.12625685039722412,0.004743314420589728,0.1280/0.1589,0.3668/0.3515,0.13343146322819655
hek293t,mlp,sequence_h3k4me3,0.0991/0.1213,0.0594/0.0760,-0.02059784358497896,-0.01691693444994402,0.1002/0.1257,0.1004/0.0665,-0.0035169155543661734
hela,mlp,sequence_h3k4me3,0.1402/0.1808,0.2745/0.2751,0.06045359449240062,-0.01263821716952751,0.1328/0.1706,0.3593/0.3411,0.1230182224364994
hl60,mlp,sequence_h3k4me3,0.0786/0.1022,0.4030/0.4235,0.16235092377195515,0.006333876773791047,0.0881/0.1116,0.4144/0.4303,0.16979917828038493
hct116,cnn(3|3),sequence_h3k4me3,0.1372/0.1738,0.2718/0.2875,0.07016150792213682,-0.009366279008668932,0.1288/0.1631,0.2987/0.2961,0.08788234428689812
hek293t,cnn(3|3),sequence_h3k4me3,0.0968/0.1172,0.2250/0.1487,0.04755010612512156,-0.024417931575015706,0.0978/0.1211,0.2621/0.1779,0.06854901454098683
hela,cnn(3|3),sequence_h3k4me3,0.1434/0.1805,0.2636/0.2519,0.06375292703269242,-0.004764089949155226,0.1424/0.1763,0.2609/0.2494,0.06393611920828646
hl60,cnn(3|3),sequence_h3k4me3,0.0847/0.1058,0.3342/0.3326,0.10293927459993857,0.029148108267928685,0.0912/0.1131,0.3869/0.3900,0.14737339902122915
hct116,cnn(5|3),sequence_h3k4me3,0.1348/0.1709,0.3217/0.3175,0.10132001070632113,-0.012279414593377003,0.1274/0.1616,0.3229/0.3055,0.1041900886374082
hek293t,cnn(5|3),sequence_h3k4me3,0.0977/0.1183,0.1717/0.1148,0.029418324408747032,-0.005802664441699967,0.0989/0.1227,0.2129/0.1615,0.04419637724602199
hela,cnn(5|3),sequence_h3k4me3,0.1368/0.1792,0.2996/0.3310,0.076765109984681,-0.023724647641276908,0.1328/0.1696,0.3713/0.3722,0.13380633033804767
hl60,cnn(5|3),sequence_h3k4me3,0.0875/0.1101,0.2754/0.2841,0.027759278988891523,0.0012595344300263545,0.0914/0.1130,0.3969/0.3844,0.14937025308658858
hct116,cnn(7|3),sequence_h3k4me3,0.1315/0.1685,0.3695/0.3358,0.1268616457105033,0.013803112557505215,0.1262/0.1617,0.3425/0.3301,0.10317695203365851
hek293t,cnn(7|3),sequence_h3k4me3,0.0977/0.1228,0.2185/0.1764,-0.04578308101683093,-0.11740940294664737,0.0944/0.1214,0.3331/0.2713,0.06518348414704167
hela,cnn(7|3),sequence_h3k4me3,0.1373/0.1778,0.3179/0.3110,0.0918933139341439,-0.026860128423145113,0.1325/0.1692,0.3763/0.3664,0.13718235399177636
hl60,cnn(7|3),sequence_h3k4me3,0.0813/0.1080,0.3392/0.3624,0.06497569040275997,-0.033637714548579,0.0866/0.1119,0.4461/0.4231,0.16633065633128918
hct116,transformer,sequence_h3k4me3,0.1340/0.1682,0.3680/0.3569,0.12918353272893768,0.017446456423214962,0.1266/0.1601,0.3525/0.3193,0.12057137740478452
hek293t,transformer,sequence_h3k4me3,0.1020/0.1213,0.0896/0.0206,-0.02044909288533292,-0.05698080479720691,0.0999/0.1230,0.2123/0.1432,0.04042749978650273
hela,transformer,sequence_h3k4me3,0.1389/0.1782,0.3072/0.3190,0.08713901006504055,0.0005980500713358428,0.1364/0.1714,0.3425/0.3429,0.11548657320622102
hl60,transformer,sequence_h3k4me3,0.0781/0.1033,0.4010/0.4486,0.1438999019487821,0.0010986288166828784,0.0888/0.1107,0.4298/0.4180,0.1839058960450587
hct116,linear,sequence_rrbs,0.1339/0.1682,0.3607/0.3357,0.1299142374265061,-0.0021103301755076576,0.1262/0.1586,0.3698/0.3595,0.13662738404329577
hek293t,linear,sequence_rrbs,0.1008/0.1213,0.1052/0.0839,-0.01971526659007239,-0.016373299829863797,0.1011/0.1278,0.1144/0.1339,-0.03669961565538271
hela,linear,sequence_rrbs,0.1403/0.1784,0.2977/0.2995,0.0859122023507527,0.005305111869557955,0.1374/0.1723,0.3265/0.3124,0.10607749192385219
hl60,linear,sequence_rrbs,0.0796/0.1033,0.3876/0.4194,0.1436138495658894,-0.0058700837566729724,0.0901/0.1141,0.3709/0.3874,0.13229052466547853
hct116,xgboost,sequence_rrbs,0.1334/0.1668,0.3808/0.3648,0.14390911359334058,-0.00667362143547956,0.1275/0.1604,0.3442/0.3489,0.11785014971286811
hek293t,xgboost,sequence_rrbs,0.0971/0.1174,0.2155/0.1504,0.04480669599869702,0.007556973373560316,0.0985/0.1238,0.1780/0.1498,0.027810289358143336
hela,xgboost,sequence_rrbs,0.1393/0.1774,0.3113/0.3172,0.09602217945715785,-0.003238658263286287,0.1353/0.1698,0.3640/0.3560,0.13160078601234648
hl60,xgboost,sequence_rrbs,0.0783/0.1036,0.3750/0.4143,0.13949282180811495,-0.015170930617532274,0.0901/0.1118,0.4177/0.3915,0.16740371444455449
hct116,mlp,sequence_rrbs,0.1328/0.1687,0.3583/0.3454,0.12407108212886897,0.00255754615223458,0.1265/0.1595,0.3592/0.3485,0.12682738670309313
hek293t,mlp,sequence_rrbs,0.1004/0.1203,0.0964/0.0730,-0.0029248721884707063,0.0007560369465642314,0.1003/0.1251,0.1130/0.0837,0.006185279962124035
hela,mlp,sequence_rrbs,0.1381/0.1792,0.2912/0.3011,0.0776507317552505,0.004558920093322372,0.1354/0.1728,0.3261/0.3096,0.10025937427598852
hl60,mlp,sequence_rrbs,0.0783/0.1021,0.4065/0.4357,0.1641901575134629,0.008173110515298787,0.0894/0.1128,0.3907/0.4067,0.15216011470124624
hct116,cnn(3|3),sequence_rrbs,0.1363/0.1735,0.2843/0.2888,0.07428304216757065,-0.00524474476323511,0.1285/0.1631,0.2991/0.3065,0.08704486496385933
hek293t,cnn(3|3),sequence_rrbs,0.0959/0.1172,0.2389/0.1704,0.04797154487189814,-0.023996492828239124,0.0980/0.1217,0.2541/0.1674,0.05925441293043443
hela,cnn(3|3),sequence_rrbs,0.1444/0.1805,0.2573/0.2575,0.06359939212288235,-0.004917624858965297,0.1425/0.1758,0.2653/0.2589,0.06847628118323557
hl60,cnn(3|3),sequence_rrbs,0.0863/0.1081,0.2751/0.2542,0.06281165856954085,-0.010979507762469032,0.0923/0.1157,0.3307/0.3478,0.10779074260079646
hct116,cnn(5|3),sequence_rrbs,0.1320/0.1713,0.3308/0.3386,0.09678721239248744,-0.01681221290721069,0.1249/0.1610,0.3452/0.3347,0.11088462293357071
hek293t,cnn(5|3),sequence_rrbs,0.0967/0.1164,0.2587/0.2197,0.06108102202842103,0.02586003317797403,0.1003/0.1229,0.2277/0.2198,0.04134545576710558
hela,cnn(5|3),sequence_rrbs,0.1359/0.1763,0.3306/0.3434,0.10720088400631045,0.006711126380352539,0.1349/0.1695,0.3690/0.3643,0.13444950881170692
hl60,cnn(5|3),sequence_rrbs,0.0899/0.1130,0.2159/0.1946,-0.023769936538630576,-0.050269681097495744,0.0907/0.1157,0.3503/0.3476,0.10760169798833141
hct116,cnn(7|3),sequence_rrbs,0.1335/0.1704,0.3515/0.3230,0.10672851394062288,-0.006330019212375193,0.1264/0.1619,0.3304/0.3099,0.10083637804202683
hek293t,cnn(7|3),sequence_rrbs,0.0973/0.1184,0.1989/0.1591,0.02866249211515759,-0.04296382981465885,0.0971/0.1225,0.2417/0.2228,0.047639317590769115
hela,cnn(7|3),sequence_rrbs,0.1361/0.1780,0.3237/0.3206,0.08976387462840829,-0.028989567728880727,0.1319/0.1704,0.3707/0.3577,0.1254849985636255
hl60,cnn(7|3),sequence_rrbs,0.0833/0.1083,0.2685/0.2704,0.05888790497897167,-0.039725499972367295,0.0874/0.1118,0.4213/0.4232,0.1678191884666198
hct116,transformer,sequence_rrbs,0.1336/0.1689,0.3548/0.3513,0.12179027719777868,0.010053200892055969,0.1260/0.1601,0.3499/0.3230,0.12041605594264382
hek293t,transformer,sequence_rrbs,0.0996/0.1197,0.0778/0.0705,0.00601447607323824,-0.030517235838635748,0.0996/0.1243,0.1625/0.1475,0.019624734170682445
hela,transformer,sequence_rrbs,0.1397/0.1787,0.2974/0.3132,0.0821103851911833,-0.004430574802521403,0.1351/0.1703,0.3563/0.3568,0.12664761358612442
hl60,transformer,sequence_rrbs,0.0796/0.1037,0.3987/0.4377,0.13760689352868172,-0.005194379603417509,0.0891/0.1114,0.4193/0.4063,0.17388392125951402
hct116,linear,sequence_ctcf_dnase,0.1348/0.1692,0.3458/0.3232,0.11866589889572599,-0.013358668706287768,0.1263/0.1582,0.3769/0.3738,0.14123684465069863
hek293t,linear,sequence_ctcf_dnase,0.1003/0.1204,0.1323/0.1062,-0.005777700214267822,-0.00243573345405923,0.0996/0.1261,0.1430/0.1327,-0.008389763035719255
hela,linear,sequence_ctcf_dnase,0.1415/0.1796,0.2805/0.2893,0.07354865293734947,-0.007058437543845275,0.2597/3.0238,0.0590/0.3204,-274.44452174454017
hl60,linear,sequence_ctcf_dnase,0.0799/0.1040,0.3783/0.3962,0.13289153295207246,-0.016592400370489924,224648943.2779/3961727265.6229,0.0581/0.4104,-1.0456394599749471e+21
hct116,xgboost,sequence_ctcf_dnase,0.1323/0.1661,0.3889/0.3715,0.1511571611658079,0.0005744261369877712,0.1273/0.1593,0.3627/0.3621,0.12960159041146824
hek293t,xgboost,sequence_ctcf_dnase,0.0967/0.1173,0.2312/0.1552,0.04586325060127949,0.008613527976142787,0.0985/0.1239,0.1724/0.1504,0.02611986654462428
hela,xgboost,sequence_ctcf_dnase,0.1395/0.1771,0.3147/0.3215,0.09877728139872899,-0.0004835563217151506,0.1357/0.1700,0.3619/0.3553,0.12952205647209003
hl60,xgboost,sequence_ctcf_dnase,0.0788/0.1032,0.3837/0.4170,0.14603748530372196,-0.008626267121925268,0.0899/0.1121,0.4108/0.3904,0.16231902264460907
hct116,mlp,sequence_ctcf_dnase,0.1350/0.1700,0.3342/0.3196,0.11111509086609161,-0.010398445110542776,0.1261/0.1582,0.3780/0.3681,0.14126049823478848
hek293t,mlp,sequence_ctcf_dnase,0.0975/0.1193,0.1515/0.1445,0.01260233691149526,0.016283246046530198,0.0983/0.1244,0.1734/0.1421,0.017107277019468903
hela,mlp,sequence_ctcf_dnase,0.1389/0.1790,0.2909/0.2978,0.07955390884014224,0.00646209717821411,0.1338/0.1703,0.3593/0.3433,0.12627597815506542
hl60,mlp,sequence_ctcf_dnase,0.0843/0.1091,0.3178/0.3470,0.045394827686852324,-0.11062221931131178,0.0874/0.1107,0.4380/0.4466,0.1835168589745111
hct116,cnn(3|3),sequence_ctcf_dnase,0.1368/0.1740,0.2782/0.2824,0.06801818540638216,-0.011509601524423596,0.1267/0.1615,0.3300/0.3459,0.10500986054540606
hek293t,cnn(3|3),sequence_ctcf_dnase,0.0962/0.1171,0.2443/0.1689,0.04934850658605294,-0.022619531114084324,0.0977/0.1218,0.2619/0.2119,0.05885057175757147
hela,cnn(3|3),sequence_ctcf_dnase,0.1415/0.1799,0.2727/0.2669,0.06998386513343835,0.001466848151590705,0.1399/0.1753,0.2761/0.2559,0.07387582187157582
hl60,cnn(3|3),sequence_ctcf_dnase,0.0843/0.1072,0.2853/0.2790,0.07848770928733606,0.004696542955326177,0.0911/0.1156,0.3427/0.3563,0.10991119646584346
hct116,cnn(5|3),sequence_ctcf_dnase,0.1364/0.1706,0.3281/0.3501,0.104595144118525,-0.009004281181173135,0.1302/0.1621,0.3293/0.3262,0.09874570410748851
hek293t,cnn(5|3),sequence_ctcf_dnase,0.0928/0.1147,0.3029/0.2679,0.08852346860431926,0.053302479753872256,0.0987/0.1216,0.2622/0.2411,0.06112399788416545
hela,cnn(5|3),sequence_ctcf_dnase,0.1351/0.1792,0.3224/0.3401,0.07759396083725822,-0.022895796788699685,0.1304/0.1693,0.3890/0.3882,0.1360561219804195
hl60,cnn(5|3),sequence_ctcf_dnase,0.0862/0.1115,0.2556/0.2410,0.0032642664144363343,-0.023235478144428834,0.0883/0.1132,0.4044/0.3877,0.14614486063361576
hct116,cnn(7|3),sequence_ctcf_dnase,0.1324/0.1665,0.3848/0.3639,0.14708771145284516,0.034029178299847085,0.1287/0.1613,0.3396/0.3256,0.10786394997614479
hek293t,cnn(7|3),sequence_ctcf_dnase,0.0939/0.1160,0.2848/0.1923,0.06679655362198722,-0.004829768307829219,0.0953/0.1210,0.2977/0.2376,0.07130025030222664
