model,split_type,cell_line,R2,MAE,RMSE,Pearson,Spearman
mlp,all,hct116,0.0927671929123749,0.1299579305541878,0.16356369857919686,0.3081272704014368,0.31381421635002904
mlp,all,hek293t,-0.39660485689618574,0.11285232354803398,0.14157467080243177,-0.17587754789013546,-0.1463587865133126
mlp,all,hela,0.004542165643389828,0.1434732167545241,0.18167162245685503,0.11524859508616143,0.10904654383276201
mlp,all,hl60,0.0283010001726981,0.08870617724212178,0.11186372763815386,0.2566305122560393,0.2559588803500081
cnn(3|3),all,hct116,0.046250833076030395,0.13386937058398787,0.16770446864190863,0.22117899727205295,0.2184286360589331
cnn(3|3),all,hek293t,-0.23818424058404464,0.10905858044473848,0.13330346013831032,-0.15482222588944267,-0.1086965778897526
cnn(3|3),all,hela,-0.023653935885685762,0.1460820275919039,0.1842265591010287,-0.015393717218498726,-0.022972112219726632
cnn(3|3),all,hl60,-0.1032804417340738,0.09400015973678014,0.11919728654402226,0.14874586206597168,0.15627864613929207
cnn(5|3),all,hct116,0.0791453814297618,0.1329611493509309,0.1647870520274983,0.2829949249160709,0.2736958473807805
cnn(5|3),all,hek293t,-0.3673019148398373,0.11141564741258043,0.14008156899157362,-0.17252519373945838,-0.1304597895656153
cnn(5|3),all,hela,-0.04284179334946492,0.14591076766705907,0.18594515816381074,0.03761543782594063,0.030286002867762358
cnn(5|3),all,hl60,0.0178327184814403,0.08678078885156094,0.11246467710106896,0.23851281575815936,0.24549941039312237
cnn(7|3),all,hct116,0.11156450801955542,0.12993289895157173,0.16186035889635314,0.33574435950688264,0.3236710259194793
cnn(7|3),all,hek293t,-0.4686219139728227,0.11392402608527219,0.14517899596002992,-0.13762988882749289,-0.11091229113138248
cnn(7|3),all,hela,-0.007030169299339084,0.1458603385635813,0.18272455005509508,0.01326276427240614,0.011283253859874737
cnn(7|3),all,hl60,0.04141729579003994,0.08719567677207105,0.11110617682742521,0.26762083577086276,0.26397587010275825
transformer,all,hct116,0.09799799314352775,0.12883234442711156,0.16309149021946792,0.3265775653785916,0.32516184076533283
transformer,all,hek293t,-0.48599074545487775,0.11519129322167124,0.1460349609246933,-0.15608475563260105,-0.13828715994600313
transformer,all,hela,-0.006561778466817048,0.14347612923715553,0.1826820506042016,0.08913474866442671,0.08088626739680643
transformer,all,hl60,-0.10640637881941162,0.09544115517959573,0.11936602862100743,0.12912097997050762,0.06205751532374165
linear,mixed,none,0.07665283404818168,0.12572145277637115,0.15905070553511264,0.278849256345731,0.2710593721538544
xgboost,mixed,none,0.09659103099505184,0.12413632284460274,0.15732368275503275,0.31181748047186647,0.30449084708092183
mlp,mixed,none,0.07117013110556625,0.12559344695070984,0.15951680718148087,0.2761674986544504,0.26752255289127636
cnn(3|3),mixed,none,0.04630740709358755,0.1284523282930952,0.16164182541574632,0.2176464132222784,0.21517370487705584
cnn(5|3),mixed,none,0.07092037200682302,0.1237085824125158,0.15952447654572222,0.28910814061192935,0.27490136051136627
cnn(7|3),mixed,none,0.08155694587199952,0.12341251865986627,0.15862451977665887,0.2983310617622629,0.28292113165763744
transformer,mixed,none,0.07823754200488647,0.12570547236751162,0.15890471500836711,0.290793425189899,0.27836960817376494
