model,environment,MAE/RMSE,Pearson/Spearman,R2,delta_R2,validation_MAE/RMSE,validation_Pearson/Spearman,validation_R2
mlp,sequence_ctcf_dnase,0.1252/0.1593,0.2851/0.2715,0.07400777720490442,0.002837646099338176,0.1227/0.1569,0.2807/0.2743,0.07482361934756965
cnn(3|3),sequence_ctcf_dnase,0.1275/0.1617,0.2185/0.2098,0.04539459852743788,-0.0009128085661496699,0.1248/0.1583,0.2449/0.2246,0.05769511321213061
cnn(5|3),sequence_ctcf_dnase,0.1249/0.1598,0.2805/0.2736,0.06800484198937859,-0.0029155300174444343,0.1220/0.1561,0.2994/0.2806,0.08398541426758785
cnn(7|3),sequence_ctcf_dnase,0.1238/0.1596,0.2847/0.2690,0.07039954019160322,-0.011157405680396304,0.1209/0.1562,0.2996/0.2778,0.08269264967699927
transformer,sequence_ctcf_dnase,0.1250/0.1595,0.2767/0.2723,0.07152785266961562,-0.0067096893352708575,0.1213/0.1558,0.3007/0.2986,0.08822869117924279
linear,sequence_ctcf_h3k4me3,0.1260/0.1593,0.2748/0.2666,0.07351284539019137,-0.0031399886579903113,0.1250/0.1584,0.2518/0.2498,0.056815009609816336
xgboost,sequence_ctcf_h3k4me3,0.1243/0.1576,0.3064/0.2953,0.09316443001724192,-0.0034266009778099182,0.1222/0.1554,0.3046/0.3006,0.09215576300425748
mlp,sequence_ctcf_h3k4me3,0.1251/0.1593,0.2840/0.2700,0.07343739192905849,0.00226726082349224,0.1231/0.1572,0.2786/0.2704,0.07120600550267181
cnn(3|3),sequence_ctcf_h3k4me3,0.1279/0.1617,0.2167/0.2085,0.04588806219530833,-0.00041934489827921695,0.1251/0.1584,0.2396/0.2236,0.056194320463880426
cnn(5|3),sequence_ctcf_h3k4me3,0.1255/0.1601,0.2738/0.2629,0.06473413658206542,-0.006186235424757602,0.1226/0.1565,0.2898/0.2755,0.07869955951573906
cnn(7|3),sequence_ctcf_h3k4me3,0.1240/0.1589,0.2923/0.2710,0.07748625479614912,-0.004070691075850397,0.1214/0.1560,0.3012/0.2799,0.0847442595503057
transformer,sequence_ctcf_h3k4me3,0.1254/0.1592,0.2784/0.2708,0.07474061434453635,-0.0034969276603501187,0.1225/0.1562,0.2924/0.2872,0.08243959540328616
linear,sequence_ctcf_rrbs,0.1259/0.1593,0.2759/0.2671,0.07419880278212546,-0.002454031266056228,0.1249/0.1583,0.2537/0.2507,0.05820504642887986
xgboost,sequence_ctcf_rrbs,0.1242/0.1574,0.3096/0.3005,0.0953520004086928,-0.0012390305863590467,0.1224/0.1556,0.3003/0.2976,0.08966175456033201
mlp,sequence_ctcf_rrbs,0.1258/0.1600,0.2733/0.2629,0.0658167169121891,-0.005353414193377148,0.1235/0.1575,0.2722/0.2645,0.06742557368039709
cnn(3|3),sequence_ctcf_rrbs,0.1283/0.1616,0.2200/0.2051,0.04646687183387102,0.00015946474028347146,0.1258/0.1585,0.2435/0.2221,0.05611958916417828
cnn(5|3),sequence_ctcf_rrbs,0.1250/0.1598,0.2789/0.2727,0.06767225922228418,-0.003248112784538848,0.1222/0.1564,0.2953/0.2803,0.0805397967438772
cnn(7|3),sequence_ctcf_rrbs,0.1241/0.1589,0.2911/0.2768,0.07754840768874946,-0.00400853818325006,0.1219/0.1562,0.2938/0.2782,0.08231203451905098
transformer,sequence_ctcf_rrbs,0.1255/0.1598,0.2704/0.2596,0.06842955243320664,-0.009807989571679832,0.1221/0.1562,0.2937/0.2934,0.08261423228541845
linear,sequence_dnase_h3k4me3,0.1271/0.1603,0.2704/0.2618,0.07070972718751319,-0.005943106860668498,0.1245/0.1576,0.2421/0.2467,0.05096505133444421
xgboost,sequence_dnase_h3k4me3,0.1243/0.1575,0.3080/0.3021,0.09445304467774529,-0.0021379863173065505,0.1221/0.1554,0.3054/0.3009,0.09181206788003543
mlp,sequence_dnase_h3k4me3,0.1252/0.1592,0.2850/0.2751,0.07514357399895369,0.003973442893387441,0.1229/0.1572,0.2749/0.2674,0.07142908253123448
cnn(3|3),sequence_dnase_h3k4me3,0.1274/0.1621,0.2090/0.2102,0.04114382145422635,-0.005163585639361201,0.1247/0.1588,0.2317/0.2182,0.05158268786518766
cnn(5|3),sequence_dnase_h3k4me3,0.1244/0.1593,0.2817/0.2747,0.07392408174383538,0.003003709737012361,0.1224/0.1568,0.2841/0.2724,0.07592679842246969
cnn(7|3),sequence_dnase_h3k4me3,0.1245/0.1592,0.2842/0.2735,0.07480384080582331,-0.006753105066176213,0.1218/0.1563,0.2937/0.2794,0.08173552008055562
transformer,sequence_dnase_h3k4me3,0.1241/0.1587,0.2895/0.2845,0.0804164176472131,0.002178875642326633,0.1216/0.1564,0.2907/0.2875,0.08028918594258663
linear,sequence_dnase_rrbs,0.1269/0.1603,0.2718/0.2633,0.07152613047264023,-0.005126703575541458,0.1244/0.1576,0.2416/0.2458,0.05095157081349366
xgboost,sequence_dnase_rrbs,0.1242/0.1575,0.3087/0.3019,0.09492934961276028,-0.0016616813822915577,0.1224/0.1556,0.3009/0.3000,0.08933726420471086
mlp,sequence_dnase_rrbs,0.1259/0.1595,0.2816/0.2733,0.0712424359314302,7.230482586395581e-05,0.1236/0.1574,0.2757/0.2685,0.0692323975221654
cnn(3|3),sequence_dnase_rrbs,0.1277/0.1622,0.2079/0.2081,0.03935227760284951,-0.006955129490738038,0.1251/0.1591,0.2296/0.2196,0.04883157214889283
cnn(5|3),sequence_dnase_rrbs,0.1251/0.1598,0.2795/0.2753,0.06815880158507379,-0.0027615704217492376,0.1227/0.1568,0.2905/0.2797,0.07592599001864425
cnn(7|3),sequence_dnase_rrbs,0.1234/0.1589,0.2944/0.2819,0.07848778093523892,-0.003069164936760599,0.1213/0.1565,0.2928/0.2815,0.07861605525854953
transformer,sequence_dnase_rrbs,0.1257/0.1591,0.2778/0.2695,0.07555215020942055,-0.0026853917954659245,0.1235/0.1567,0.2837/0.2779,0.0767772028542246
linear,sequence_h3k4me3_rrbs,0.1257/0.1593,0.2743/0.2687,0.07340635139535165,-0.003246482652830035,0.1249/0.1585,0.2494/0.2493,0.05576998262454039
xgboost,sequence_h3k4me3_rrbs,0.1243/0.1577,0.3051/0.2999,0.09226914171499417,-0.004321889280057667,0.1223/0.1556,0.3010/0.2979,0.08942339681762024
mlp,sequence_h3k4me3_rrbs,0.1257/0.1596,0.2755/0.2663,0.07012022959448397,-0.0010499015110822796,0.1237/0.1575,0.2731/0.2666,0.06734163662560422
cnn(3|3),sequence_h3k4me3_rrbs,0.1268/0.1619,0.2157/0.2164,0.04300327841768742,-0.003304128675900131,0.1242/0.1589,0.2335/0.2224,0.05107754276650692
cnn(5|3),sequence_h3k4me3_rrbs,0.1248/0.1601,0.2758/0.2682,0.06465844490319453,-0.006261927103628495,0.1221/0.1568,0.2849/0.2723,0.07592328849460128
cnn(7|3),sequence_h3k4me3_rrbs,0.1240/0.1584,0.2958/0.2846,0.08460235811837466,0.00304541224637514,0.1225/0.1566,0.2891/0.2774,0.07843826265681353
transformer,sequence_h3k4me3_rrbs,0.1258/0.1592,0.2796/0.2721,0.07430973746040964,-0.003927804544476832,0.1229/0.1565,0.2887/0.2871,0.0793714597101498
linear,sequence_ctcf_dnase_h3k4me3,0.1260/0.1593,0.2759/0.2669,0.07377728591933039,-0.0028755481288512963,0.1252/0.1587,0.2471/0.2466,0.053287708184034055
xgboost,sequence_ctcf_dnase_h3k4me3,0.1241/0.1573,0.3112/0.3012,0.09680525473203286,0.00021422373698101738,0.1220/0.1553,0.3068/0.3043,0.09320721437812166
mlp,sequence_ctcf_dnase_h3k4me3,0.1253/0.1592,0.2798/0.2666,0.07488609197159582,0.0037159608660295718,0.1230/0.1568,0.2829/0.2750,0.07569063000463888
cnn(3|3),sequence_ctcf_dnase_h3k4me3,0.1278/0.1617,0.2213/0.2128,0.045485019690056055,-0.0008223874035314938,0.1249/0.1584,0.2395/0.2201,0.05662361262355278
cnn(5|3),sequence_ctcf_dnase_h3k4me3,0.1266/0.1596,0.2806/0.2750,0.07055527591712793,-0.0003650960896950939,0.1242/0.1566,0.2916/0.2753,0.07799851605925978
cnn(7|3),sequence_ctcf_dnase_h3k4me3,0.1242/0.1587,0.2956/0.2834,0.0811492905166914,-0.000407655355308123,0.1223/0.1566,0.2937/0.2830,0.07862011914717215
transformer,sequence_ctcf_dnase_h3k4me3,0.1258/0.1589,0.2864/0.2734,0.07880865145430768,0.0005711094494212088,0.1229/0.1559,0.2998/0.2922,0.08681999245475333
linear,sequence_ctcf_dnase_rrbs,0.1271/0.1604,0.2695/0.2599,0.06940818442365104,-0.007244649624530641,0.1246/0.1578,0.2413/0.2424,0.04942880024411896
xgboost,sequence_ctcf_dnase_rrbs,0.1241/0.1573,0.3122/0.3020,0.09682254961883513,0.0002315186237832889,0.1224/0.1556,0.3018/0.3004,0.09001481173113354
mlp,sequence_ctcf_dnase_rrbs,0.1267/0.1592,0.2854/0.2693,0.07480218758019536,0.0036320564746291084,0.1246/0.1573,0.2723/0.2632,0.06967456845833198
cnn(3|3),sequence_ctcf_dnase_rrbs,0.1280/0.1621,0.2164/0.2025,0.04101317540070895,-0.005294231692878598,0.1249/0.1586,0.2357/0.2186,0.05390742029513451
cnn(5|3),sequence_ctcf_dnase_rrbs,0.1258/0.1595,0.2768/0.2685,0.07091081633129129,-9.555675531736085e-06,0.1233/0.1566,0.2905/0.2773,0.07842269784348557
cnn(7|3),sequence_ctcf_dnase_rrbs,0.1239/0.1588,0.2927/0.2769,0.0793655603409027,-0.0021913855310968233,0.1221/0.1567,0.2892/0.2781,0.07736531376324873
transformer,sequence_ctcf_dnase_rrbs,0.1251/0.1593,0.2753/0.2691,0.07392911903115193,-0.004308422973734544,0.1222/0.1561,0.2927/0.2966,0.08414318038063098
linear,sequence_ctcf_h3k4me3_rrbs,0.1259/0.1594,0.2734/0.2660,0.0723250594413559,-0.0043277746068257905,0.1251/0.1586,0.2486/0.2469,0.05419901319145465
xgboost,sequence_ctcf_h3k4me3_rrbs,0.1241/0.1574,0.3104/0.3010,0.09585543778040428,-0.0007355932146475563,0.1223/0.1555,0.3032/0.3005,0.09081861335010372
mlp,sequence_ctcf_h3k4me3_rrbs,0.1262/0.1596,0.2774/0.2634,0.07074398954064717,-0.00042614156491907473,0.1239/0.1575,0.2680/0.2618,0.06782276779906699
cnn(3|3),sequence_ctcf_h3k4me3_rrbs,0.1280/0.1621,0.2143/0.1995,0.04097856046076745,-0.0053288466328201,0.1249/0.1587,0.2330/0.2180,0.05279242760028213
cnn(5|3),sequence_ctcf_h3k4me3_rrbs,0.1260/0.1594,0.2805/0.2759,0.07261295346059607,0.0016925814537730455,0.1234/0.1563,0.2916/0.2766,0.08164625555265728
cnn(7|3),sequence_ctcf_h3k4me3_rrbs,0.1233/0.1589,0.2949/0.2849,0.07840355327709603,-0.0031533925949034924,0.1214/0.1564,0.3009/0.2919,0.07987867043722818
transformer,sequence_ctcf_h3k4me3_rrbs,0.1245/0.1591,0.2839/0.2696,0.07584736805231587,-0.002390173952570601,0.1217/0.1562,0.2960/0.2908,0.0830871864683991
linear,sequence_dnase_h3k4me3_rrbs,0.1270/0.1604,0.2702/0.2620,0.07022117414621021,-0.006431659901971476,0.1246/0.1578,0.2393/0.2439,0.048513623031227304
xgboost,sequence_dnase_h3k4me3_rrbs,0.1242/0.1576,0.3064/0.2992,0.09342066417091152,-0.0031703668241403193,0.1219/0.1553,0.3063/0.3033,0.09284819599627822
mlp,sequence_dnase_h3k4me3_rrbs,0.1249/0.1590,0.2838/0.2762,0.07695610899141192,0.005785977885845672,0.1229/0.1574,0.2700/0.2662,0.06871504076321727
cnn(3|3),sequence_dnase_h3k4me3_rrbs,0.1287/0.1622,0.2111/0.2079,0.03968422426217194,-0.006623182831415608,0.1258/0.1590,0.2256/0.2157,0.04969170719051347
cnn(5|3),sequence_dnase_h3k4me3_rrbs,0.1252/0.1599,0.2803/0.2738,0.06626403511602569,-0.004656336890797336,0.1226/0.1569,0.2864/0.2718,0.07406858414905867
cnn(7|3),sequence_dnase_h3k4me3_rrbs,0.1231/0.1592,0.2933/0.2802,0.07441969800750292,-0.007137247864496599,0.1214/0.1571,0.2896/0.2762,0.07210191999347548
transformer,sequence_dnase_h3k4me3_rrbs,0.1256/0.1591,0.2796/0.2712,0.07630235885378767,-0.0019351831510988071,0.1231/0.1566,0.2841/0.2788,0.0784028045156823
linear,all,0.1272/0.1605,0.2682/0.2589,0.06827985591028929,-0.008372978137892395,0.1248/0.1580,0.2386/0.2409,0.04666368849448851
xgboost,all,0.1240/0.1574,0.3101/0.3004,0.09574547446323992,-0.0008455565318119251,0.1221/0.1554,0.3043/0.3013,0.09169049988643888
mlp,all,0.1254/0.1592,0.2798/0.2697,0.07497667421988202,0.0038065431143157746,0.1230/0.1571,0.2717/0.2651,0.07168118138689292
cnn(3|3),all,0.1280/0.1621,0.2127/0.2117,0.04061118844881817,-0.00569621864476938,0.1249/0.1585,0.2393/0.2290,0.05506537983949375
cnn(5|3),all,0.1244/0.1592,0.2892/0.2715,0.07486323079095039,0.003942858784127368,0.1220/0.1562,0.3026/0.2814,0.08316564532745002
cnn(7|3),all,0.1242/0.1584,0.2966/0.2832,0.08434826023556533,0.0027913143635658055,0.1224/0.1561,0.2938/0.2820,0.0836563424995318
transformer,all,0.1256/0.1596,0.2763/0.2687,0.07031107531824482,-0.007926466686641653,0.1223/0.1562,0.2946/0.2911,0.08244945037676579
