model,environment,MAE/RMSE,Pearson/Spearman,R2,delta_R2,validation_MAE/RMSE,validation_Pearson/Spearman,validation_R2,test_cell_line
cnn(7|3),sequence_h3k4me3,0.0862/0.1097,0.3029/0.3016,0.0659371960638484,0.02451990027380846,0.1300/0.1649,0.3035/0.2911,0.08789126230341726,hl60
transformer,sequence_h3k4me3,0.1166/0.1455,-0.1696/-0.1402,-0.47467421178249314,0.01131653367238461,0.1280/0.1622,0.3781/0.3873,0.14254893046617068,hct116
transformer,sequence_h3k4me3,0.0911/0.1142,0.1508/0.0686,-0.013477327511460357,0.09292905130795126,0.1314/0.1655,0.2872/0.2867,0.08085335907108071,hct116
transformer,sequence_h3k4me3,0.1340/0.1653,0.3062/0.3088,0.07371270560514454,-0.024285287538383216,0.1240/0.1590,0.2274/0.1937,0.0470603269757669,hl60
transformer,sequence_h3k4me3,0.1444/0.1822,0.0934/0.0877,-0.0014977746517625956,0.005064003815054452,0.0960/0.1186,0.1097/0.1244,0.010035823962471935,hl60
linear,sequence_rrbs,0.1317/0.1633,0.3171/0.3153,0.09532482016526911,-0.0015258831999426237,0.1238/0.1606,0.1854/0.1740,0.02866448214180084,hct116
linear,sequence_rrbs,0.1144/0.1445,-0.1820/-0.1448,-0.4548185056174876,-0.002092063094500052,0.1287/0.1647,0.3443/0.3460,0.1166524024429677,hct116
linear,sequence_rrbs,0.1432/0.1821,0.1108/0.1170,-9.403728939316736e-05,-0.0073853788754510985,0.0956/0.1197,0.0796/0.1040,-0.00769774347898311,hek293t
linear,sequence_rrbs,0.0899/0.1125,0.2808/0.2862,0.018067335769697546,-0.010547579799476403,0.1328/0.1667,0.2659/0.2506,0.06840773683795531,hl60
xgboost,sequence_rrbs,0.1135/0.1436,-0.1925/-0.1500,-0.43719896551574644,0.021467199922504454,0.1262/0.1626,0.3762/0.3880,0.13887393298119421,hek293t
xgboost,sequence_rrbs,0.1435/0.1827,0.0847/0.0853,-0.007245353365812335,-0.009016215047035536,0.0951/0.1185,0.1081/0.1170,0.011031261645026325,hela
xgboost,sequence_rrbs,0.0917/0.1148,0.2156/0.2081,-0.023770204079621715,-0.007643567413242458,0.1308/0.1648,0.3016/0.2944,0.08904666112054771,hela
xgboost,sequence_rrbs,0.1321/0.1636,0.3283/0.3274,0.09231454411628326,-0.009954124311909118,0.1234/0.1591,0.2162/0.1897,0.046195166195797,hl60
mlp,sequence_rrbs,0.1135/0.1416,-0.1753/-0.1460,-0.39658669860638507,1.81582898006738e-05,0.1302/0.1652,0.3328/0.3319,0.11071878404690083,hct116
mlp,sequence_rrbs,0.1455/0.1821,0.0612/0.0565,5.9293628670298304e-05,-0.00448287201471953,0.0967/0.1192,0.0949/0.1026,-0.00042176847038799536,hct116
mlp,sequence_rrbs,0.1300/0.1639,0.3016/0.3126,0.08938689574463443,-0.0033802971677404647,0.1214/0.1603,0.2019/0.1945,0.03178131471668655,hek293t
mlp,sequence_rrbs,0.0904/0.1134,0.2454/0.2397,0.0020286335664871924,-0.026272366606210906,0.1328/0.1676,0.2517/0.2479,0.057518959437093065,hl60
cnn(3|3),sequence_rrbs,0.1450/0.1837,0.0045/0.0008,-0.018178990326533695,0.005474945559152067,0.0945/0.1174,0.1741/0.1694,0.030252619550615645,hct116
cnn(3|3),sequence_rrbs,0.1352/0.1674,0.2233/0.2191,0.0493531114793655,0.0031022784033351014,0.1238/0.1596,0.2037/0.1891,0.03987349490888237,hct116
cnn(3|3),sequence_rrbs,0.0902/0.1147,0.1456/0.1621,-0.021034514369566493,0.08224592736450731,0.1332/0.1678,0.2437/0.2452,0.05561356284176977,hek293t
cnn(3|3),sequence_rrbs,0.1112/0.1368,-0.1379/-0.0960,-0.30471334911889225,-0.06652910853484761,0.1327/0.1693,0.2627/0.2726,0.06690992248247452,hl60
cnn(5|3),sequence_rrbs,0.1437/0.1848,0.0529/0.0422,-0.02981267476232774,0.013029118587137178,0.0923/0.1164,0.2274/0.2073,0.04702714205507241,hela
cnn(5|3),sequence_rrbs,0.0900/0.1159,0.2252/0.2229,-0.04356615813644571,-0.06139887661788601,0.1318/0.1661,0.3008/0.2923,0.07488380161345864,hela
cnn(5|3),sequence_rrbs,0.1174/0.1420,-0.1594/-0.1077,-0.4058134902024504,-0.03851157536261307,0.1318/0.1648,0.3436/0.3482,0.11547834952043112,hela
cnn(5|3),sequence_rrbs,0.1308/0.1649,0.2924/0.2858,0.07815359270347688,-0.0009917887262849145,0.1200/0.1584,0.2497/0.2161,0.05450026911746064,hl60
cnn(7|3),sequence_rrbs,0.1185/0.1477,-0.1517/-0.1208,-0.5195528840787187,-0.05093097010589598,0.1302/0.1638,0.3597/0.3631,0.12631631911871832,hek293t
cnn(7|3),sequence_rrbs,0.1302/0.1627,0.3240/0.3232,0.1026771836647955,-0.008887324354759918,0.1211/0.1585,0.2368/0.1973,0.05296211059429212,hela
cnn(7|3),sequence_rrbs,0.1447/0.1840,0.0307/0.0291,-0.020780259439384663,-0.013750090140045579,0.0941/0.1171,0.1878/0.1889,0.034832812816469216,hl60
cnn(7|3),sequence_rrbs,0.0866/0.1101,0.2958/0.3005,0.05931270756743934,0.017895411777399395,0.1298/0.1655,0.2948/0.2887,0.08150812793845663,hl60
transformer,sequence_rrbs,0.0939/0.1195,0.0568/-0.0347,-0.10878479314202472,-0.0023784143226130983,0.1294/0.1652,0.3028/0.2934,0.08522753873514277,hct116
transformer,sequence_rrbs,0.1439/0.1826,0.0712/0.0702,-0.005695205707919149,0.0008665727588978989,0.0952/0.1182,0.1296/0.1358,0.016751779897621,hela
transformer,sequence_rrbs,0.1313/0.1635,0.3262/0.3260,0.09319430494991532,-0.004803688193612432,0.1231/0.1594,0.2078/0.1659,0.0430874701100844,hl60
transformer,sequence_rrbs,0.1147/0.1431,-0.1626/-0.1272,-0.42619159870859136,0.05979914674628639,0.1279/0.1620,0.3810/0.3869,0.14509316853893295,hl60
linear,sequence_ctcf_dnase,0.1135/0.1436,-0.1697/-0.1288,-0.43779800218924336,0.014928440333744186,0.1292/0.1651,0.3385/0.3418,0.11234580481339274,hct116
linear,sequence_ctcf_dnase,0.1432/0.1811,0.1369/0.1348,0.010291402044924958,0.0030000604588670265,0.0957/0.1197,0.0691/0.0871,-0.007835628739812694,hl60
linear,sequence_ctcf_dnase,0.0882/0.1114,0.2771/0.2752,0.03634667261806468,0.0077317570488907306,0.1327/0.1668,0.2645/0.2503,0.06706967319266577,hl60
xgboost,sequence_ctcf_dnase,0.1440/0.1826,0.0842/0.0795,-0.005123696814169021,-0.006894558495392222,0.0951/0.1184,0.1226/0.1367,0.013292374275943541,hct116
xgboost,sequence_ctcf_dnase,0.0900/0.1133,0.1967/0.1751,0.0032282129668785853,0.019354849633257842,0.1307/0.1647,0.3015/0.2882,0.0897398070412947,hela
xgboost,sequence_ctcf_dnase,0.1137/0.1433,-0.1791/-0.1398,-0.43043917896277506,0.028226986475475835,0.1267/0.1629,0.3721/0.3830,0.13603470710351184,hl60
xgboost,sequence_ctcf_dnase,0.1319/0.1635,0.3137/0.3173,0.09315450124724722,-0.009114167180945154,0.1230/0.1592,0.2134/0.1844,0.04468134717489669,hl60
mlp,sequence_ctcf_dnase,0.0939/0.1203,0.0826/0.0772,-0.1233798136876405,-0.1516808138603386,0.1334/0.1667,0.2679/0.2565,0.06811114984567879,hct116
mlp,sequence_ctcf_dnase,0.1092/0.1367,-0.1548/-0.1281,-0.30193832471011905,0.09466653218606669,0.1295/0.1655,0.3312/0.3371,0.10766797957777663,hek293t
mlp,sequence_ctcf_dnase,0.1456/0.1822,0.0630/0.0608,-0.0013376460115825939,-0.005879811654972422,0.0955/0.1197,0.1008/0.1157,-0.00758718456178431,hek293t
mlp,sequence_ctcf_dnase,0.1341/0.1655,0.2762/0.2803,0.07147539277637804,-0.021291800135996852,0.1221/0.1592,0.2235/0.1796,0.04544389921830527,hela
cnn(3|3),sequence_ctcf_dnase,0.1455/0.1853,-0.0307/-0.0242,-0.035326498724135735,-0.011672562838449974,0.0947/0.1167,0.2060/0.1583,0.042150551593101104,hct116
cnn(3|3),sequence_ctcf_dnase,0.1079/0.1346,-0.1093/-0.0640,-0.262964602856248,-0.02478036227220337,0.1323/0.1692,0.2657/0.2735,0.06780887154559212,hct116
cnn(3|3),sequence_ctcf_dnase,0.1341/0.1686,0.2060/0.2147,0.03553936836412097,-0.010711464711909424,0.1215/0.1596,0.2171/0.1854,0.04068507699186086,hct116
cnn(3|3),sequence_ctcf_dnase,0.0909/0.1156,0.1027/0.0817,-0.03816350123540424,0.06511694049866956,0.1339/0.1668,0.2599/0.2593,0.0664605437395428,hl60
cnn(5|3),sequence_ctcf_dnase,0.0889/0.1129,0.2078/0.2149,0.009642954815461957,-0.008189763665978345,0.1320/0.1655,0.2942/0.2830,0.08094351678797262,hek293t
cnn(5|3),sequence_ctcf_dnase,0.1113/0.1377,-0.1411/-0.1118,-0.3209298330146375,0.04637208182519981,0.1302/0.1658,0.3243/0.3356,0.10442165496577194,hek293t
cnn(5|3),sequence_ctcf_dnase,0.1342/0.1659,0.2633/0.2753,0.06644581601992228,-0.01269956540983952,0.1226/0.1584,0.2371/0.2024,0.054603150892235885,hela
cnn(5|3),sequence_ctcf_dnase,0.1449/0.1842,0.0120/0.0114,-0.022949375511220893,0.019892417838244025,0.0928/0.1166,0.2163/0.1957,0.04256840800256423,hela
cnn(7|3),sequence_ctcf_dnase,0.1344/0.1650,0.2842/0.2986,0.07655758459081263,-0.03500692342874279,0.1241/0.1591,0.2243/0.1871,0.04645829048435446,hct116
